none
none
none
none
none
none
none
none
none
none
none
"b" "f" 1;
"b" "f" 1;
"b" "f" 1;
"b" "f" 1;
"b" "f" 1; "e" "j" 1;
"b" "f" 1; "e" "j" 1;
"b" "f" 1; "e" "j" 1;
"b" "f" 1; "e" "j" 1;
"b" "f" 1; "d" "i" 1; "e" "j" 1;
"b" "f" 1; "d" "i" 1; "e" "j" 1;
"b" "f" 1; "d" "i" 1; "e" "j" 1;
"a" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" "v" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" "v" 1;
"a" "k" 3; "b" "s" "t" 4; "c" "a" "d" "k" "o" "p" "t" 3; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "s" "t" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "s" "t" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "s" "t" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "s" "t" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "s" "t" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "s" "t" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "s" "t" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "s" "t" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "s" "t" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" "s" "t" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" "s" "t" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" "s" "t" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" "s" "t" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" "s" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" "s" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" "s" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" "s" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" "s" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" "s" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" "s" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" "s" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" "s" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" "s" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" "s" 4; "c" "a" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" "s" 4; "c" "a" 4; "d" "i" "p" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" "s" 4; "c" "a" 4; "d" "i" "p" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" "s" 4; "c" "a" 4; "d" "i" "p" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" 5; "c" "a" 4; "d" "i" "p" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "a" 5; "c" "a" 4; "d" "i" "p" 4; "e" "a" "p" 3;
"a" "k" "q" 3; "b" "a" 5; "c" "a" 4; "d" "i" "p" 4; "e" "a" "p" 3;
"a" "k" "q" 3; "b" "a" 5; "c" "a" 4; "d" "i" "p" 4; "e" "a" "p" 3;
"a" "k" "q" 3; "b" "a" 5; "c" "a" 4; "d" "i" "p" 4; "e" "a" "p" 3;
"a" "k" "q" 3; "b" "a" 5; "c" "a" 4; "d" "i" "p" 4; "e" "a" "p" 3;
"a" "k" "q" 3; "b" "a" 5; "c" "a" 4; "d" "i" "p" 4; "e" "a" "p" 3;
"a" "k" "q" 3; "b" "a" 5; "c" "a" 4; "d" "i" "p" 4; "e" "a" "p" 3;
"a" "k" "q" 3; "b" "a" 5; "c" "a" 4; "d" "i" "p" 4; "e" "a" "p" 3;
"a" "k" "q" 3; "b" "a" 5; "c" "a" 4; "d" "i" "p" 4; "e" "a" "p" 3;
"a" "k" "q" 3; "b" "a" 5; "c" "a" 4; "d" "i" "p" 4; "e" "a" "p" 3;
"a" "k" "q" 3; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" "p" 3;
"a" "k" "q" 3; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" "q" 3; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "p" 4; "e" "a" 4;
"a" "k" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" "q" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" "q" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" "q" 4; "b" "a" 5; "c" "a" "o" 4; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "a" "o" 4; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "a" "o" 4; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "o" 4; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "o" 4; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "o" 4; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "o" 4; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "o" 4; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "a" "d" "o" "p" "r" "t" "w" 3; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "a" "d" "o" "p" "r" "t" "w" 3; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "a" "d" "g" "o" "p" "r" "t" "w" 3; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "a" "d" "g" "o" "p" "r" "t" "w" 3; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "a" "d" "g" "o" "p" "r" "t" "w" 3; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "a" "d" "g" "o" "p" "r" "t" "w" 3; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "a" "d" "g" "o" "p" "r" "t" "w" 3; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "p" 4; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "a" "p" 4; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "a" "p" 4; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "a" "p" 4; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "a" "p" 4; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "a" "p" 4; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "a" "p" 4; "d" "i" "o" "p" 4; "e" "a" 4;
"a" "k" 5; "b" "a" 5; "c" "a" "p" 4; "d" "i" "o" "p" 4; "e" "a" 5;
"a" "k" 5; "b" "a" 5; "c" "a" "p" 4; "d" "i" "o" "p" 4; "e" "a" 5;
"a" "k" 5; "b" "a" 5; "c" "a" "p" 4; "d" "i" "o" "p" 4; "e" "a" 5;
"a" "k" 5; "b" "a" 5; "c" "a" "p" 4; "d" "i" "o" "p" 4; "e" "a" 5;
"a" "k" 5; "b" "a" 5; "c" "a" "p" 4; "d" "p" 5; "e" "a" 5;
"a" "k" "q" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 5; "e" "a" 5;
"a" "k" "q" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 5; "e" "a" 5;
"a" "k" "q" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 5; "e" "a" 5;
"a" "k" "q" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 5; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 6; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 6; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 6; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 6; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 6; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 6; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 6; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 6; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 6; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 6; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 6; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 6; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 6; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 7; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 7; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 7; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "k" "q" "w" 4; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "o" "p" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "o" "p" "t" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "o" "p" "t" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "o" "p" "t" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "o" "p" "t" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "o" "p" "t" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "o" "p" "t" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "o" "p" "t" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "o" "p" "t" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "o" "p" "t" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "a" "o" "p" "t" 4; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "o" 5; "d" "p" 8; "e" "a" 5;
"a" "q" 5; "b" "a" 5; "c" "o" 5; "d" "p" 8; "e" "a" 5;
