none
none
none
none
none
none
none
none
none
none
none
"e" "o" 1;
"e" "o" 1;
"e" "o" 1;
"e" "o" 1;
"e" "o" 1;
"e" "o" 1;
"c" "r" 1; "e" "o" 1;
"c" "r" 1; "e" "o" 1;
"c" "r" 1; "e" "b" "h" "o" 1;
"c" "r" 1; "e" "b" "h" "o" "w" 1;
"c" "r" 1; "e" "b" "h" "o" "w" 1;
"a" "g" 1; "c" "r" 1; "e" "b" "h" "o" "w" 1;
"a" "g" 1; "c" "r" "t" 1; "e" "b" "h" "o" "w" 1;
"a" "g" 1; "c" "r" "t" 1; "e" "b" "h" "o" "w" 1;
"a" "g" 1; "b" "h" 1; "c" "r" "t" 1; "e" "b" "h" "o" "w" 1;
"a" "g" 1; "b" "h" 1; "c" "r" "t" 1; "e" "b" "h" "o" "w" 1;
"a" "g" 1; "b" "h" 1; "c" "r" "t" 1; "e" "b" "h" "o" "w" 1;
"a" "g" 1; "b" "h" 1; "c" "r" "t" 1; "e" "b" "h" "o" "w" 1;
"a" "g" "w" 1; "b" "h" 1; "c" "r" "t" 1; "e" "b" "h" "o" "w" 1;
"a" "g" "w" 1; "b" "h" 1; "c" "r" "t" 1; "e" "b" "h" "o" "w" 1;
"a" "g" "w" 1; "b" "h" 1; "c" "r" "t" 1; "e" "b" "h" "o" "w" 1;
"a" "g" "w" 1; "b" "h" 1; "c" "r" "t" 1; "e" "b" "h" "o" "w" 1;
"a" "g" "w" 1; "b" "c" "h" 1; "c" "r" "t" 1; "e" "b" "h" "o" "w" 1;
"a" "g" "w" 1; "b" "c" 2; "c" "r" "t" 1; "e" "b" "h" "o" "w" 1;
"a" "g" "w" 1; "b" "c" 2; "c" "r" "t" 1; "e" "b" "h" "o" "w" 1;
"a" "g" "w" 1; "b" "c" 2; "c" "r" "t" 1; "e" "b" "h" "o" "w" 1;
"a" "g" "w" 1; "b" "c" 2; "c" "r" "t" 1; "e" "b" "h" "o" "w" 1;
"a" "g" "w" 1; "b" "c" 2; "c" "r" "t" 1; "e" "b" "h" "o" "w" "y" 1;
"a" "g" 2; "b" "c" 2; "c" "r" "t" 1; "e" "b" "h" "o" "w" "y" 1;
"a" "g" 2; "b" "c" 2; "c" "r" "t" 1; "e" "o" 2;
"a" "g" 2; "b" "c" 2; "c" "r" "t" 1; "e" "o" 2;
"a" "g" 2; "b" "c" 2; "c" "r" "t" 1; "e" "o" 2;
"a" "g" 2; "b" "c" 2; "c" "r" "t" 1; "e" "o" 2;
"a" "g" "w" 2; "b" "c" 2; "c" "r" "t" 1; "e" "o" 2;
"a" "w" 3; "b" "c" 2; "c" "h" "r" "t" 1; "e" "o" 2;
"a" "w" 3; "b" "c" 2; "c" "h" "r" "t" 1; "e" "o" 2;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" "w" 5; "b" "c" 7; "c" "i" 4; "d" "e" "o" "u" 3; "e" "o" 4;
"a" "g" "w" 5; "b" "c" 7; "c" "i" 4; "d" "o" 4; "e" "a" "o" 4;
"a" "g" "w" 5; "b" "c" 7; "c" "i" 4; "d" "o" 4; "e" "a" "o" 4;
"a" "g" "w" 5; "b" "c" 7; "c" "i" 4; "d" "o" 4; "e" "a" "o" 4;
"a" "g" "w" 5; "b" "c" 7; "c" "i" 4; "d" "o" 4; "e" "a" "o" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "o" 4; "e" "a" "o" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "o" 4; "e" "a" "o" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "o" 4; "e" "a" "o" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "o" 4; "e" "a" "o" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "o" 4; "e" "a" "o" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "e" "o" 4; "e" "a" "o" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "e" "o" 4; "e" "a" "o" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "e" "o" 4; "e" "a" "o" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "e" "o" 4; "e" "a" "o" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "e" "o" 4; "e" "a" "o" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "e" "o" 4; "e" "a" "o" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "e" "o" 4; "e" "a" "o" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "e" "o" 4; "e" "a" "o" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "e" "o" 4; "e" "a" "o" "y" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "e" "o" 4; "e" "a" "o" "y" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "e" "o" 4; "e" "a" "o" "y" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "e" "o" 4; "e" "a" "o" "y" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "e" "o" 4; "e" "a" "o" "y" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "e" "o" 4; "e" "a" "o" "y" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "e" "o" 4; "e" "a" "o" "y" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "e" "o" 4; "e" "a" "o" "y" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "e" "o" 4; "e" "a" "o" "y" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "i" 4; "d" "e" "o" 4; "e" "a" "o" "y" 4;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" "w" 5; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" 6; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" 6; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" 6; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" 6; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" 6; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" 6; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" 6; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" 6; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" 6; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" 6; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" 6; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "o" 5;
"a" "g" 6; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "a" "o" 5;
"a" "g" 6; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "a" "o" 5;
"a" "g" 6; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "a" "o" 5;
"a" "g" 6; "b" "c" 8; "c" "e" "i" 4; "d" "o" 5; "e" "a" "o" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 5; "d" "o" 5; "e" "a" "o" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 5; "d" "o" 5; "e" "a" "o" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "b" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "b" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "b" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "b" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "b" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "b" "o" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "b" "o" "w" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "b" "o" "w" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "b" "o" "w" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "b" "o" "w" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "b" "o" "w" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "b" "o" "w" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "b" "o" "w" "y" 5;
"a" "g" 6; "b" "c" 8; "c" "e" 6; "d" "o" 5; "e" "a" "b" "o" "w" "y" 5;
