none
none
none
none
none
none
none
none
none
none
none
none
"a" "e" 1;
"a" "e" 1; "c" "m" 1;
"a" "e" 1; "c" "m" 1;
"a" "e" 1; "c" "m" 1;
"a" "e" 1; "c" "m" 1;
"a" "e" 1; "c" "m" 1;
"a" "e" "u" 1; "c" "l" "m" 1;
"a" "e" "u" 1; "c" "l" "m" 1;
"a" "u" 2; "c" "l" "m" 1;
"a" "u" 2; "c" "l" "m" 1;
"a" "u" 2; "c" "l" "m" 1;
"a" "u" 2; "c" "l" "m" 1;
"a" "u" 2; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "e" "u" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "e" "u" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "e" "u" "x" 1;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "u" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "u" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "u" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "u" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "b" "g" "p" 3; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "p" 4; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "p" 4; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "p" 4; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "p" 4; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "p" 4; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "p" 4; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "p" 4; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "p" 4; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "p" 4; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "p" 4; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "p" 4; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "p" 4; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "p" 4; "b" "i" "m" "o" "u" "y" 3; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "p" 4; "b" "o" 4; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "p" 4; "b" "o" 4; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "p" 4; "b" "o" 4; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "p" 4; "b" "o" 4; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "p" 4; "b" "o" 4; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "g" "p" 4; "b" "o" 4; "c" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" 4; "e" "h" "m" "u" 4;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" 4; "e" "h" 5;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" 4; "e" "h" 5;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" 4; "e" "h" 5;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" 4; "e" "h" 5;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" 4; "e" "h" 5;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" 4; "e" "h" 5;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" 4; "e" "h" 5;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" 4; "e" "h" 5;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" 4; "e" "h" 5;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 5;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 5;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 5;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "i" "m" "o" "q" "t" "u" "y" 3; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "i" "m" "o" "q" "t" "u" "y" 3; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "i" "m" "o" "q" "t" "u" "y" 3; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "i" "m" "o" "q" "t" "u" "y" 3; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "i" "m" "o" "q" "t" "u" "y" 3; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "i" "m" "o" "q" "t" "u" "y" 3; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "i" "m" "o" "q" "t" "u" "y" 3; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "i" "m" "o" "q" "t" "u" "y" 3; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "i" "m" "o" "q" "t" "u" "y" 3; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "i" "m" "o" "q" "t" "u" "y" 3; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "i" "m" "o" "q" "t" "u" "y" 3; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "g" "z" 4; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "z" 5; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "z" 5; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "z" 5; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "z" 5; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "z" 5; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "z" 5; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "z" 5; "e" "h" 6;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 4; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 5; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 5; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 5; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 5; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 5; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 5; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 5; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "g" "p" 4; "b" "o" 5; "c" "e" "h" "k" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" "z" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" "z" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" "z" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" "z" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" "z" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" "z" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" "z" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" "z" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" "z" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" "z" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" "z" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "e" "h" "k" "s" "z" 4; "d" "s" "z" 5; "e" "h" 7;
"a" "p" 5; "b" "o" 5; "c" "a" 5; "d" "z" 6; "e" "h" 7;
"a" "g" "p" 5; "b" "o" 5; "c" "a" 5; "d" "z" 6; "e" "h" 7;
"a" "g" "p" 5; "b" "o" 5; "c" "a" 5; "d" "z" 6; "e" "h" 7;
"a" "g" "p" 5; "b" "o" 5; "c" "a" 5; "d" "z" 6; "e" "h" 7;
"a" "g" "p" 5; "b" "o" 5; "c" "a" 5; "d" "z" 6; "e" "h" 7;
"a" "g" "p" 5; "b" "o" 5; "c" "a" 5; "d" "z" 6; "e" "h" 7;
"a" "g" "p" 5; "b" "o" 5; "c" "a" 5; "d" "z" 6; "e" "h" 7;
"a" "g" "p" 5; "b" "o" 5; "c" "a" 5; "d" "z" 6; "e" "h" 7;
"a" "g" "p" 5; "b" "o" 5; "c" "a" 5; "d" "z" 6; "e" "h" 7;
"a" "g" "p" 5; "b" "o" 5; "c" "a" 5; "d" "z" 6; "e" "h" 7;
