none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "h" 1;
"a" "p" 1; "b" "c" 1; "d" "h" 1;
"a" "p" 1; "b" "c" 1; "d" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 1; "d" "e" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 1; "d" "e" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 1; "d" "e" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 1; "d" "e" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 1; "d" "e" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 1; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" "y" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" "y" 1;
"a" "p" 6; "b" "c" 6; "c" "e" 5; "d" "h" "x" 4; "e" "o" 4;
"a" "p" 6; "b" "c" 6; "c" "e" 5; "d" "h" "x" 4; "e" "o" 4;
"a" "p" 6; "b" "c" 6; "c" "e" 5; "d" "h" "x" 4; "e" "o" "p" 4;
"a" "p" 6; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "b" "l" "o" "p" 4;
"a" "p" 6; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "b" "l" "o" "p" 4;
"a" "p" 6; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "b" "l" "o" "p" 4;
"a" "p" 6; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "b" "l" "o" "p" 4;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "b" "l" "o" "p" 4;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "b" "l" "o" "p" 4;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "b" "l" "o" "p" 4;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "b" "l" "o" "p" 4;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "b" "l" "o" "p" 4;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "b" "l" "o" "p" 4;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "b" "l" "o" "p" 4;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "b" "l" "o" "p" 4;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 5;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 6;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 6;
"a" "p" 7; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 6;
"a" "p" 8; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 6;
"a" "p" 8; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 6;
"a" "p" 8; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 6;
"a" "p" 8; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 6;
"a" "p" 8; "b" "c" 6; "c" "e" 5; "d" "x" 5; "e" "p" 6;
"a" "p" 8; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 8; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 8; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 8; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 8; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 8; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 8; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 8; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 8; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 8; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 8; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
"a" "p" 9; "b" "c" 6; "c" "e" 5; "d" "x" 6; "e" "p" 6;
