none
none
none
none
none
none
none
none
none
none
none
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"d" "o" 1; "e" "e" 1;
"d" "o" 1; "e" "e" 1;
"d" "o" 1; "e" "e" 1;
"d" "o" 1; "e" "e" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"a" "e" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" "h" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" "h" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" "h" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" "h" "o" 1; "c" "t" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "g" "i" 3; "b" "l" 4; "c" "c" "d" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "g" "i" 3; "b" "l" 4; "c" "c" "d" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "g" "i" 3; "b" "l" 4; "c" "c" "d" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" 4; "b" "l" 4; "c" "c" "d" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" 4; "b" "l" 4; "c" "c" "d" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" 4; "b" "l" 4; "c" "c" "d" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" 4; "b" "l" 4; "c" "c" "d" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" 4; "b" "l" 4; "c" "c" "d" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" 4; "b" "l" 4; "c" "c" "d" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" 4; "b" "l" 4; "c" "c" "d" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "h" 4; "b" "l" 4; "c" "c" "d" "e" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "h" "i" 4; "b" "l" 4; "c" "c" "d" "e" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "h" "i" 4; "b" "l" "u" 4; "c" "c" "d" "e" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "h" "i" 4; "b" "l" "u" 4; "c" "c" "d" "e" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "h" "i" 4; "b" "l" "u" 4; "c" "c" "d" "e" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "h" "i" 4; "b" "l" "u" 4; "c" "c" "d" "e" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "h" "i" 4; "b" "l" "u" 4; "c" "c" "d" "e" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "h" "i" 4; "b" "l" "u" 4; "c" "c" "d" "e" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "h" "i" 4; "b" "l" "u" 4; "c" "c" "d" "e" "q" "s" "t" 3; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "h" "i" 4; "b" "l" 5; "c" "d" 4; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "v" 4; "e" "h" 5;
"a" "c" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "v" 4; "e" "h" 5;
"a" "c" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "v" 4; "e" "h" 5;
"a" "c" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "v" 4; "e" "h" 5;
"a" "c" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "v" 4; "e" "h" 5;
"a" "c" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "v" 4; "e" "h" 5;
"a" "c" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "v" 4; "e" "h" 5;
"a" "c" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "v" 4; "e" "h" 5;
"a" "c" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "v" 4; "e" "h" 5;
"a" "c" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "j" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "j" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "j" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "j" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "s" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 5; "c" "d" "e" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 5;
"a" "c" "e" "g" "h" "i" 4; "b" "j" "l" 5; "c" "d" "e" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 6;
"a" "c" "e" "g" "h" "i" 4; "b" "j" "l" 5; "c" "d" "e" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 6;
"a" "c" "e" "g" "h" "i" 4; "b" "j" "l" 5; "c" "d" "e" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 6;
"a" "c" "e" "g" "h" "i" 4; "b" "j" "l" 5; "c" "d" "e" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 6;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 6; "c" "d" "e" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 6;
"a" "c" "e" "g" "h" "i" 4; "b" "l" 6; "c" "d" "e" "s" 4; "d" "d" "j" "l" "v" 4; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "j" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "j" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "j" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "j" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "j" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "j" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "j" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "j" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "j" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "j" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "j" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "j" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "j" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "j" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "j" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "j" "l" 6; "c" "d" "e" "s" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "j" "l" 6; "c" "d" "e" "s" "t" "u" 4; "d" "j" 5; "e" "h" 6;
"a" "c" "e" "g" "h" "i" "s" 4; "b" "j" "l" 6; "c" "d" "e" "s" "t" "u" 4; "d" "j" 5; "e" "h" 6;
