none
none
none
none
none
none
none
"c" "r" 1;
"c" "r" 1;
"c" "r" 1;
"c" "r" 1;
"c" "r" 1;
"c" "r" 1;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2; "d" "k" 1;
"c" "r" 2; "d" "k" 1;
"c" "r" 2; "d" "k" 1;
"b" "r" 1; "c" "r" 2; "d" "k" 1;
"b" "r" 1; "c" "r" 2; "d" "k" 1;
"b" "r" 1; "c" "r" 2; "d" "k" 1;
"b" "r" 1; "c" "r" 2; "d" "k" 1;
"b" "r" 1; "c" "r" 2; "d" "k" 1;
"a" "k" 1; "b" "r" 1; "c" "r" 2; "d" "k" 1;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "p" "v" 5; "b" "l" 5; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "p" "v" 5; "b" "l" 5; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "p" "v" 5; "b" "l" 5; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "p" "v" 5; "b" "l" 5; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "g" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "g" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "g" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "g" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "g" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "g" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "g" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "g" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 6; "b" "l" 5; "c" "s" 5; "d" "c" "d" "g" "k" "n" "x" 4; "e" "z" 4;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" 5; "e" "z" 4;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" 5; "e" "z" 4;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" 5; "e" "z" 4;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" 5; "e" "z" 4;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" 5; "e" "z" 4;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" 5; "e" "z" 4;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" 5; "e" "z" 4;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" 5; "e" "z" 4;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" 5; "e" "z" 4;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" 5; "e" "z" 4;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" "d" "g" "k" "u" "x" 4; "e" "z" 4;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" "d" "g" "k" "u" "x" 4; "e" "z" 4;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" "d" "g" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" "d" "g" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" "d" "g" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" "d" "g" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" "d" "g" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" "d" "g" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" "d" "g" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" "d" "g" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" "d" "g" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" "d" "g" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" "d" "g" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" "d" "g" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" "d" "g" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" "d" "g" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" "d" "g" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "c" "d" "g" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "b" "c" "d" "g" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "b" "c" "d" "g" "h" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "n" "s" 5; "d" "b" "c" "d" "g" "h" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 7; "b" "l" 5; "c" "s" 6; "d" "b" "c" "d" "g" "h" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" "c" "d" "g" "h" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" "c" "d" "g" "h" "k" "u" "x" 4; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" "c" "d" "g" "h" "k" "o" "u" "x" 4; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" "c" "d" "g" "h" "k" "o" "u" "x" 4; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" 5; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" 5; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" 5; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" 5; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" 5; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" "k" 5; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" "k" 5; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" "k" 5; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" "k" 5; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" "k" 5; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" "k" 5; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" "k" 5; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" "k" 5; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" "k" 5; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" "k" 5; "e" "z" 5;
"a" "v" 6; "b" "l" 5; "c" "s" 6; "d" "b" "k" 5; "e" "z" 5;
