none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "w" 1;
"d" "j" 1; "e" "w" 1;
"b" "f" 1; "d" "j" 1; "e" "w" 1;
"b" "f" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" 2; "d" "j" 1; "e" "w" 1;
"a" "b" 1; "b" "f" 2; "d" "j" 1; "e" "w" 1;
"a" "b" 1; "b" "f" 2; "d" "j" 1; "e" "w" 1;
"a" "b" 1; "b" "f" 2; "d" "j" 1; "e" "w" 1;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "g" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" "s" 4; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" "s" 4; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" "s" 4; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" "s" 4; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" "s" 4; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" "s" 4; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" "s" 4; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" "s" 4; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 4; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "g" "h" "q" "x" 4; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 6; "c" "s" 5; "d" "h" 5; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 7; "c" "s" 5; "d" "h" 5; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 7; "c" "s" 5; "d" "h" 5; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 7; "c" "p" "s" 5; "d" "h" 5; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 7; "c" "p" "s" 5; "d" "h" 5; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 5; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 5; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 5; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 5; "e" "d" 6;
"a" "m" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 5; "e" "d" "l" 5;
"a" "m" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "n" "u" 5; "b" "v" 8; "c" "p" "s" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "n" "u" 5; "b" "v" 8; "c" "l" "p" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "n" "u" 5; "b" "v" 8; "c" "l" "p" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "n" "u" 5; "b" "v" 8; "c" "l" "p" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "n" "u" 5; "b" "v" 8; "c" "l" "p" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "n" "u" 5; "b" "v" 8; "c" "l" "p" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "n" "u" 5; "b" "v" 8; "c" "l" "p" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "n" "u" 5; "b" "v" 8; "c" "l" "p" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "n" "u" 5; "b" "v" 8; "c" "l" "p" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "n" "u" 5; "b" "v" 8; "c" "l" "p" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "n" "u" 5; "b" "v" 8; "c" "l" "p" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "n" "u" 5; "b" "v" 8; "c" "l" "p" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "n" "u" 5; "b" "v" 8; "c" "l" "p" 5; "d" "h" 6; "e" "d" "l" 5;
"a" "m" "n" "u" 5; "b" "v" 8; "c" "l" "p" 5; "d" "h" 6; "e" "l" 6;
"a" "m" "n" "u" 5; "b" "v" 8; "c" "l" "p" 5; "d" "h" 6; "e" "l" 6;
