none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1; "e" "d" 1;
"b" "g" "z" 1; "d" "h" 1; "e" "d" 1;
"b" "g" "z" 1; "d" "h" 1; "e" "d" 1;
"b" "g" "z" 1; "d" "h" 1; "e" "d" 1;
"a" "z" 1; "b" "g" "z" 1; "d" "h" 1; "e" "d" 1;
"a" "z" 1; "b" "g" "z" 1; "d" "h" 1; "e" "d" 1;
"a" "z" 1; "b" "g" "z" 1; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "g" "z" 1; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "h" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "h" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "h" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "h" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "h" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "h" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 6; "c" "b" "h" "l" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 6; "c" "b" "h" "l" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 6; "c" "b" "h" "l" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 6; "c" "b" "h" "l" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 6; "c" "b" "h" "l" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 6; "c" "b" "c" "h" "l" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 6; "c" "b" "c" "h" "l" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 6; "c" "b" "c" "h" "l" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 6; "c" "b" "c" "h" "l" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 6; "c" "b" "c" "h" "l" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 6; "c" "b" "c" "h" "l" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 6; "c" "b" "c" "h" "l" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 6; "c" "b" "c" "h" "l" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 6; "c" "b" "c" "h" "l" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 6; "c" "r" 4; "d" "e" 4; "e" "b" "c" "i" "q" 4;
"a" "x" 5; "b" "y" 6; "c" "r" 4; "d" "e" 4; "e" "b" "c" "i" "q" 4;
"a" "x" 5; "b" "y" 6; "c" "r" 4; "d" "e" 4; "e" "b" "c" "i" "q" 4;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "b" "c" "i" "q" 4;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "b" "c" "i" "q" 4;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "b" "c" "i" "q" 4;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "b" "c" "i" "q" 4;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "b" "c" "i" "q" 4;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "b" "c" "i" "q" 4;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "l" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "l" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "l" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "l" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "l" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "l" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "u" 4; "e" "c" "l" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "o" "u" 4; "e" "c" "l" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "o" "u" 4; "e" "c" "l" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "o" "u" 4; "e" "c" "l" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "o" "u" 4; "e" "c" "l" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "o" "u" 4; "e" "c" "l" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "o" "u" 4; "e" "c" "i" "l" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "o" "u" 4; "e" "c" "i" "l" "o" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "o" "u" 4; "e" "c" "i" "l" "o" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "o" "u" 4; "e" "c" "i" "l" "o" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "o" "u" 4; "e" "c" "i" "l" "o" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "o" "u" 4; "e" "c" "i" "l" "o" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "o" "u" 4; "e" "c" "i" "l" "o" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "o" "u" 4; "e" "c" "i" "l" "o" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "o" "u" 4; "e" "c" "i" "l" "o" "q" 5;
"a" "x" 5; "b" "y" 6; "c" "r" 5; "d" "e" "h" "o" "u" 4; "e" "c" "i" "l" "o" "q" 5;
