none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "g" 1;
"b" "g" 1;
"b" "g" 1;
"b" "g" 1;
"b" "g" 1;
"b" "g" "u" 1;
"b" "g" "u" 1;
"b" "g" "u" 1; "d" "v" 1;
"b" "g" "u" 1; "d" "v" 1;
"b" "g" "u" 1; "d" "v" 1;
"b" "g" "u" 1; "d" "v" 1; "e" "s" 1;
"b" "g" "u" 1; "d" "v" 1; "e" "s" 1;
"a" "k" 1; "b" "g" "u" 1; "d" "v" 1; "e" "s" 1;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "t" "y" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "t" "y" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "t" "y" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "t" "y" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "t" "y" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "t" "y" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "t" "y" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "t" "y" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "t" "y" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "t" "y" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "t" "y" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "t" "y" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "t" "y" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "t" "y" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "s" "t" "y" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "s" "t" "y" "z" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "s" "t" "y" "z" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "s" "t" "y" "z" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "s" "t" "y" "z" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "k" "s" "t" "y" "z" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "j" "k" "s" "t" "y" "z" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "j" "k" "s" "t" "y" "z" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "j" "k" "s" "t" "y" "z" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "j" "k" "s" "t" "y" "z" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "j" "k" "s" "t" "y" "z" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "j" "k" "s" "t" "y" "z" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "j" "k" "s" "t" "y" "z" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "j" "k" "s" "t" "y" "z" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "j" "k" "o" "s" "t" "y" "z" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "j" "k" "o" "s" "t" "y" "z" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "j" "k" "o" "s" "t" "y" "z" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "f" "j" "k" "o" "s" "t" "y" "z" 2; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 5; "d" "k" 3; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 6; "d" "k" "y" 3; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 6; "d" "k" "y" 3; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "m" 5; "b" "g" "w" 5; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "g" "w" 5; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "g" "w" 5; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "g" "w" 5; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "g" "w" 5; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "g" "w" 5; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "g" "w" 5; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "j" "k" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "j" "k" "s" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "j" "k" "s" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "j" "k" "s" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "j" "k" "s" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "j" "k" "s" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "j" "k" "s" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "j" "k" "s" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "j" "k" "s" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "j" "k" "s" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "j" "k" "s" "y" 3; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "s" 4; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "s" 4; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "s" 4; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "s" 4; "e" "u" 5;
"a" "j" "m" 5; "b" "w" 6; "c" "n" 6; "d" "s" 4; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "n" 6; "d" "s" 4; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "n" 6; "d" "s" 4; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "j" "m" "s" 5; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 5;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "g" "n" 6; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
"a" "m" 6; "b" "w" 6; "c" "n" 7; "d" "s" 6; "e" "u" 6;
