none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "e" 1;
"a" "e" 1;
"a" "e" 1;
"a" "e" 1;
"a" "e" "g" 1;
"a" "e" "g" 1;
"a" "e" 2;
"a" "e" 2; "e" "b" 1;
"a" "e" 2; "e" "b" 1;
"a" "e" 2; "e" "b" "m" 1;
"a" "e" 2; "e" "b" "m" 1;
"a" "e" 2; "e" "b" "g" "m" 1;
"a" "e" 2; "e" "b" "g" "m" 1;
"a" "e" 2; "e" "b" "g" "m" 1;
"a" "e" 2; "e" "b" "g" "m" 1;
"a" "e" 2; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" "l" 1; "c" "p" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" "l" 1; "c" "p" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" "l" "s" 1; "c" "f" "p" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" "l" "s" 1; "c" "f" "p" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "q" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "i" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "c" "g" "p" 4; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "c" "g" "p" 4; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "c" "g" "p" 4; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "c" "g" "p" 4; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "c" "g" "p" 4; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "c" "g" "p" 4; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "g" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "g" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "g" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "g" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "g" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "g" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "g" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "g" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "g" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "g" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "g" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "g" "i" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "g" "i" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "g" "i" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "g" "i" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "g" "i" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "g" "i" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "g" "i" 5; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 6; "d" "i" 6; "e" "b" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "i" 6; "e" "b" "f" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "i" 6; "e" "b" "f" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "i" 6; "e" "b" "f" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "i" 6; "e" "b" "f" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "i" 6; "e" "b" "f" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "i" 6; "e" "b" "f" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "i" 6; "e" "b" "f" "i" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "i" 6; "e" "b" "f" "i" "k" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "i" 6; "e" "b" "f" "i" "k" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "i" 6; "e" "b" "f" "i" "k" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "i" 6; "e" "b" "f" "i" "k" "n" "w" 4;
"a" "e" 5; "b" "i" "x" 4; "c" "f" 5; "d" "i" 6; "e" "b" "f" "i" "k" "w" 4;
"a" "e" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" "f" "i" "k" "w" 4;
"a" "e" "g" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" "f" "i" "k" "w" 4;
"a" "e" "g" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" "f" "i" "k" "w" 4;
"a" "e" "g" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" "f" "i" "k" "w" 4;
"a" "e" "g" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" "f" "i" "k" "w" 4;
"a" "e" "g" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" "f" "i" "k" "w" 4;
"a" "e" "g" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" 6;
"a" "e" "g" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" 6;
"a" "e" "g" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" 6;
"a" "e" "g" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" 6;
"a" "e" "g" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" 6;
"a" "e" "g" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" 6;
"a" "e" "g" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" 6;
"a" "e" "g" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" 6;
"a" "e" "g" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" 6;
"a" "e" "g" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" 6;
"a" "e" "g" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" 6;
"a" "e" "g" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" 6;
"a" "e" "g" 5; "b" "i" 5; "c" "f" 5; "d" "g" "i" 6; "e" "b" 6;
