none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "p" 1;
"a" "p" 1;
"a" "p" 1; "e" "g" 1;
"a" "p" 1; "e" "g" 1;
"a" "p" 1; "e" "g" 1;
"a" "p" 1; "b" "m" 1; "e" "g" 1;
"a" "p" 1; "b" "m" 1; "e" "g" 1;
"a" "p" 1; "b" "m" 1; "e" "g" 1;
"a" "p" 1; "b" "m" 1; "e" "g" 1;
"a" "p" 1; "b" "m" 1; "e" "g" 2;
"a" "p" 1; "b" "m" 1; "e" "g" 2;
"a" "p" 1; "b" "m" 1; "e" "g" 2;
"a" "p" 1; "b" "m" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "d" "g" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "d" "g" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "d" "g" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "d" "g" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "d" "g" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "d" "g" 1; "e" "g" 2;
"a" "l" 5; "b" "j" 5; "c" "w" "z" 5; "d" "f" 5; "e" "u" "x" 5;
"a" "l" 5; "b" "j" 5; "c" "w" "z" 5; "d" "f" 5; "e" "u" "x" 5;
"a" "l" 5; "b" "j" 5; "c" "w" "z" 5; "d" "f" 5; "e" "u" "x" 5;
"a" "l" 5; "b" "j" 5; "c" "w" "z" 5; "d" "f" 5; "e" "u" "x" 5;
"a" "l" 5; "b" "j" 5; "c" "w" "z" 5; "d" "f" 5; "e" "u" "x" 5;
"a" "l" 5; "b" "j" 5; "c" "w" "z" 5; "d" "f" 5; "e" "u" "x" 5;
"a" "l" 5; "b" "j" 5; "c" "w" "z" 5; "d" "f" 5; "e" "u" "x" 5;
"a" "l" 5; "b" "j" 5; "c" "w" "z" 5; "d" "f" 5; "e" "u" "x" 5;
"a" "l" 5; "b" "j" "k" 5; "c" "w" "z" 5; "d" "f" 5; "e" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" "z" 5; "d" "f" 5; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" "z" 5; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" "z" 5; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" "z" 5; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" "z" 5; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" "z" 5; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" "z" 5; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" "z" 5; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" "z" 5; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" "z" 5; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" "z" 5; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" "z" 5; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" "k" 5; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "r" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "i" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "i" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "i" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "i" "l" "m" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "i" "l" "m" "p" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "i" "l" "m" "p" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "i" "l" "m" "p" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "i" "l" "m" "p" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "i" "l" "m" "p" "r" "x" 5; "b" "j" 6; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "i" "l" "m" "p" "r" "x" 5; "b" "j" 7; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
"a" "i" "l" "m" "p" "r" "x" 5; "b" "j" 7; "c" "s" "w" "z" 6; "d" "f" 6; "e" "k" "u" "x" 5;
