"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"a" "n" 1; "c" "l" "p" 1; "d" "q" 1;
"a" "n" 1; "c" "l" "p" 1; "d" "q" 1;
"a" "n" "p" 1; "b" "n" 1; "c" "l" "p" 1; "d" "q" 1;
"a" "n" "p" 1; "b" "n" 1; "c" "l" "p" 1; "d" "q" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" 1; "c" "l" "p" 1; "d" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" 1; "c" "l" "p" 1; "d" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" "s" 1; "c" "l" "p" 1; "d" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" "s" 1; "c" "l" "p" 1; "d" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" "s" 1; "c" "l" "p" 1; "d" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" "s" 1; "c" "l" "p" "y" 1; "d" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" "s" 1; "c" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "a" "e" "n" "r" "s" 1; "c" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "a" "e" "n" "r" "s" 1; "c" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "a" "e" "n" "r" "s" 1; "c" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "a" "e" "n" "r" "s" 1; "c" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "a" "e" "n" "r" "s" 1; "c" "g" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1;
"a" "d" "e" "i" "x" 3; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "d" "e" "i" "x" 3; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "d" "e" "i" "x" 3; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "d" "e" "i" "x" 3; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "d" "e" "i" "x" 3; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "d" "e" "i" "x" 3; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "d" "e" "i" "x" 3; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "d" "e" "i" "x" 3; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "i" 4; "b" "k" 5; "c" "n" 5; "d" "x" 5; "e" "l" "t" 3;
"a" "i" 4; "b" "k" 5; "c" "n" 5; "d" "x" 5; "e" "l" "t" 3;
"a" "i" 4; "b" "k" 5; "c" "n" 5; "d" "x" 5; "e" "l" "t" 3;
"a" "i" 4; "b" "k" 5; "c" "n" 5; "d" "x" 5; "e" "l" "t" 3;
"a" "i" 4; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 4; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 4; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 4; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 4; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 4; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 4; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 4; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "n" 5; "d" "x" 6; "e" "l" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "g" "n" 5; "d" "x" 6; "e" "l" "m" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "g" "n" 5; "d" "x" 6; "e" "l" "m" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "g" "n" 5; "d" "x" 6; "e" "l" "m" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "g" "n" 5; "d" "x" 6; "e" "l" "m" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "g" "n" 5; "d" "x" 6; "e" "l" "m" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "g" "n" 5; "d" "x" 6; "e" "l" "m" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "g" "n" 5; "d" "x" 6; "e" "l" "m" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "g" "n" 5; "d" "x" 6; "e" "l" "m" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "g" "n" 5; "d" "x" 6; "e" "l" "m" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "g" "n" 5; "d" "q" "x" 6; "e" "l" "m" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "g" "n" 5; "d" "q" "x" 6; "e" "l" "m" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "g" "n" 5; "d" "q" "x" 6; "e" "l" "m" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "g" "n" 5; "d" "q" "x" 6; "e" "l" "m" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "g" "n" 5; "d" "q" "x" 6; "e" "l" "m" "t" 3;
"a" "i" 5; "b" "k" 5; "c" "g" "n" 5; "d" "q" "x" 6; "e" "l" "m" "t" 3;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "n" 5; "d" "q" "x" 6; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "j" "n" 5; "d" "q" 7; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "j" "n" 5; "d" "q" 7; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "j" "n" 5; "d" "q" 7; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "g" "h" "j" "n" 5; "d" "q" 7; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "b" "g" "h" "j" "n" 5; "d" "q" 7; "e" "l" "n" 4;
"a" "i" 5; "b" "k" 6; "c" "b" "g" "h" "j" "n" 5; "d" "q" 7; "e" "n" 5;
"a" "i" 5; "b" "k" 6; "c" "b" "g" "h" "j" "n" 5; "d" "q" 7; "e" "n" 5;
"a" "i" 5; "b" "k" 6; "c" "b" "g" "h" "j" "n" 5; "d" "q" 7; "e" "n" 5;
"a" "i" 5; "b" "k" 6; "c" "b" "g" "h" "j" "n" 5; "d" "q" 7; "e" "n" 5;
"a" "i" 5; "b" "k" 6; "c" "b" "g" "h" "j" "n" 5; "d" "q" 7; "e" "n" 5;
"a" "i" 5; "b" "k" 6; "c" "b" "g" "h" "j" "n" 5; "d" "q" 7; "e" "n" 5;
"a" "i" 5; "b" "k" 6; "c" "b" "g" "h" "j" "n" 5; "d" "q" 7; "e" "n" 5;
"a" "i" 5; "b" "k" 6; "c" "b" "g" "h" "j" "n" 5; "d" "q" 7; "e" "n" 5;
"a" "i" 5; "b" "k" 6; "c" "b" "g" "h" "j" "n" 5; "d" "q" 7; "e" "n" 5;
"a" "i" 5; "b" "k" 6; "c" "b" "g" "h" "j" "n" 5; "d" "q" 7; "e" "n" 5;
"a" "e" "i" 5; "b" "k" 6; "c" "g" 6; "d" "q" 7; "e" "n" 5;
"a" "e" "i" 5; "b" "k" 6; "c" "g" 6; "d" "q" 7; "e" "n" 5;
"a" "e" "i" 5; "b" "k" 6; "c" "g" 6; "d" "q" 7; "e" "n" 5;
"a" "e" "i" 5; "b" "k" 6; "c" "g" 6; "d" "q" 7; "e" "n" 5;
"a" "e" "i" 5; "b" "k" 6; "c" "g" 6; "d" "q" 7; "e" "n" 5;
"a" "e" "i" 5; "b" "k" 6; "c" "g" 6; "d" "q" 7; "e" "n" 5;
"a" "i" 6; "b" "k" 6; "c" "g" 6; "d" "q" 7; "e" "n" 5;
"a" "i" 6; "b" "k" 6; "c" "g" 6; "d" "q" 7; "e" "n" 5;
"a" "i" 6; "b" "k" 6; "c" "g" 6; "d" "q" 7; "e" "n" 5;
"a" "i" 6; "b" "k" 6; "c" "g" 6; "d" "q" 7; "e" "n" 5;
"a" "e" "i" 6; "b" "k" 6; "c" "g" 6; "d" "q" 7; "e" "n" 5;
"a" "e" "i" 6; "b" "k" 6; "c" "g" 6; "d" "q" 7; "e" "n" 5;
"a" "e" "i" 6; "b" "k" 6; "c" "g" 6; "d" "q" 7; "e" "n" 5;
