none
none
none
none
none
none
none
none
none
"d" "w" 1;
"d" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "g" "j" "v" "w" 1;
"d" "g" "j" "v" "w" 1;
"d" "g" "j" "v" "w" 1;
"d" "g" "j" "v" "w" 1;
"c" "r" 1; "d" "g" "j" "v" "w" 1;
"c" "r" 1; "d" "g" "j" "v" "w" 1;
"c" "r" 1; "d" "g" "j" "v" "w" 1;
"c" "r" 1; "d" "g" "j" "v" "w" 1;
"c" "r" 1; "d" "g" "j" "v" "w" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "g" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "g" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "g" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "g" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "a" "d" "h" 1;
"a" "g" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "a" "d" "h" 1;
"a" "p" 5; "b" "j" "t" 4; "c" "i" 5; "d" "t" 4; "e" "m" 5;
"a" "p" 5; "b" "j" "t" 4; "c" "i" 5; "d" "t" 4; "e" "m" 5;
"a" "p" 5; "b" "j" "t" 4; "c" "i" 5; "d" "t" 4; "e" "m" 5;
"a" "p" 5; "b" "j" "t" 4; "c" "i" 5; "d" "t" 4; "e" "m" 5;
"a" "p" 5; "b" "j" "t" 4; "c" "i" 5; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 5; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 5;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 6; "d" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 6; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 6; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 6; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "j" "n" "t" 4; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 6; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 5; "b" "n" 5; "c" "i" 7; "d" "h" "t" 4; "e" "m" 6;
"a" "p" 5; "b" "n" 5; "c" "i" 7; "d" "h" "t" "w" 4; "e" "m" 6;
"a" "p" 5; "b" "n" 5; "c" "i" 7; "d" "h" "t" "w" 4; "e" "m" 6;
"a" "p" 5; "b" "n" 6; "c" "i" 7; "d" "b" "h" "t" "w" 4; "e" "m" 6;
"a" "p" 5; "b" "n" 6; "c" "i" 7; "d" "b" "h" "t" "w" 4; "e" "m" 6;
"a" "p" 5; "b" "n" 6; "c" "i" 7; "d" "b" "h" "t" "w" 4; "e" "m" 6;
"a" "p" 5; "b" "n" 6; "c" "i" 7; "d" "b" "h" "t" "w" 4; "e" "m" 6;
"a" "p" 5; "b" "n" 6; "c" "i" 7; "d" "b" "h" "t" "w" 4; "e" "m" 6;
"a" "p" 5; "b" "n" 6; "c" "i" 7; "d" "b" "h" "t" "w" 4; "e" "m" 6;
"a" "p" 5; "b" "n" 6; "c" "i" 7; "d" "b" "h" "t" "w" 4; "e" "m" 6;
"a" "p" 5; "b" "n" 6; "c" "i" 7; "d" "b" "h" "t" "w" 4; "e" "m" 6;
"a" "p" 5; "b" "n" 6; "c" "i" 7; "d" "b" "h" "t" "v" "w" 4; "e" "m" 6;
"a" "p" 5; "b" "n" 6; "c" "i" 7; "d" "b" "h" "t" "v" "w" 4; "e" "m" 6;
"a" "p" 5; "b" "n" 6; "c" "i" 7; "d" "b" "h" "t" "v" "w" 4; "e" "m" 6;
"a" "p" 5; "b" "n" 6; "c" "i" 7; "d" "b" "h" "t" "v" "w" 4; "e" "m" 6;
"a" "p" 5; "b" "n" 6; "c" "i" 7; "d" "b" "h" "t" "v" "w" 4; "e" "m" 6;
"a" "p" 5; "b" "n" 6; "c" "i" 7; "d" "b" "h" "t" "v" "w" 4; "e" "m" 6;
"a" "p" 5; "b" "n" 6; "c" "i" 7; "d" "b" "h" "t" "v" "w" 4; "e" "m" 6;
"a" "p" 5; "b" "j" "n" 6; "c" "i" 7; "d" "b" 5; "e" "m" 6;
"a" "p" 5; "b" "j" "n" 6; "c" "i" 7; "d" "b" 5; "e" "m" 6;
"a" "p" 5; "b" "j" "n" 6; "c" "i" 7; "d" "b" 5; "e" "m" 6;
"a" "p" 5; "b" "j" "n" 6; "c" "i" 7; "d" "b" 5; "e" "m" 6;
"a" "p" 5; "b" "j" "n" 6; "c" "i" 7; "d" "b" 5; "e" "m" 6;
"a" "p" 5; "b" "j" "n" 6; "c" "i" 7; "d" "b" 5; "e" "m" 6;
"a" "p" 5; "b" "j" "n" 6; "c" "i" 7; "d" "b" 5; "e" "m" 6;
"a" "p" 5; "b" "j" "n" 6; "c" "i" 7; "d" "b" 5; "e" "m" 6;
"a" "p" 5; "b" "j" "n" 6; "c" "i" 7; "d" "b" 5; "e" "m" 6;
"a" "p" 5; "b" "j" "n" 6; "c" "i" 7; "d" "b" 5; "e" "m" 6;
"a" "p" 5; "b" "j" "n" 6; "c" "i" 7; "d" "b" 5; "e" "m" 6;
"a" "p" 5; "b" "j" "n" 6; "c" "i" 7; "d" "b" "t" 5; "e" "m" 6;
"a" "p" 5; "b" "j" "n" 6; "c" "i" 7; "d" "b" "t" 5; "e" "m" 6;
