none
none
none
none
none
none
none
none
"d" "a" 1;
"d" "a" 1;
"d" "a" 1;
"d" "a" 1;
"d" "a" 1;
"d" "a" 1;
"d" "a" "m" 1;
"d" "a" "m" 1;
"d" "a" "m" 1;
"d" "a" "m" 1;
"d" "a" "m" 1;
"a" "o" 1; "d" "a" "m" 1;
"a" "o" 1; "d" "a" "m" 1;
"a" "o" 1; "d" "a" "m" 1;
"a" "o" 1; "d" "a" "m" 1;
"a" "o" 1; "d" "a" "m" 1;
"a" "o" 1; "d" "a" "m" "v" 1;
"a" "o" 1; "d" "a" "m" "v" 1;
"a" "m" "o" 1; "d" "a" "m" "v" 1;
"a" "m" "o" 1; "d" "a" "m" "v" 1;
"a" "m" "o" 1; "d" "a" "m" "v" 1;
"a" "m" "o" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" 1; "b" "h" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" 1; "b" "h" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" 1; "b" "h" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" 1; "b" "h" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" 1; "b" "h" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" 1; "b" "h" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" "t" 1; "b" "h" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" "t" 1; "b" "g" "h" 1; "d" "a" "m" "v" 1; "e" "j" "p" 1;
"a" "e" "m" "o" "t" 1; "b" "g" "h" 1; "d" "a" "m" "v" 1; "e" "j" "p" 1;
"a" "e" "m" "o" "t" 1; "b" "g" "h" 1; "d" "a" "m" "v" 1; "e" "j" "p" 1;
"a" "e" "m" "o" "t" 1; "b" "g" "h" 1; "d" "a" "m" "v" 1; "e" "j" "p" 1;
"a" "e" "m" "o" "t" "v" 1; "b" "g" "h" "k" 1; "d" "a" "m" "v" 1; "e" "j" "p" 1;
"a" "t" 2; "b" "g" "h" "k" 1; "d" "a" "m" "v" 1; "e" "j" "p" 1;
"a" "t" 2; "b" "g" "h" "k" 1; "d" "a" "h" "m" "v" 1; "e" "j" "p" 1;
"a" "t" 2; "b" "g" "h" "k" 1; "d" "a" "h" "m" "v" 1; "e" "j" "p" 1;
"a" "t" 2; "b" "g" "h" "k" 1; "d" "a" "h" "m" "v" 1; "e" "j" "p" 1;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "g" "h" "r" "s" 3; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "g" "h" "r" "s" 3; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "g" "h" "r" "s" 3; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "g" "h" "r" "s" 3; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "g" "h" "r" "s" 3; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "g" "h" "r" "s" 3; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "g" "h" "r" "s" 3; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "g" "h" "r" "s" 3; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "g" "h" "r" "s" 3; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "g" "h" "r" "s" 3; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "g" "h" "r" "s" 3; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" 4; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" 4; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" 4; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" 4; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" 4; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" "t" "v" 3;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "f" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 5; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 6; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 6; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 6; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 6; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 6; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 6; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 6; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 6; "b" "c" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" 4;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" "x" 4;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" "x" 4;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" "x" 4;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "n" "x" 4;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "r" 5;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "r" 5;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "r" 5;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "r" 5;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "r" 5;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "r" 5;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "r" 5;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "r" 5;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "r" 5;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "r" 5;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "r" 5;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "r" 5;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "r" 5;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "r" 5;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "r" 5;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" 4; "d" "d" "s" 4; "e" "r" 5;
"a" "t" 6; "b" "c" "d" "g" "h" "k" "n" "o" "r" "u" "w" "x" 2; "c" "g" "p" 4; "d" "d" "g" "s" 4; "e" "r" 5;
"a" "t" 6; "b" "c" "d" "g" "h" "i" "k" "n" "o" "r" "u" "w" "x" 2; "c" "p" 5; "d" "d" "g" "s" 4; "e" "r" 5;
"a" "t" 6; "b" "k" 3; "c" "p" 5; "d" "d" "g" "s" 4; "e" "r" "v" 5;
"a" "t" 6; "b" "k" 3; "c" "p" 5; "d" "d" "g" "s" 4; "e" "r" "v" 5;
"a" "t" 6; "b" "k" 3; "c" "p" 5; "d" "d" "g" "s" 4; "e" "r" "v" 5;
"a" "t" 6; "b" "k" 3; "c" "p" 5; "d" "d" "g" "s" 4; "e" "r" "v" 5;
"a" "t" 6; "b" "k" 3; "c" "p" 5; "d" "d" "g" "s" 4; "e" "r" "v" 5;
"a" "t" 6; "b" "k" 3; "c" "p" 5; "d" "d" "g" "s" 4; "e" "r" "v" 5;
"a" "t" 6; "b" "k" 3; "c" "p" 5; "d" "d" "g" "s" 4; "e" "r" "v" 5;
"a" "t" 6; "b" "k" 3; "c" "p" 5; "d" "d" "g" "s" 4; "e" "r" "v" 5;
"a" "t" 6; "b" "k" 3; "c" "p" 5; "d" "d" "g" "s" 4; "e" "r" "v" 5;
"a" "t" 6; "b" "k" 3; "c" "p" 5; "d" "d" "g" "s" 4; "e" "r" "v" 5;
"a" "t" 6; "b" "k" 3; "c" "p" 5; "d" "d" "g" "s" 4; "e" "r" "v" 5;
"a" "t" 6; "b" "k" 3; "c" "p" 5; "d" "d" "g" "s" 4; "e" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 3; "c" "p" 5; "d" "d" "g" "s" 4; "e" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 3; "c" "p" 5; "d" "d" "g" "s" 4; "e" "r" "v" 5;
"a" "t" 6; "b" "c" "k" "r" 3; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "c" "k" "r" 3; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 4; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 4; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 4; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 4; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 4; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 4; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 4; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 4; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 4; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 4; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 4; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 4; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 4; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 4; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 4; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "p" 5; "d" "s" 5; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "m" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "m" "p" 5; "d" "s" 6; "e" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "m" "p" 5; "d" "s" 6; "e" "m" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "m" "p" 5; "d" "s" 6; "e" "m" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "m" "p" 5; "d" "s" 6; "e" "m" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "m" "p" 5; "d" "s" 6; "e" "m" "r" "v" 5;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "m" "p" 5; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "m" "p" 5; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "m" "p" 5; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "m" "p" 5; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "m" "p" 5; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "m" "p" 5; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "m" "p" 5; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "m" "p" 5; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "m" "p" 5; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "k" "r" 5; "c" "b" "m" "p" 5; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "r" 6; "c" "b" "m" "p" 5; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "r" 6; "c" "b" "m" "p" 5; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "r" 6; "c" "b" "m" "p" 5; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "r" 6; "c" "b" "m" "p" 5; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "r" 6; "c" "b" "m" "p" 5; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "s" 6; "e" "v" 6;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "s" 6; "e" "v" 7;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "s" 6; "e" "v" 7;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "s" 6; "e" "v" 7;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "s" 6; "e" "v" 7;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "g" "s" 6; "e" "v" 7;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "g" "s" 6; "e" "v" 7;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "g" "s" 6; "e" "v" 7;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "g" "s" 6; "e" "v" 7;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "g" "s" 6; "e" "v" 7;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "g" "s" 6; "e" "v" 7;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "g" "s" 6; "e" "v" 7;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "g" "s" 6; "e" "v" 7;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "g" "s" 6; "e" "v" 7;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "g" "s" 6; "e" "v" 7;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "g" "s" 6; "e" "v" 7;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "g" "s" 6; "e" "v" 7;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "g" "s" 6; "e" "v" 7;
"a" "t" 6; "b" "r" 6; "c" "b" 6; "d" "g" "s" 6; "e" "v" 7;
