none
none
none
none
none
none
none
none
none
none
none
none
"a" "a" 1;
"a" "a" 1;
"a" "a" 1;
"a" "a" 1;
"a" "a" 1;
"a" "a" 1;
"a" "a" 1;
"a" "a" 1;
"a" "a" 1; "c" "o" 1; "e" "u" 1;
"a" "a" 1; "c" "o" 1; "e" "u" 1;
"a" "a" 1; "c" "o" 1; "e" "u" 1;
"a" "a" 1; "c" "o" 1; "e" "u" 1;
"a" "a" 1; "c" "o" 1; "e" "u" 1;
"a" "a" 1; "c" "o" 1; "e" "u" 1;
"a" "a" 1; "c" "o" 1; "e" "u" 1;
"a" "a" 1; "c" "o" 1; "e" "u" 1;
"a" "a" "w" 1; "c" "o" 1; "d" "z" 1; "e" "u" 1;
"a" "a" "w" 1; "c" "o" 1; "d" "z" 1; "e" "u" 1;
"a" "a" "w" 1; "c" "o" 1; "d" "z" 1; "e" "u" 1;
"a" "a" "w" 1; "c" "o" 1; "d" "z" 1; "e" "m" "u" 1;
"a" "a" "w" 1; "c" "o" 1; "d" "z" 1; "e" "m" "u" 1;
"a" "a" "w" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "u" 1;
"a" "a" "w" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "u" 1;
"a" "a" "w" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "u" 1;
"a" "a" "w" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "u" 1;
"a" "a" "w" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "u" 1;
"a" "a" "w" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "r" "u" 1;
"a" "a" "w" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "r" "u" 1;
"a" "a" "w" "z" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "r" "u" 1;
"a" "a" "w" "z" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "r" "u" 1;
"a" "a" "w" "z" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "r" "u" 1;
"a" "a" "w" "z" 1; "c" "o" "z" 1; "d" "z" 1; "e" "l" "m" "r" "u" 1;
"a" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "z" 5; "e" "r" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "z" 5; "e" "r" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "z" 5; "e" "r" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "z" 5; "e" "r" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "z" 5; "e" "r" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "z" 6; "e" "r" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "z" 6; "e" "r" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "z" 6; "e" "r" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "z" 6; "e" "r" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "n" "z" 4; "d" "z" 6; "e" "r" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "n" "z" 4; "d" "z" 6; "e" "r" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "n" "z" 4; "d" "z" 6; "e" "r" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "n" "z" 4; "d" "z" 6; "e" "r" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "n" "z" 4; "d" "z" 6; "e" "r" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "n" "z" 4; "d" "z" 6; "e" "r" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "n" "z" 4; "d" "z" 6; "e" "r" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "n" "z" 4; "d" "z" 6; "e" "r" 4;
"a" "m" "x" 4; "b" "k" "u" 4; "c" "g" "n" "z" 4; "d" "z" 6; "e" "r" 4;
"a" "a" "m" "x" 4; "b" "k" "u" "v" 4; "c" "g" "n" "z" 4; "d" "z" 6; "e" "e" "r" 4;
"a" "a" "m" "x" 4; "b" "k" "u" "v" 4; "c" "g" "n" "z" 4; "d" "z" 6; "e" "e" "r" 4;
"a" "a" "m" "x" 4; "b" "k" "u" "v" 4; "c" "g" "n" "z" 4; "d" "z" 6; "e" "e" "r" 4;
"a" "a" "m" "x" 4; "b" "k" "u" "v" 4; "c" "g" "n" "z" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "a" "m" "x" 4; "b" "k" "u" "v" 4; "c" "g" "n" "z" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "a" "m" "x" 4; "b" "k" "u" "v" 4; "c" "g" "n" "z" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "a" "m" "x" 4; "b" "k" "u" "v" 4; "c" "g" "n" "z" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" "z" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" "z" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "k" "u" "v" 4; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "w" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "w" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "w" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 6; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 7; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 7; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 7; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 7; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 7; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 7; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 7; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 7; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 7; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 7; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" "v" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" "v" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" "v" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" "v" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" "v" 5; "c" "a" "g" "n" "q" "w" 4; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" "v" 5; "c" "g" 5; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" "v" 5; "c" "g" 5; "d" "z" 8; "e" "e" "r" 4;
"a" "x" 5; "b" "u" "v" 5; "c" "g" 5; "d" "z" 8; "e" "e" "r" 4;
"a" "x" 5; "b" "u" "v" 5; "c" "g" 5; "d" "z" 8; "e" "e" "r" 4;
"a" "x" 5; "b" "u" "v" 5; "c" "g" 5; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" "v" 5; "c" "g" 5; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" "v" 5; "c" "g" 5; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" "v" 5; "c" "g" 5; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" "v" 5; "c" "g" 5; "d" "z" 8; "e" "e" "r" "s" 4;
"a" "x" 5; "b" "u" "v" 5; "c" "g" 5; "d" "z" 8; "e" "e" "r" "s" 4;
