none
none
none
none
none
none
none
none
none
none
none
"c" "k" "o" "s" 1;
"c" "k" "o" "s" 1;
"c" "k" "o" "s" 1;
"b" "a" 1; "c" "k" "o" "s" 1;
"b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" "k" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" "k" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "n" "y" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
"a" "n" "y" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
"a" "n" "y" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
"a" "n" "y" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
"a" "n" "y" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
"a" "n" "y" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
"a" "n" "y" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
"a" "n" "y" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
"a" "n" "y" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 6;
"a" "n" "y" 3; "b" "k" "o" 4; "c" "y" 5; "d" "e" "m" "n" "u" 4; "e" "q" 6;
"a" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "u" 5; "e" "q" 6;
"a" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "u" 5; "e" "q" 6;
"a" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "u" 5; "e" "q" 6;
"a" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "u" 5; "e" "q" 6;
"a" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "u" 5; "e" "q" 6;
"a" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "u" 5; "e" "q" 6;
"a" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "u" 5; "e" "q" 6;
"a" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "d" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "d" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "d" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "d" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "d" "n" "y" 3; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "d" 4; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "d" 4; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "d" 4; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "d" 4; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "d" 4; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "d" 4; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "d" 4; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "d" 4; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "d" 4; "b" "k" 5; "c" "y" 5; "d" "n" "u" 5; "e" "q" 6;
"a" "d" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 6;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 6; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 7; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 7; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 7; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 7; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 7; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 7; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 7; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 7; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 7; "e" "q" 7;
"a" "d" "i" "n" "y" 4; "b" "k" 5; "c" "y" 5; "d" "n" 7; "e" "q" 7;
