none
none
none
none
none
none
none
none
none
none
none
none
"b" "a" 1;
"b" "a" 1;
"b" "a" 1;
"b" "a" 1;
"b" "a" 1; "c" "y" 1;
"b" "a" 1; "c" "y" 1;
"a" "o" 1; "b" "a" "r" "y" 1; "c" "y" 1;
"a" "o" "z" 1; "b" "a" "r" "y" 1; "c" "y" 1;
"a" "o" "z" 1; "b" "a" "r" "y" 1; "c" "y" 1;
"a" "o" "z" 1; "b" "a" "r" "y" 1; "c" "y" 1; "e" "p" 1;
"a" "o" "z" 1; "b" "a" "g" "r" "y" 1; "c" "y" 1; "e" "p" 1;
"a" "o" "z" 1; "b" "a" "g" "r" "y" 1; "c" "y" 1; "e" "p" 1;
"a" "o" "z" 1; "b" "a" "g" "r" "y" 1; "c" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "x" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "x" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "o" "x" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "o" "x" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "o" "x" "y" 1; "e" "p" "x" 1;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "i" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "i" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "i" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "p" 4; "d" "y" "z" 4; "e" "c" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "p" 4; "d" "y" "z" 4; "e" "c" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "p" 4; "d" "y" "z" 4; "e" "c" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "p" 4; "d" "y" "z" 4; "e" "c" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "p" 4; "d" "y" "z" 4; "e" "c" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "p" 4; "d" "y" "z" 4; "e" "c" "i" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "p" 4; "d" "y" "z" 4; "e" "c" "i" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "p" 4; "d" "y" "z" 4; "e" "c" "i" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "p" 4; "d" "y" "z" 4; "e" "c" "i" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "p" 4; "d" "y" "z" 4; "e" "c" "i" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "p" 4; "d" "y" "z" 4; "e" "c" "i" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "p" 4; "d" "y" "z" 4; "e" "c" "i" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "p" 4; "d" "y" "z" 4; "e" "c" "i" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "p" 4; "d" "y" "z" 4; "e" "c" "i" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "p" 4; "d" "y" "z" 4; "e" "c" "i" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "p" 4; "d" "z" 5; "e" "c" "i" "m" "p" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "p" 4; "d" "z" 5; "e" "c" "i" "m" "p" "u" "z" 3;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" 4; "d" "z" 5; "e" "c" "i" "m" "p" "u" "z" 3;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" 4; "d" "z" 5; "e" "c" "i" "m" "p" "u" "z" 3;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" 4; "d" "z" 5; "e" "c" "i" "m" "p" "u" "z" 3;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" 4; "d" "z" 5; "e" "c" "i" "m" "p" "u" "x" "z" 3;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" 4; "d" "z" 5; "e" "c" "i" "m" "p" "u" "x" "z" 3;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" 4; "d" "z" 5; "e" "c" "i" "m" "p" "u" "x" "z" 3;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" 4; "d" "z" 5; "e" "c" "i" "m" "p" "u" "x" "z" 3;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" 4; "d" "z" 5; "e" "c" "i" "m" "p" "u" "x" "z" 3;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" 4; "d" "z" 5; "e" "c" "i" "m" "p" "u" "w" "x" "z" 3;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" 4; "d" "z" 5; "e" "c" "i" "m" "p" "u" "w" "x" "z" 3;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" 4; "d" "z" 5; "e" "c" "i" "m" "p" "u" "w" "x" "z" 3;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" 4; "d" "z" 5; "e" "c" "i" "m" "p" "u" "w" "x" "z" 3;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" 4; "d" "z" 5; "e" "c" "i" "m" "p" "u" "w" "x" "z" 3;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" 4; "d" "z" 5; "e" "c" "i" "m" "p" "u" "w" "x" "z" 3;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" 4; "d" "z" 5; "e" "c" "i" "m" "p" "u" "w" "x" "z" 3;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" 4; "d" "z" 5; "e" "i" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" 4; "d" "z" 5; "e" "i" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" 4; "d" "z" 5; "e" "i" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" 4; "d" "z" 5; "e" "i" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" 4; "d" "z" 5; "e" "i" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" 4; "d" "z" 5; "e" "i" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "z" 5; "e" "i" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "i" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" "u" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" "u" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" "u" "w" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" "u" "w" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" "u" "w" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" "u" "w" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" "u" "w" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" "u" "w" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" "u" "w" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" "u" "w" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" "u" "w" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" "u" "w" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" "u" "w" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" "u" "w" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" "u" "w" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "c" "i" "u" "w" 4;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "p" "q" "y" 4; "d" "y" "z" 5; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "c" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "c" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "c" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "c" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "c" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "c" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "c" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "c" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "c" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "c" "u" 5;
"a" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "c" "u" 5;
"a" "j" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "c" "u" 5;
"a" "j" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "c" "u" 5;
"a" "j" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 6; "e" "c" "u" 5;
"a" "j" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 7; "e" "c" "u" 5;
"a" "j" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" 5; "d" "y" 7; "e" "c" "u" 5;
"a" "j" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" "x" 5; "d" "y" 7; "e" "c" "u" 5;
"a" "j" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" "x" 5; "d" "y" 7; "e" "c" "u" 5;
"a" "j" "q" 5; "b" "g" "j" "u" 5; "c" "b" "q" "x" 5; "d" "y" 7; "e" "c" "u" 5;
"a" "j" "q" "s" 5; "b" "g" "j" "u" 5; "c" "b" "p" "q" "x" 5; "d" "y" 7; "e" "c" "u" 5;
"a" "j" "q" "s" 5; "b" "g" "j" "u" 5; "c" "b" "p" "q" "x" 5; "d" "y" 7; "e" "c" "u" 5;
"a" "j" "q" "s" 5; "b" "g" "j" "u" 5; "c" "b" "p" "q" "x" 5; "d" "y" 7; "e" "c" "u" 5;
"a" "j" "q" "s" 5; "b" "g" "j" "u" 5; "c" "b" "p" "q" "x" 5; "d" "y" 7; "e" "c" "u" 5;
"a" "j" "q" "s" 5; "b" "g" "j" "u" 5; "c" "b" "p" "q" "x" 5; "d" "y" 7; "e" "c" "u" 5;
"a" "j" "q" "s" 5; "b" "g" "j" "u" 5; "c" "b" "p" "q" "x" 5; "d" "y" 7; "e" "c" "u" 5;
"a" "j" "q" "s" 5; "b" "g" "j" "u" 5; "c" "b" "c" "p" "q" "x" 5; "d" "y" 7; "e" "c" "u" 5;
"a" "j" "q" "s" 5; "b" "g" "j" "u" 5; "c" "b" "c" "p" "q" "x" 5; "d" "y" 7; "e" "c" "u" 5;
"a" "j" "q" "s" 5; "b" "g" "j" "u" 5; "c" "b" "c" "p" "q" "x" 5; "d" "y" 7; "e" "c" 5;
"a" "j" "q" "s" 5; "b" "g" "j" "u" 5; "c" "b" "c" "p" "q" "x" 5; "d" "y" 7; "e" "c" 5;
"a" "j" "q" "s" 5; "b" "g" "j" "u" 5; "c" "b" "c" "p" "q" "x" 5; "d" "y" 7; "e" "c" 5;
"a" "j" "q" "s" 5; "b" "g" "j" "u" 5; "c" "b" "c" "p" "q" "x" 5; "d" "y" 7; "e" "c" 5;
"a" "j" "q" "s" 5; "b" "g" "j" "u" 5; "c" "b" "c" "p" "q" "x" 5; "d" "y" 7; "e" "c" 5;
"a" "j" "q" "s" 5; "b" "g" "j" "u" 5; "c" "b" "c" "p" "q" "x" 5; "d" "y" 7; "e" "c" 5;
