none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"a" "o" 1; "b" "o" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "o" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "o" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "c" "o" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "g" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "g" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "g" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "g" "h" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "g" "h" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "o" 5;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "o" 5;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "o" 5;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "o" 5;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "o" 5;
"a" "b" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "o" 5;
"a" "b" "i" "u" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "o" 5;
"a" "b" "i" "u" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "o" 5;
"a" "b" "i" "u" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "o" 5;
"a" "b" "i" "u" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "o" 5;
"a" "b" "i" "u" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "o" 5;
"a" "b" "i" "u" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "o" 5;
"a" "b" "i" "u" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "o" 5;
"a" "b" "f" "i" "u" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "o" 5;
"a" "b" "f" "i" "u" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "o" 5;
"a" "b" "f" "i" "u" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "o" 5;
"a" "b" "f" "i" "u" 3; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "b" "f" "i" "u" 3; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" "o" 5;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "i" 4; "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "i" 4; "b" "b" "q" "r" "t" 3; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "i" 4; "b" "b" "q" "r" "t" "w" 3; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "i" 4; "b" "b" "q" "r" "t" "w" 3; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "i" 4; "b" "b" "q" "r" "t" "w" 3; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "b" "f" "i" "o" "t" "u" "v" 3; "b" "b" "q" "r" "t" "w" 3; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "b" "f" "i" "o" "t" "u" "v" 3; "b" "b" "q" "r" "t" "w" 3; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "b" "f" "i" "o" "t" "u" "v" 3; "b" "b" "q" "r" "t" "w" 3; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "o" 4; "b" "b" "q" "t" "w" 3; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "o" 4; "b" "b" "q" "t" "w" 3; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "o" 4; "b" "b" "q" "t" "w" 3; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "o" 4; "b" "b" "q" "t" "w" 3; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "o" 4; "b" "b" "q" "t" "w" 3; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "o" 4; "b" "b" "q" "t" "w" 3; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "i" "o" 4; "b" "b" "q" "t" "w" 3; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "i" "o" 4; "b" "t" 4; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "i" "o" 4; "b" "t" 4; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "i" "o" 4; "b" "t" 4; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "i" "o" 4; "b" "t" 4; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "i" "o" 4; "b" "t" 4; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "i" "o" 4; "b" "t" 4; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "i" "o" 4; "b" "t" 4; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "i" "o" 4; "b" "t" 4; "c" "q" 5; "d" "r" 5; "e" "g" 6;
"a" "i" "o" 4; "b" "t" 4; "c" "q" 5; "d" "r" 5; "e" "g" "h" 6;
"a" "i" "o" 4; "b" "t" 4; "c" "q" 5; "d" "r" 5; "e" "g" "h" 6;
"a" "i" "o" 4; "b" "t" 4; "c" "q" 5; "d" "r" 5; "e" "g" "h" 6;
"a" "i" "o" 4; "b" "t" "z" 4; "c" "q" 5; "d" "r" 5; "e" "g" "h" 6;
"a" "i" "o" 4; "b" "t" "z" 4; "c" "q" 5; "d" "r" 5; "e" "g" "h" 6;
"a" "i" "o" 4; "b" "t" "z" 4; "c" "q" 5; "d" "r" 5; "e" "g" "h" 6;
"a" "i" "o" "u" 4; "b" "t" "z" 4; "c" "q" 5; "d" "r" 5; "e" "g" "h" 6;
"a" "i" "o" "u" 4; "b" "t" "z" 4; "c" "q" 5; "d" "r" 5; "e" "g" "h" 6;
"a" "i" "o" "u" 4; "b" "t" "z" 4; "c" "q" 5; "d" "r" 5; "e" "g" "h" 6;
"a" "i" "o" "u" 4; "b" "t" "z" 4; "c" "q" 5; "d" "r" 5; "e" "g" "h" 6;
"a" "i" "o" "u" 4; "b" "t" "z" 4; "c" "q" 5; "d" "r" 5; "e" "g" "h" 6;
"a" "i" "o" "u" 4; "b" "t" "z" 4; "c" "q" 5; "d" "r" 5; "e" "h" 7;
"a" "i" "o" "u" 4; "b" "t" "z" 4; "c" "q" 5; "d" "r" 5; "e" "h" 7;
"a" "i" "o" "u" 4; "b" "t" "z" 4; "c" "q" 5; "d" "r" 5; "e" "h" 7;
"a" "i" "o" "u" "w" 4; "b" "t" "z" 4; "c" "q" 5; "d" "r" 6; "e" "h" 7;
"a" "i" "o" "u" "w" 4; "b" "t" "z" 4; "c" "q" 5; "d" "r" 6; "e" "h" 7;
"a" "i" "o" "u" "w" 4; "b" "t" "z" 4; "c" "q" 5; "d" "r" 6; "e" "h" 7;
"a" "i" "o" "u" "w" 4; "b" "t" "z" 4; "c" "q" 5; "d" "r" 6; "e" "h" 7;
"a" "i" "o" "u" "w" 4; "b" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" "o" "u" "v" "w" 4; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" 5; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" 5; "b" "q" "t" "z" 4; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" 5; "b" "q" 5; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" 5; "b" "q" 5; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" 5; "b" "q" 5; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" 5; "b" "q" 5; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" 5; "b" "q" 5; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" 5; "b" "q" 5; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" 5; "b" "q" 5; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" 5; "b" "q" 5; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" 5; "b" "q" 5; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" 5; "b" "q" 5; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" 5; "b" "q" 5; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" 5; "b" "q" 5; "c" "q" 5; "d" "r" 7; "e" "h" 7;
"a" "i" 5; "b" "q" 5; "c" "q" 5; "d" "r" 7; "e" "h" 7;
