none
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "z" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "z" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "z" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "z" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "z" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "z" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "o" "z" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "o" "z" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "o" "z" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "o" "z" 1;
"a" "c" 1; "b" "i" 1; "d" "c" 1; "e" "c" "o" "z" 1;
"a" "c" 1; "b" "i" 1; "d" "c" 1; "e" "c" "o" "z" 1;
"a" "c" "t" 1; "b" "i" 1; "d" "c" 1; "e" "c" "o" "z" 1;
"a" "c" "t" 1; "b" "i" 1; "d" "c" 1; "e" "c" "o" "z" 1;
"a" "c" "t" 1; "b" "i" 1; "d" "c" "y" 1; "e" "c" "o" "z" 1;
"a" "u" 5; "b" "h" "l" 4; "c" "g" 4; "d" "b" "s" "y" "z" 3; "e" "c" 6;
"a" "u" 5; "b" "h" "l" 4; "c" "g" 4; "d" "b" "s" "y" "z" 3; "e" "c" 6;
"a" "u" 5; "b" "h" "l" 4; "c" "g" 4; "d" "b" "s" "y" "z" 3; "e" "c" 6;
"a" "u" 5; "b" "h" "l" 4; "c" "g" 4; "d" "b" "s" "y" "z" 3; "e" "c" 6;
"a" "u" 5; "b" "h" "l" 4; "c" "g" 4; "d" "b" "s" "y" "z" 3; "e" "c" 6;
"a" "u" 5; "b" "h" "l" 4; "c" "g" 4; "d" "b" "s" "y" "z" 3; "e" "c" 6;
"a" "u" 5; "b" "h" "l" 4; "c" "g" 4; "d" "b" "s" "y" "z" 3; "e" "c" 6;
"a" "u" 5; "b" "h" "l" 4; "c" "g" 4; "d" "b" "s" "y" "z" 3; "e" "c" 6;
"a" "u" 5; "b" "h" "l" 4; "c" "g" 4; "d" "b" "s" "y" "z" 3; "e" "c" 6;
"a" "u" 5; "b" "h" "l" 4; "c" "g" 4; "d" "b" "s" "y" "z" 3; "e" "c" 6;
"a" "u" 5; "b" "h" "l" 4; "c" "g" 4; "d" "b" "s" "y" "z" 3; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 4; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 4; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 4; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 4; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 4; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 4; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 4; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 4; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" "u" 5; "b" "c" "h" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" "u" 5; "b" "c" "h" "i" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" "u" 5; "b" "c" "h" "i" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" "u" 5; "b" "c" "h" "i" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" "u" 5; "b" "c" "h" "i" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" "u" 5; "b" "c" "h" "i" "l" "x" 4; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "x" 5; "c" "g" 5; "d" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "l" "x" 5; "c" "g" 5; "d" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "l" "x" 5; "c" "g" 5; "d" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "l" "x" 5; "c" "g" 5; "d" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "l" "x" 5; "c" "g" 5; "d" "c" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "l" "x" 5; "c" "g" 5; "d" "c" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "l" "x" 5; "c" "g" 5; "d" "c" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "l" "x" 5; "c" "g" 5; "d" "c" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "l" "x" 5; "c" "g" 5; "d" "c" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "l" "x" 5; "c" "g" 5; "d" "c" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "h" "l" "x" 5; "c" "g" 6; "d" "c" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "h" "l" "x" 5; "c" "g" 6; "d" "c" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "h" "l" "x" 5; "c" "g" 6; "d" "c" "s" "y" 4; "e" "c" 6;
"a" "g" 6; "b" "h" "l" "x" 5; "c" "g" 6; "d" "s" 5; "e" "c" 6;
"a" "g" 6; "b" "h" "l" "x" 5; "c" "g" 6; "d" "s" 5; "e" "c" 6;
"a" "g" 6; "b" "h" "l" "x" 5; "c" "g" 6; "d" "s" 5; "e" "c" 6;
"a" "g" 6; "b" "h" "l" "x" 5; "c" "g" 6; "d" "s" 5; "e" "c" 6;
"a" "g" 6; "b" "h" "l" "x" 5; "c" "g" 6; "d" "s" 5; "e" "c" 6;
"a" "g" 6; "b" "h" "l" "x" 5; "c" "g" 6; "d" "s" 5; "e" "c" 6;
"a" "g" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" 6;
"a" "g" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
"a" "g" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
"a" "g" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
"a" "g" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
"a" "g" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
"a" "g" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
"a" "g" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
"a" "g" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
"a" "g" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
"a" "g" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
"a" "g" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
"a" "g" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
"a" "g" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
"a" "g" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
"a" "g" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
"a" "g" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
"a" "g" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
"a" "g" "s" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
"a" "g" "s" 6; "b" "h" "l" 5; "c" "g" 6; "d" "s" 5; "e" "c" "z" 6;
