"c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1; "d" "a" 1;
"b" "q" 1; "c" "b" 1; "d" "a" 1;
"b" "q" 1; "c" "b" 1; "d" "a" 1;
"b" "q" 1; "c" "b" 1; "d" "a" 1;
"b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "d" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "i" 5; "c" "w" "x" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "i" 5; "c" "w" "x" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "i" 5; "c" "w" "x" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "i" 5; "c" "w" "x" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "i" 5; "c" "w" "x" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "i" "y" 5; "c" "w" "x" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "n" 4; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "n" 4; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "n" 4; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "n" 4; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "n" 4; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "d" "o" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "d" "o" "q" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "d" "o" "q" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "d" "o" "q" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "d" "o" "q" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "d" "o" "q" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "d" "o" "q" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "d" "o" "q" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "d" "o" "p" "q" "u" 3; "b" "y" 6; "c" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 4; "b" "y" 6; "c" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 4; "b" "y" 6; "c" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 4; "b" "y" 6; "c" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 4; "b" "y" 6; "c" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 4; "b" "y" 6; "c" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 5; "b" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 5; "b" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 5; "b" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 5; "b" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 5; "b" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "s" "u" 4;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "i" "l" "y" 6; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "y" 7; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "y" 7; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "y" 7; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "y" 7; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 5; "b" "y" 7; "c" "j" "w" "x" 4; "d" "n" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "w" "x" 4; "d" "m" "n" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "w" "x" 4; "d" "m" "n" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "w" "x" 4; "d" "m" "n" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
"a" "o" 6; "b" "l" "y" 7; "c" "j" "p" "w" "x" 4; "d" "m" "n" "w" 5; "e" "u" 5;
