none
none
none
none
none
none
none
none
"d" "q" 1;
"d" "q" 1;
"d" "q" 1; "e" "j" 1;
"d" "q" 1; "e" "j" 1;
"d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "j" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "j" "q" "u" 1; "e" "j" 1;
"a" "u" 1; "b" "y" 1; "d" "j" "q" "u" 1; "e" "j" 1;
"a" "u" 1; "b" "y" 1; "d" "j" "q" "u" 1; "e" "j" 1;
"a" "u" 1; "b" "y" 1; "d" "j" "q" "u" 1; "e" "j" 1;
"a" "u" 1; "b" "y" 1; "d" "j" "q" "u" 1; "e" "j" 1;
"a" "u" 1; "b" "y" 1; "d" "j" "q" "u" 1; "e" "j" 1;
"a" "u" 1; "b" "y" 1; "d" "j" "q" "u" 1; "e" "j" 1;
"a" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "k" 4;
"a" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "k" 4;
"a" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 4; "e" "k" 4;
"a" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 4; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 4; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 4; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "o" "p" "x" 4; "b" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "x" 5; "b" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "x" 5; "b" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "x" 5; "b" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "x" 5; "b" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "x" 5; "b" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "x" 5; "b" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "x" 5; "b" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "x" 5; "b" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "x" 5; "b" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "x" 5; "b" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "x" 5; "b" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "x" 5; "b" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "x" 5; "b" "c" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "x" 5; "b" "c" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "p" "x" 5; "b" "c" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "p" "x" 5; "b" "c" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "p" "x" 5; "b" "c" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "p" "x" 5; "b" "c" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "p" "x" 5; "b" "c" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 4; "c" "b" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "e" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "e" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "e" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "e" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "e" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "e" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "e" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "e" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "e" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "e" "o" "p" 4; "c" "b" "n" 5; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "e" "o" "p" 4; "c" "b" 6; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "c" "d" "e" "o" "p" 4; "c" "b" 6; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "o" 5; "c" "b" 6; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "o" 5; "c" "b" 6; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "o" 5; "c" "b" 6; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "o" 5; "c" "b" 6; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "o" 5; "c" "b" 6; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "o" 5; "c" "b" 6; "d" "a" 5; "e" "k" 4;
"a" "j" "p" "x" 5; "b" "o" 5; "c" "b" 6; "d" "a" 5; "e" "a" "k" 4;
"a" "j" "p" "x" 5; "b" "o" 5; "c" "b" 6; "d" "a" 5; "e" "a" "k" 4;
"a" "j" "p" "x" 5; "b" "o" 5; "c" "b" 6; "d" "a" 5; "e" "a" "k" 4;
"a" "j" "p" "x" 5; "b" "o" 5; "c" "b" 6; "d" "a" 5; "e" "a" "k" 4;
"a" "j" "p" "x" 5; "b" "o" 5; "c" "b" 6; "d" "a" 5; "e" "a" "k" 4;
"a" "j" "p" "x" 5; "b" "o" 5; "c" "b" 6; "d" "a" 5; "e" "a" "k" 4;
"a" "j" "p" "x" 5; "b" "o" 5; "c" "b" 6; "d" "a" 5; "e" "a" "k" 4;
"a" "j" "p" "x" 5; "b" "o" 5; "c" "b" 6; "d" "a" 5; "e" "a" "k" 4;
"a" "j" "p" "x" 5; "b" "o" 5; "c" "b" 6; "d" "a" 5; "e" "a" "k" 4;
"a" "j" "p" "x" 5; "b" "o" 5; "c" "b" 6; "d" "a" 5; "e" "a" "k" "r" 4;
"a" "j" "p" "x" 5; "b" "o" 5; "c" "b" 6; "d" "a" 5; "e" "a" "k" "r" 4;
"a" "j" "p" "x" 5; "b" "c" "o" 5; "c" "b" 6; "d" "a" 5; "e" "a" "k" "r" 4;
"a" "j" "p" "x" 5; "b" "c" "o" 5; "c" "b" 6; "d" "a" 5; "e" "a" "k" "r" 4;
"a" "j" "p" "x" 5; "b" "c" "o" 5; "c" "b" 6; "d" "a" 5; "e" "a" "k" "r" 4;
"a" "j" "p" "x" 5; "b" "c" "o" 5; "c" "b" 6; "d" "a" 5; "e" "a" "k" "r" 4;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" 5; "e" "a" "k" "r" 4;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" 5; "e" "k" 5;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" 5; "e" "k" 5;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 6; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 7; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" "x" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
"a" "j" "p" "s" 5; "b" "c" "o" "p" 5; "c" "b" 8; "d" "a" "i" 5; "e" "k" 5;
