none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"a" "i" 1; "e" "q" "y" 1;
"a" "i" 1; "e" "q" "y" 1;
"a" "i" 1; "e" "q" "y" 1;
"a" "i" 1; "e" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" "o" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" "o" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" "o" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" "o" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" "i" 1; "c" "g" "o" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" "i" 1; "c" "g" "o" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" "i" 1; "c" "b" "g" "o" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "l" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "l" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "l" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" "i" "p" 4; "c" "g" "i" "t" 3; "d" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "g" "i" "t" "x" 3; "d" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "g" "i" "t" "x" 3; "d" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "g" "i" "t" "x" 3; "d" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "g" "i" "t" "x" 3; "d" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "g" "i" "t" "x" 3; "d" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "g" "i" "t" "x" 3; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "g" "i" "t" "x" 3; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "g" "i" "t" "u" "x" 3; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "f" "g" "i" "t" "u" "x" 3; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "f" "g" "i" "t" "u" "x" 3; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "f" "g" "i" "t" "u" "x" 3; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "f" "g" "i" "t" "u" "x" 3; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "f" "g" "i" "t" "u" "x" 3; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "f" "g" "i" "t" "u" "x" 3; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "f" "g" "i" "t" "u" "x" 3; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "f" "g" "i" "t" "u" "x" 3; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "f" "g" "i" "o" "t" "u" "x" 3; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "f" "g" "i" "o" "t" "u" "x" 3; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "f" "g" "i" "o" "t" "u" "x" 3; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "f" "g" "i" "o" "t" "u" "x" "y" 3; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "f" "g" "i" "o" "t" "u" "x" "y" 3; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "f" "g" "i" "o" "t" "u" "x" "y" 3; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "f" "g" "i" "o" "t" "u" "x" "y" 3; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "g" 4; "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "g" 4; "d" "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "g" 4; "d" "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "g" 4; "d" "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "g" 4; "d" "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "g" 4; "d" "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "g" 4; "d" "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" 5; "c" "g" 4; "d" "d" "o" "q" 4; "e" "p" 4;
"a" "i" "m" 4; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "p" "w" 4;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "g" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" "y" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" "y" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" "y" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" "y" 4; "d" "d" "l" "o" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" "y" 4; "d" "d" "l" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" "y" 4; "d" "d" "l" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "f" "g" "u" "y" 4; "d" "d" "l" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "f" "h" "l" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "f" "h" "l" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "f" "h" "l" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "f" "h" "l" "q" 4; "e" "w" 5;
"a" "i" "m" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "f" "h" "l" "q" 4; "e" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "f" "h" "l" "q" 4; "e" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" 5; "e" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" 5; "e" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" 5; "e" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" 5; "e" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" 5; "e" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" 5; "e" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" 5; "e" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" 5; "e" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" 5; "e" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" 5; "e" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" 5; "e" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" 5; "e" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "u" "y" 4; "d" "l" 5; "e" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "i" "u" "y" 4; "d" "l" 5; "e" "n" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "i" "u" "y" 4; "d" "l" 5; "e" "n" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "i" "u" "y" 4; "d" "l" 5; "e" "n" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "i" "u" "y" 4; "d" "l" 5; "e" "n" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "i" "u" "y" 4; "d" "l" 5; "e" "n" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "i" "u" "y" 4; "d" "l" 5; "e" "n" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" 5; "c" "c" "f" "g" "i" "u" "y" 4; "d" "l" 5; "e" "n" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" "u" 5; "c" "i" 5; "d" "l" 5; "e" "n" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" "u" 5; "c" "i" 5; "d" "l" 5; "e" "n" "p" "w" 5;
"a" "i" "m" "r" 5; "b" "b" "p" "u" 5; "c" "i" 5; "d" "l" 5; "e" "n" "p" "w" 5;
