none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "k" 1;
"c" "k" 1;
"c" "k" 1;
"c" "k" 1;
"c" "k" "n" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" "s" 1;
"c" "j" "k" "n" "x" 1; "e" "a" "s" 1;
"c" "j" 2; "e" "a" "j" "s" 1;
"c" "j" 2; "e" "a" "j" "s" 1;
"c" "j" 2; "e" "a" "j" "s" 1;
"c" "j" 2; "e" "a" "j" "s" 1;
"c" "j" 2; "e" "a" "j" "s" 1;
"c" "j" 2; "d" "f" 1; "e" "a" "j" "s" 1;
"c" "j" 2; "d" "f" 1; "e" "a" "j" "s" 1;
"c" "j" 2; "d" "f" 1; "e" "a" "j" "s" 1;
"c" "j" 2; "d" "f" 1; "e" "a" "h" "j" "s" 1;
"b" "k" 1; "c" "j" 2; "d" "f" 1; "e" "a" "h" "j" "s" 1;
"b" "k" 1; "c" "j" 2; "d" "f" 1; "e" "a" "g" "h" "j" "s" 1;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 4; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 4; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 4; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 4; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 4; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 4; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 4; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 4; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 5; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 5; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 5; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 5; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 5; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 5; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 5; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 5; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 5; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 5; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "w" 5; "c" "j" "q" 4; "d" "c" 5; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "w" 5; "c" "j" "q" 4; "d" "c" 5; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "w" 5; "c" "j" "q" 4; "d" "c" 5; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "w" 5; "c" "j" "q" 4; "d" "c" 5; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 6; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 6; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 6; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 6; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 6; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 6; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 6; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 6; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 6; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 6; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "j" 6; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" "q" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" "q" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" "q" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" "q" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" "q" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" "q" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" "q" 5; "b" "w" 5; "c" "d" "q" 5; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" "q" 5; "b" "w" 5; "c" "q" 6; "d" "c" 5; "e" "s" "u" 5;
"a" "a" "j" "q" 5; "b" "w" 5; "c" "q" 6; "d" "c" 5; "e" "s" "u" 5;
"a" "q" 6; "b" "w" 5; "c" "q" 6; "d" "c" 5; "e" "s" "u" 5;
