none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"a" "x" 1; "c" "y" 1;
"a" "x" 1; "c" "y" 1;
"a" "x" 1; "c" "b" "y" 1;
"a" "x" 1; "c" "b" "y" 1;
"a" "x" 1; "c" "b" "y" 1;
"a" "x" 1; "c" "b" "d" "y" 1;
"a" "x" 1; "c" "b" "d" "y" 1;
"a" "b" "x" 1; "c" "b" "d" "y" 1;
"a" "b" "x" 1; "c" "b" "d" "y" 1;
"a" "b" "s" "x" 1; "c" "b" "d" "y" 1;
"a" "b" "s" "x" 1; "c" "b" "d" "y" 1;
"a" "b" "s" "x" 1; "c" "d" 2;
"a" "b" "s" "x" 1; "c" "d" 2;
"a" "b" "s" "x" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "t" 2; "b" "d" "u" 1; "c" "d" 2;
"a" "t" 2; "b" "d" "u" 1; "c" "d" 2; "d" "q" 1;
"a" "t" 2; "b" "d" "u" 1; "c" "d" 2; "d" "q" 1;
"a" "j" "n" "q" "t" 3; "b" "a" "b" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "h" "r" 4;
"a" "j" "n" "q" "t" 3; "b" "a" "b" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "h" "r" 4;
"a" "j" "n" "q" "t" 3; "b" "a" "b" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "h" "r" 4;
"a" "j" "n" "q" "t" 3; "b" "a" "b" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "h" "r" 4;
"a" "b" "h" "j" "n" "q" "t" 3; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" "r" 4;
"a" "b" "h" "j" "n" "q" "t" 3; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" "r" 4;
"a" "b" "h" "j" "n" "q" "t" 3; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" "r" 4;
"a" "b" "h" "j" "n" "q" "t" 3; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" "r" 4;
"a" "b" "h" "j" "n" "q" "t" 3; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" "r" 4;
"a" "b" "h" "j" "n" "q" "t" 3; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" "r" 4;
"a" "b" "h" "j" "n" "q" "t" 3; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" "r" 4;
"a" "b" "h" "j" "n" "q" "t" 3; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" "r" 4;
"a" "b" "h" "j" "n" "q" "t" 3; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" "r" 4;
"a" "b" "h" "j" "n" "q" "t" 3; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" "r" 4;
"a" "b" "h" "j" "n" "q" "t" 3; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" "r" 4;
"a" "b" 4; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" "r" 4;
"a" "b" 4; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" "r" 4;
"a" "b" 4; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "a" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "a" "b" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "a" "b" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "a" "b" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "a" "b" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 5; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 6; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 6; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 6; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 6; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 6; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 6; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 6; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 6; "c" "t" 7; "d" "g" "p" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 6; "c" "t" 7; "d" "d" "g" "p" "s" 4; "e" "h" 5;
"a" "b" 4; "b" "b" 6; "c" "t" 7; "d" "d" "g" "p" "s" 4; "e" "h" 5;
"a" "b" 5; "b" "b" 6; "c" "t" 7; "d" "d" "g" "p" "s" 4; "e" "h" 5;
"a" "b" 5; "b" "b" 6; "c" "t" 7; "d" "d" "g" "p" "s" 4; "e" "h" 5;
"a" "b" 5; "b" "b" 6; "c" "t" 7; "d" "d" "g" "p" "s" 4; "e" "h" 5;
"a" "b" 5; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" "q" 5;
"a" "b" 5; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" "q" 5;
"a" "b" 5; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" "q" 5;
"a" "b" 5; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" "q" 5;
"a" "b" 5; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" "q" 5;
"a" "b" 5; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" "q" 5;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" "q" 5;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" "q" 5;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" "q" 5;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" "q" 5;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" "q" 5;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" "q" 5;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" "q" 5;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" "q" 5;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" "q" 5;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" "q" 5;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" "q" 5;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" "q" 5;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" 6;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" 6;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" 6;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" 6;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" 6;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" 6;
"a" "b" 6; "b" "b" 6; "c" "t" 7; "d" "s" 5; "e" "h" 6;
