none
none
none
none
none
none
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"b" "s" 1; "c" "p" 1;
"b" "s" 1; "c" "p" 1;
"b" "s" 1; "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"a" "d" 1; "b" "s" 1; "c" "c" "p" 1; "d" "v" 1;
"a" "d" 1; "b" "s" 1; "c" "c" "p" 1; "d" "v" 1;
"a" "d" 1; "b" "s" 1; "c" "c" "p" 1; "d" "v" 1;
"a" "d" 1; "b" "s" 1; "c" "c" "p" 1; "d" "v" 1;
"a" "d" "g" 1; "b" "s" 1; "c" "c" "p" 1; "d" "v" 1;
"a" "s" 6; "b" "g" "i" "s" "u" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" "y" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" "y" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" "y" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" "y" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" "y" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" "y" 4; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" "y" 4; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" "y" 4; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" "y" 4; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" "y" 4; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" "y" 4; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" "y" 4; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" "y" 4; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "u" 5; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "p" 5;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "p" 5;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "p" 5;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" "s" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" "s" 6; "d" "v" 6; "e" "b" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" "s" 6; "d" "v" 6; "e" "b" "h" "p" "s" "z" 4;
"a" "s" 6; "b" "g" 6; "c" "g" "s" 6; "d" "v" 6; "e" "b" "h" "p" "s" "z" 4;
"a" "p" "s" 6; "b" "g" 6; "c" "g" "s" 6; "d" "v" 6; "e" "b" "c" "h" "j" "p" "s" "z" 4;
"a" "p" "s" 6; "b" "g" 6; "c" "g" "s" 6; "d" "v" 6; "e" "b" "c" "h" "j" "p" "s" "z" 4;
"a" "p" "s" 6; "b" "g" 6; "c" "g" "s" 6; "d" "v" 6; "e" "b" "c" "h" "j" "p" "s" "z" 4;
"a" "p" "s" 6; "b" "g" 6; "c" "g" "s" 6; "d" "v" 6; "e" "b" "c" "h" "j" "p" "s" "z" 4;
"a" "p" "s" 6; "b" "g" 6; "c" "g" "s" 6; "d" "v" 6; "e" "b" "c" "h" "j" "p" "s" "z" 4;
"a" "p" "s" 6; "b" "g" 6; "c" "g" "s" 6; "d" "v" 6; "e" "b" "c" "h" "j" "p" "s" "z" 4;
"a" "p" "s" 6; "b" "g" 6; "c" "g" "s" 6; "d" "v" 6; "e" "b" "c" "h" "j" "p" "s" "z" 4;
"a" "p" "s" 6; "b" "g" 6; "c" "g" "s" 6; "d" "v" 6; "e" "b" "c" "h" "j" "p" "s" "z" 4;
"a" "p" "s" 6; "b" "g" 6; "c" "g" "s" 6; "d" "v" 6; "e" "b" "c" "h" "j" "p" "s" "z" 4;
"a" "p" "s" 6; "b" "g" 6; "c" "g" "s" 6; "d" "v" 6; "e" "j" "p" 5;
"a" "p" "s" 6; "b" "g" 6; "c" "g" "s" 6; "d" "v" 6; "e" "j" "p" 5;
"a" "p" "s" 6; "b" "g" "m" 6; "c" "g" "s" 6; "d" "v" 6; "e" "j" "p" 5;
"a" "p" "s" 6; "b" "g" "m" 6; "c" "g" "s" 6; "d" "v" 6; "e" "j" "p" 5;
