none
none
none
none
none
none
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1; "d" "r" 1;
"a" "h" "p" 1; "b" "c" 1; "d" "r" 1;
"a" "h" "p" "s" 1; "b" "c" "p" 1; "c" "h" 2; "d" "n" "r" 1;
"a" "h" "p" "s" 1; "b" "c" "p" 1; "c" "h" 2; "d" "n" "r" 1;
"a" "p" 5; "b" "a" 4; "c" "a" "d" 5; "d" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "a" 4; "c" "a" "d" 5; "d" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "a" 4; "c" "a" "d" 5; "d" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "a" 4; "c" "a" "d" 5; "d" "k" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "a" "i" "y" 4; "c" "a" "d" 5; "d" "k" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "a" "i" "y" 4; "c" "a" "d" 5; "d" "k" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "a" "i" "y" 4; "c" "a" "d" 5; "d" "k" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "a" "i" "y" 4; "c" "a" "d" 5; "d" "k" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "a" "i" "y" 4; "c" "a" "d" 5; "d" "k" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "a" "i" "y" 4; "c" "a" "d" 5; "d" "k" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "a" "i" "y" 4; "c" "a" "d" 5; "d" "k" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "u" "v" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "u" "v" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "u" "v" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "u" "v" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "u" "v" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "u" "v" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "u" "v" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "u" "v" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "u" "v" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "u" "v" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" "j" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" "j" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" "j" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "d" "j" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "j" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "j" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "j" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "j" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "j" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "j" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
"a" "p" "s" 5; "b" "y" 5; "c" "a" "j" 5; "d" "k" "o" "u" "v" "w" 5; "e" "w" 6;
