none
none
none
none
none
none
none
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"b" "n" 1; "c" "q" 1;
"b" "n" 1; "c" "q" 1; "d" "j" 1;
"b" "n" 1; "c" "q" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "h" "r" 4; "b" "e" "m" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "r" "t" "v" "w" 3; "c" "b" 5; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "r" "t" "v" "w" 3; "c" "b" 5; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "r" "t" "v" "w" 3; "c" "b" 5; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "n" "r" "t" "v" "w" 3; "c" "b" 5; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "n" "r" "t" "v" "w" 3; "c" "b" 5; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "n" "r" "t" "v" "w" 3; "c" "b" 5; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "n" "r" "t" "w" 3; "c" "b" 5; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "n" "r" "t" "w" 3; "c" "b" 5; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "n" "r" "t" "w" 3; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "r" 4; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "n" "r" 4; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" 5; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "r" 4; "d" "b" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "d" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "d" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "d" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "d" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "d" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "d" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "d" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "d" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "d" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "d" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "d" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "d" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "b" "d" "r" 4; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" 4; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "r" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 5; "d" "y" 5; "e" "l" 5;
"a" "h" "j" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 5; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 6; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 6; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 6; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 6; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 6; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 6; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 6; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 6; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 6; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 6; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 6; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" 4; "c" "r" 6; "d" "b" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" "z" 4; "c" "r" 6; "d" "b" "c" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" "z" 4; "c" "r" 6; "d" "b" "c" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" "z" 4; "c" "r" 6; "d" "b" "c" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" "z" 4; "c" "r" 6; "d" "b" "c" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "e" "n" "q" "r" "w" "z" 4; "c" "r" 6; "d" "b" "c" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "q" 5; "c" "r" 6; "d" "b" "c" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "q" 5; "c" "r" 6; "d" "b" "c" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "q" 5; "c" "r" 6; "d" "b" "c" "j" "u" "y" 4; "e" "l" 5;
"a" "h" "j" "q" "r" 4; "b" "q" 5; "c" "r" 6; "d" "b" "c" "j" "u" "y" 4; "e" "l" 5;
"a" "h" 5; "b" "q" 5; "c" "r" 6; "d" "b" "c" "j" "u" "y" 4; "e" "l" 5;
"a" "h" 5; "b" "q" 5; "c" "r" 6; "d" "b" "c" "j" "u" "y" 4; "e" "l" "q" 5;
"a" "h" 5; "b" "q" 5; "c" "r" 6; "d" "b" "c" "j" "u" "y" 4; "e" "l" "q" 5;
"a" "h" 5; "b" "q" 5; "c" "r" 6; "d" "b" "c" "j" "u" "y" 4; "e" "l" "q" 5;
"a" "h" 5; "b" "q" 5; "c" "r" 6; "d" "b" "c" "j" "u" "y" 4; "e" "l" "q" 5;
"a" "h" 5; "b" "q" 5; "c" "r" 6; "d" "b" "c" "j" "u" "y" 4; "e" "l" "q" 5;
"a" "h" 5; "b" "q" 5; "c" "r" 6; "d" "b" "c" "g" "j" "u" "y" 4; "e" "l" "q" 5;
"a" "h" 5; "b" "q" 5; "c" "r" 6; "d" "b" "c" "g" "j" "u" "y" 4; "e" "l" "q" 5;
"a" "h" 5; "b" "q" 5; "c" "r" 6; "d" "b" "c" "g" "j" "u" "y" 4; "e" "l" "q" 5;
"a" "h" 5; "b" "q" 5; "c" "r" 6; "d" "b" "c" "g" "j" "u" "y" 4; "e" "l" "q" 5;
"a" "h" 5; "b" "q" 5; "c" "r" 6; "d" "b" "c" "g" "j" "u" "y" 4; "e" "l" "q" 5;
"a" "h" 5; "b" "q" "z" 5; "c" "r" 6; "d" "b" "c" "g" "j" "u" "y" 4; "e" "l" "q" 5;
"a" "h" 5; "b" "q" "z" 5; "c" "r" 6; "d" "b" "c" "g" "j" "u" "y" 4; "e" "l" "q" 5;
"a" "h" 5; "b" "q" "z" 5; "c" "r" 6; "d" "b" "c" "g" "j" "u" "y" 4; "e" "l" "q" 5;
"a" "h" 5; "b" "q" "z" 5; "c" "r" 6; "d" "b" "c" "g" "j" "u" "y" 4; "e" "l" "q" 5;
"a" "h" 5; "b" "q" "z" 5; "c" "r" 6; "d" "b" "c" "g" "j" "u" "y" 4; "e" "l" "q" 5;
