none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1; "e" "i" 1;
"d" "g" 1; "e" "i" 1;
"d" "g" 1; "e" "i" 1;
"d" "g" 1; "e" "i" 1;
"d" "g" 1; "e" "i" 1;
"d" "g" 1; "e" "i" 1;
"d" "g" 1; "e" "i" 1;
"d" "g" "u" "z" 1; "e" "h" "i" 1;
"d" "g" "u" "z" 1; "e" "h" "i" 1;
"d" "g" "u" "z" 1; "e" "h" "i" 1;
"b" "k" 1; "d" "g" "u" "z" 1; "e" "h" "i" 1;
"b" "k" 1; "d" "g" "u" "z" 1; "e" "h" "i" 1;
"b" "k" 1; "d" "g" "u" "z" 1; "e" "h" "i" 1;
"b" "k" 1; "d" "g" "u" "z" 1; "e" "h" "i" 1;
"b" "k" 1; "d" "g" "u" "z" 1; "e" "h" "i" 1;
"b" "k" 1; "d" "g" "u" "z" 1; "e" "h" "i" 1;
"b" "f" "k" 1; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "h" "i" "n" 1;
"b" "f" "k" 1; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "h" "i" "n" 1;
"b" "f" "k" 1; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "c" "h" "i" "n" 1;
"b" "f" "k" 1; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "c" "h" "i" "n" "t" 1;
"b" "f" "k" "x" 1; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "c" "h" "i" "n" "t" 1;
"b" "f" "k" "x" 1; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "c" "h" "i" "n" "t" 1;
"b" "f" "k" "x" 1; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "c" "h" "i" "n" "t" 1;
"b" "f" "k" "x" 1; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "c" "h" "i" "n" "t" 1;
"b" "f" "k" "x" 1; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "c" "h" "i" "n" "p" "t" 1;
"a" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "q" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "q" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "q" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "q" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "q" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "t" 4;
"a" "q" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "q" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "q" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "q" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "q" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 5; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "x" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "x" "z" 4; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "z" 5; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "z" 5; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "z" 5; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "z" 5; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "n" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "n" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "n" "o" "t" 4;
"a" "n" "q" "t" 4; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "n" "o" "t" 4;
"a" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "n" "o" "t" 4;
"a" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "n" "o" "t" 4;
"a" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "n" "o" "t" 4;
"a" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "n" "o" "t" 4;
"a" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "n" "o" "t" 4;
"a" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "n" "o" "t" 4;
"a" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "n" "o" "t" 4;
"a" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "n" "o" "t" 4;
"a" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "n" "o" "t" 4;
"a" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" "n" "o" "t" 4;
"a" "l" "t" 5; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
"a" "t" 6; "b" "g" 6; "c" "w" 6; "d" "v" "z" 5; "e" "h" 5;
