none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "b" 1;
"d" "b" 1;
"c" "g" 1; "d" "b" 1;
"c" "g" 1; "d" "b" 1;
"c" "g" 1; "d" "b" 1;
"c" "g" 1; "d" "b" 1;
"c" "g" 1; "d" "b" 1;
"a" "a" 1; "c" "g" 1; "d" "b" 1;
"a" "a" 1; "c" "g" 1; "d" "b" 1;
"a" "a" 1; "b" "b" 1; "c" "g" 1; "d" "b" "y" 1;
"a" "a" 1; "b" "b" 1; "c" "g" 1; "d" "b" "y" 1;
"a" "a" 1; "b" "b" 1; "c" "g" 1; "d" "b" "y" 1;
"a" "a" 1; "b" "b" 1; "c" "g" 1; "d" "b" "j" "y" 1;
"a" "a" "s" 1; "b" "b" 1; "c" "g" "l" 1; "d" "b" "j" "y" 1;
"a" "i" "l" 4; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "j" 4;
"a" "i" "l" 4; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "j" 4;
"a" "l" 5; "b" "e" "g" 4; "c" "n" 4; "d" "g" 5; "e" "j" 4;
"a" "l" 5; "b" "e" "g" 4; "c" "n" 4; "d" "g" 5; "e" "j" 4;
"a" "l" 5; "b" "e" "g" 4; "c" "n" 4; "d" "g" 5; "e" "j" 4;
"a" "l" 5; "b" "e" "g" 4; "c" "n" 4; "d" "g" 5; "e" "j" 4;
"a" "l" 5; "b" "e" "g" 4; "c" "n" 4; "d" "g" 5; "e" "j" 4;
"a" "l" 5; "b" "e" "g" 4; "c" "n" 4; "d" "g" 5; "e" "j" 4;
"a" "l" 5; "b" "e" "g" 4; "c" "n" 4; "d" "g" 5; "e" "j" 4;
"a" "l" 5; "b" "e" "g" 4; "c" "n" 4; "d" "g" 5; "e" "j" 4;
"a" "l" 5; "b" "e" 5; "c" "g" "n" 4; "d" "g" 5; "e" "j" 4;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 4;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 4;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "g" "n" "r" 4; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 5; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 5; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 5; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 5; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "n" "r" 5; "d" "b" "g" 5; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" "g" 5; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" "g" 5; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" "g" 5; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" "g" 5; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" "g" 5; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" "g" 5; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" "g" 5; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" "g" 5; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" "g" 5; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" "g" 5; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 6; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 6; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 6; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 6; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 6; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 6; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 6; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 6; "e" "g" "j" 5;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 6; "e" "j" 6;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 6; "e" "j" 6;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 6; "e" "j" 6;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 6; "e" "j" 6;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 6; "e" "j" 6;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 7; "e" "j" 6;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 7; "e" "j" 6;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 7; "e" "j" 6;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 7; "e" "j" 6;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 7; "e" "j" 6;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 7; "e" "j" 6;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 7; "e" "j" 6;
"a" "l" 5; "b" "e" 5; "c" "r" 6; "d" "b" 7; "e" "j" 6;
