none
none
none
none
none
none
none
none
none
none
none
none
"d" "p" 1;
"d" "p" 1;
"d" "p" 1;
"d" "p" 1;
"d" "p" 1;
"d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" "y" 1;
"a" "w" 1; "c" "a" "i" 1; "d" "p" "s" "y" 1; "e" "n" 1;
"a" "w" 1; "c" "a" "i" 1; "d" "p" "s" "y" 1; "e" "n" 1;
"a" "w" 1; "c" "a" "i" 1; "d" "p" "s" "y" 1; "e" "n" 1;
"a" "w" 1; "c" "a" "i" 1; "d" "p" "s" "y" 1; "e" "n" 1;
"a" "w" 1; "c" "a" "i" "q" "v" "x" 1; "d" "p" "s" "y" 1; "e" "n" 2;
"a" "w" 1; "c" "a" "i" "q" "v" "x" 1; "d" "p" "s" "y" 1; "e" "n" 2;
"a" "w" 1; "c" "a" "i" "q" "v" "x" 1; "d" "p" "s" "y" 1; "e" "n" 2;
"a" "w" 1; "c" "a" "i" "q" "v" "x" 1; "d" "p" "s" "y" 1; "e" "n" 2;
"a" "d" "w" 1; "c" "a" "i" "q" "v" "w" "x" 1; "d" "y" 2; "e" "n" 2;
"a" "d" "w" 1; "c" "a" "i" "q" "v" "w" "x" 1; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "c" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "c" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "t" "v" "y" 3; "e" "a" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "t" "v" "y" 3; "e" "a" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "t" "v" "y" 3; "e" "a" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "t" "v" "y" 3; "e" "a" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "t" "v" "y" 3; "e" "a" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "t" "v" "y" 3; "e" "a" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "t" "v" "y" 3; "e" "a" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "t" "v" "y" 3; "e" "a" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "t" "v" "y" 3; "e" "a" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "f" "t" "v" "y" 3; "e" "a" "g" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "f" "t" "v" "y" 3; "e" "a" "g" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "f" "t" "v" "y" 3; "e" "a" "g" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "f" "t" "v" "y" 3; "e" "a" "g" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "f" "t" "v" "y" 3; "e" "a" "g" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "f" "t" "v" "y" 3; "e" "a" "g" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "f" "t" "v" "y" 3; "e" "a" "g" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "f" "t" "v" "y" 3; "e" "a" "g" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "f" "t" "v" "y" 3; "e" "a" "g" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "f" "t" "v" "y" 3; "e" "a" "g" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "f" "t" "v" "y" 3; "e" "a" "g" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "f" "t" "v" "y" 3; "e" "a" "g" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "f" "t" "v" "y" 3; "e" "a" "g" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "n" 5; "d" "b" "f" "t" "v" "y" 3; "e" "a" "g" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" 5; "d" "b" "f" "j" "t" "v" "y" 3; "e" "a" "g" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" 5; "d" "b" "f" "j" "t" "v" "y" 3; "e" "a" "g" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" 5; "d" "b" "f" "j" "t" "v" "y" 3; "e" "a" "g" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" 5; "d" "b" "f" "j" "t" "v" "y" 3; "e" "a" "g" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" 5; "d" "y" 4; "e" "a" "g" "n" "p" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" 5; "d" "y" 4; "e" "a" "g" "n" "p" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" 5; "d" "y" 4; "e" "a" "g" "n" "p" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" 5; "d" "f" "y" 4; "e" "a" "g" "n" "p" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" 5; "d" "f" "y" 4; "e" "a" "g" "n" "p" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" 5; "d" "f" "y" 4; "e" "a" "g" "n" "p" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" 5; "d" "f" "y" 4; "e" "a" "g" "n" "p" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" 5; "d" "f" "y" 4; "e" "a" "g" "n" "p" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "n" 6; "d" "f" "y" 4; "e" "a" "g" "n" "p" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "n" 6; "d" "f" "y" 4; "e" "a" "g" "n" "p" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "n" 6; "d" "f" "y" 4; "e" "a" "g" "n" "p" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "n" 6; "d" "f" "y" 4; "e" "a" "g" "n" "p" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "n" 6; "d" "f" "y" 4; "e" "a" "g" "n" "p" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "n" 6; "d" "f" "y" 4; "e" "a" "g" "n" "p" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "n" 6; "d" "f" "y" 4; "e" "a" "g" "n" "p" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "n" 6; "d" "f" "y" 4; "e" "a" "g" "n" "p" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "n" 6; "d" "f" "y" 4; "e" "a" "g" "n" "p" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "n" 6; "d" "f" "y" 4; "e" "a" "g" "n" "p" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "n" 6; "d" "f" "y" 4; "e" "a" "g" "n" "p" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "n" 6; "d" "f" "y" 4; "e" "a" "g" "n" "p" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "n" 6; "d" "b" "f" "y" 4; "e" "a" "g" "n" "p" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "n" 6; "d" "b" "f" "y" 4; "e" "a" "g" "n" "p" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "n" 6; "d" "b" "f" "y" 4; "e" "a" "g" "n" "p" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "n" 6; "d" "b" "f" "y" 4; "e" "a" "g" "n" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "n" 6; "d" "b" "f" "y" 4; "e" "a" "g" "n" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "n" 6; "d" "b" "f" "y" 4; "e" "a" "g" "n" "q" "v" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" "o" 5; "d" "b" "f" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" "o" 5; "d" "b" "f" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" "o" 5; "d" "b" "f" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" "o" "r" 5; "d" "b" "f" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" "o" "r" 5; "d" "b" "f" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" "o" "r" 5; "d" "b" "f" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" "o" "r" 5; "d" "b" "f" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" "o" "r" 5; "d" "b" "f" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" "o" "r" 5; "d" "b" "f" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" "o" "r" 5; "d" "b" "f" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" "o" "r" 5; "d" "b" "f" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" "o" "r" 5; "d" "b" "f" "v" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" "o" "r" 5; "d" "b" "f" "v" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" "o" "r" 5; "d" "b" "f" "v" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" "o" "r" 5; "d" "b" "f" "v" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" "o" "r" 5; "d" "b" "f" "v" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "b" "f" "n" "o" "r" 5; "d" "b" "f" "v" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" 5; "d" "b" "f" "v" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" 5; "d" "b" "f" "v" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" 5; "d" "b" "f" "v" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" 5; "d" "b" "f" "v" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" 5; "d" "b" "f" "v" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 4; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" 5; "d" "b" "f" "v" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 5; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" "x" 5; "d" "b" "f" "v" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 5; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" "x" 5; "d" "b" "f" "v" "y" 4; "e" "a" "g" "n" "q" "v" 4;
"a" "y" 5; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" "x" 5; "d" "b" "f" "v" "y" 4; "e" "a" 5;
"a" "y" 5; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" "x" 5; "d" "b" "f" "v" "y" 4; "e" "a" 5;
"a" "y" 5; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" "x" 5; "d" "b" "f" "v" "y" 4; "e" "a" 5;
"a" "y" 5; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" "x" 5; "d" "b" "f" "v" "y" 4; "e" "a" 5;
"a" "y" 5; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" "x" 5; "d" "b" "f" "v" "y" 4; "e" "a" 5;
"a" "y" 5; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" "x" 5; "d" "b" "f" "v" "y" 4; "e" "a" 5;
"a" "y" 5; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" "x" 5; "d" "b" "f" "v" "y" 4; "e" "a" 5;
"a" "y" 5; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" "x" 5; "d" "b" "f" "v" "y" 4; "e" "a" 5;
"a" "y" 5; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" "x" 5; "d" "b" "f" "v" "y" 4; "e" "a" 5;
"a" "y" 5; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" "x" 5; "d" "b" "f" "v" "y" 4; "e" "a" 5;
"a" "y" 5; "b" "p" 5; "c" "a" "b" "f" "n" "o" "r" "t" "x" 5; "d" "b" "f" "v" "y" 4; "e" "a" 5;
