none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"b" "f" 1; "d" "x" 1;
"b" "f" "h" 1; "d" "x" 1;
"b" "f" "h" 1; "d" "x" 1;
"b" "f" "h" 1; "d" "x" 1;
"b" "f" "h" 1; "d" "x" 1;
"b" "f" "h" 1; "d" "x" 1;
"b" "b" "f" "h" 1; "d" "x" 1;
"b" "b" "f" "h" 1; "d" "x" 1;
"b" "b" "f" "h" 1; "d" "x" 1; "e" "w" 1;
"b" "b" "f" "h" 1; "d" "x" 1; "e" "w" 1;
"b" "b" "f" "h" 1; "d" "x" 1; "e" "w" 1;
"b" "b" "f" "h" 1; "d" "x" 1; "e" "n" "w" 1;
"a" "v" 1; "b" "b" "f" "h" 1; "d" "x" 1; "e" "n" "w" 1;
"a" "v" 1; "b" "b" "f" "h" 1; "d" "x" 1; "e" "n" "w" 1;
"a" "a" "n" "v" 1; "b" "b" "f" "h" 1; "d" "x" 1; "e" "n" "w" 1;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "h" "i" "l" "p" "s" 4; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "a" "h" "n" "o" 4; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 6; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 6; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 6; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 6; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 6; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 6; "c" "z" 6; "d" "h" "x" 4; "e" "q" "y" 5;
"a" "n" 5; "b" "i" 6; "c" "z" 6; "d" "h" "x" 4; "e" "m" "q" "y" 5;
"a" "n" 5; "b" "i" 6; "c" "z" 6; "d" "h" "x" 4; "e" "m" "q" "y" 5;
"a" "n" 5; "b" "i" 6; "c" "z" 6; "d" "h" "x" 4; "e" "m" "q" "y" 5;
"a" "n" 5; "b" "i" 6; "c" "z" 6; "d" "h" "x" 4; "e" "m" "q" "y" 5;
"a" "n" 5; "b" "i" 6; "c" "z" 6; "d" "h" "x" 4; "e" "m" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "c" "h" "x" 4; "e" "m" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 6; "d" "c" "h" "x" 4; "e" "m" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 7; "d" "c" "h" "x" 4; "e" "m" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 7; "d" "c" "h" "x" 4; "e" "m" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 7; "d" "c" "h" "i" "x" 4; "e" "m" "q" "y" 5;
"a" "n" 5; "b" "i" 5; "c" "z" 7; "d" "c" "h" "i" "x" 4; "e" "m" "q" "y" 5;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "c" "h" "i" "x" 4; "e" "m" "q" "y" 5;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "c" "h" "i" "x" 4; "e" "m" "q" "y" 5;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "c" "h" "i" "x" 4; "e" "m" "q" "y" 5;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "c" "e" "h" "i" "x" 4; "e" "m" "q" "y" 5;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "m" "q" "y" 5;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "m" "q" "y" 5;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "m" "q" "y" 5;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "m" "q" "y" 5;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "m" "q" "y" 5;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "m" "q" "y" 5;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" "o" 5; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" 6; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" 6; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" 6; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" 6; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" 6; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" 6; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" 6; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" 6; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
"a" "n" 6; "b" "i" 5; "c" "z" 7; "d" "h" 5; "e" "q" 6;
