none
none
none
none
none
none
none
none
none
none
none
none
"e" "m" 1;
"e" "m" 1;
"e" "m" 1;
"e" "m" 1;
"e" "m" 1;
"e" "m" 1;
"e" "m" 1;
"e" "m" 1;
"e" "m" 1;
"e" "m" 1;
"e" "m" 1;
"e" "m" "v" 1;
"e" "m" "v" 1;
"e" "m" "v" 1;
"e" "m" "v" 1;
"c" "b" 1; "e" "m" "v" 1;
"c" "b" 1; "e" "m" "v" 1;
"c" "b" 1; "e" "m" "v" 1;
"c" "b" 1; "e" "m" "v" 1;
"c" "b" 1; "e" "m" "v" 1;
"c" "b" 1; "e" "m" "v" 1;
"c" "b" 1; "e" "m" "v" 1;
"c" "b" 1; "e" "m" "v" 1;
"c" "b" 1; "e" "a" "m" "v" "w" 1;
"c" "b" 1; "e" "a" "m" "v" "w" 1;
"c" "b" 1; "e" "a" "m" "v" "w" 1;
"c" "b" 1; "e" "a" "m" "v" "w" 1;
"c" "b" 1; "e" "a" "m" "v" "w" 1;
"c" "b" 1; "e" "a" "m" "v" "w" 1;
"a" "a" "g" 1; "c" "b" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "t" "z" 1; "c" "b" "o" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "t" "z" 1; "c" "b" "o" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "k" "t" "z" 1; "c" "b" "h" "o" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "k" "t" "z" 1; "c" "b" "h" "o" 1; "d" "d" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "k" "t" "z" 1; "c" "b" "h" "o" 1; "d" "d" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "k" "t" "z" 1; "c" "b" "h" "o" 1; "d" "d" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "k" "t" "z" 1; "c" "b" "h" "o" 1; "d" "d" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "k" "t" "z" 1; "c" "b" "h" "o" 1; "d" "d" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "k" "t" "z" 1; "c" "b" "h" "o" 1; "d" "d" "r" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "k" "t" "z" 1; "c" "b" "h" "o" 1; "d" "d" "r" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "k" "t" "z" 1; "c" "b" "h" "o" 1; "d" "d" "r" 1; "e" "a" "g" "i" "m" "v" "w" 1;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "m" "o" "v" 2; "d" "l" 5; "e" "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "m" "o" "v" 2; "d" "l" 5; "e" "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "m" "o" "v" 2; "d" "l" 5; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "d" "h" "l" "m" "o" "v" 2; "d" "l" 6; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "a" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "a" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "a" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "a" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "a" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "a" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "s" 3; "c" "a" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" "l" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" "l" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" "l" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" "l" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" "l" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" "l" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" "l" 3; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "h" 4; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "h" 4; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "h" 4; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "h" 4; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "h" 4; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "h" 4; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "h" 4; "d" "l" 7; "e" "e" "i" 4;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "h" 4; "d" "l" 7; "e" "e" 5;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" 4; "d" "l" 7; "e" "e" 5;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" 4; "d" "l" 7; "e" "e" 5;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" 4; "d" "l" 7; "e" "e" 5;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" 4; "d" "l" 7; "e" "e" 5;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" 4; "d" "l" 7; "e" "e" 5;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" 4; "d" "l" 7; "e" "e" 5;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" 4; "d" "l" 7; "e" "e" 5;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" 4; "d" "l" 7; "e" "e" 5;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" 4; "d" "l" 7; "e" "e" 5;
"a" "d" 5; "b" "c" "k" "s" 3; "c" "a" "h" 4; "d" "l" 7; "e" "e" 5;
"a" "d" 6; "b" "c" "k" "s" 3; "c" "h" 5; "d" "l" 7; "e" "e" 5;
"a" "d" 6; "b" "c" "k" "s" 3; "c" "h" 5; "d" "l" 7; "e" "e" 5;
"a" "d" 6; "b" "c" "k" "s" 3; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "c" "k" "s" 3; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "c" "k" "s" 3; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "c" "k" "s" 3; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "c" "k" "s" 3; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "c" "k" "s" 3; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "c" "k" "s" 3; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "c" "k" "s" 3; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "c" "k" "n" "s" 3; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "c" "k" "n" "s" 3; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "c" "k" "n" "s" 3; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" 4; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" 4; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" 4; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" 4; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" 4; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 6; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 8; "e" "e" 5;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 9; "e" "e" 5;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 9; "e" "e" 5;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 9; "e" "e" 5;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 9; "e" "e" 5;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 9; "e" "e" 5;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 9; "e" "e" 5;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 9; "e" "e" 5;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 9; "e" "e" 5;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 9; "e" "e" 5;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 9; "e" "e" 6;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 9; "e" "e" 6;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 9; "e" "e" 6;
"a" "d" "z" 6; "b" "n" "s" 4; "c" "h" 7; "d" "l" 9; "e" "e" 6;
"a" "d" "z" 6; "b" "s" 5; "c" "h" 7; "d" "l" 9; "e" "e" 6;
"a" "d" "z" 6; "b" "s" 5; "c" "h" 7; "d" "l" 10; "e" "e" 6;
"a" "d" "z" 6; "b" "s" 5; "c" "h" 7; "d" "l" 10; "e" "e" 6;
"a" "d" "z" 6; "b" "s" 5; "c" "h" 7; "d" "l" 10; "e" "e" 6;
"a" "d" "z" 6; "b" "s" 5; "c" "h" 7; "d" "l" 10; "e" "e" 6;
"a" "d" "z" 6; "b" "s" 5; "c" "h" 7; "d" "l" 10; "e" "e" 6;
