none
none
none
none
none
"e" "a" 1;
"e" "a" 1;
"e" "a" 1;
"e" "a" 1;
"e" "a" 1;
"e" "a" 1;
"a" "v" "z" 1; "e" "a" 1;
"a" "v" "z" 1; "e" "a" 1;
"a" "v" "z" 1; "e" "a" "y" 1;
"a" "v" 1; "e" "a" "y" 1;
"a" "v" 1; "d" "u" 1; "e" "a" "y" 1;
"a" "v" 1; "b" "c" 1; "d" "u" 1; "e" "a" "y" 1;
"a" "v" 1; "b" "c" 1; "d" "u" 1; "e" "a" "y" 1;
"a" "v" 1; "b" "c" 1; "d" "u" 1; "e" "a" "y" 1;
"a" "v" 1; "b" "c" 1; "d" "u" 1; "e" "a" "y" 1;
"a" "v" 1; "b" "c" 1; "d" "u" 1; "e" "a" "y" 1;
"a" "p" "v" 1; "b" "c" 1; "d" "o" "u" 1; "e" "a" "y" 1;
"a" "f" "p" "v" 1; "b" "c" 1; "d" "o" "u" 1; "e" "a" "y" 1;
"a" "f" "p" "v" 1; "b" "c" 1; "d" "o" "u" 1; "e" "a" "y" 1;
"a" "e" "n" 4; "b" "w" 5; "c" "g" 5; "d" "o" "u" "y" 3; "e" "m" "n" "p" "q" 4;
"a" "e" "n" 4; "b" "w" 5; "c" "g" 5; "d" "o" "u" "y" 3; "e" "m" "n" "p" "q" 4;
"a" "e" "n" 4; "b" "w" 5; "c" "g" 5; "d" "o" "u" "y" 3; "e" "m" "n" "p" "q" 4;
"a" "e" "n" 4; "b" "w" 5; "c" "g" 5; "d" "o" "u" "y" 3; "e" "m" "n" "p" "q" 4;
"a" "e" "n" 4; "b" "w" 6; "c" "g" 5; "d" "o" "u" "y" 3; "e" "m" "n" "p" "q" 4;
"a" "e" "n" 4; "b" "w" 6; "c" "g" 5; "d" "o" "u" "y" 3; "e" "m" "n" "p" "q" 4;
"a" "e" "n" 4; "b" "w" 6; "c" "g" 5; "d" "o" "u" "y" 3; "e" "m" "n" "p" "q" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 5; "d" "f" "o" "u" "y" 3; "e" "m" "n" "p" "q" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 5; "d" "f" "o" "u" "y" 3; "e" "m" "n" "p" "q" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "f" "o" "r" "u" "y" 3; "e" "m" "n" "p" "q" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "f" "o" "r" "t" "u" "y" 3; "e" "m" "n" "p" "q" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "f" "o" "r" "t" "u" "y" 3; "e" "m" "n" "p" "q" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "f" "o" "r" "t" "u" "y" 3; "e" "m" "n" "p" "q" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "f" "o" "r" "t" "u" "y" 3; "e" "m" "n" "p" "q" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" "x" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" "x" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" "x" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" "x" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" "x" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" "x" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" "x" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" "x" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" "x" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" "x" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" "x" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" "x" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "m" "n" "p" "q" "x" 4;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "n" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "n" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "n" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "n" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "t" 4; "e" "n" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" "t" 4; "e" "n" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" "t" 4; "e" "n" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" "t" 4; "e" "n" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" "t" 4; "e" "n" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" "t" 4; "e" "n" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" "t" 4; "e" "n" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" "t" 4; "e" "n" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" "t" 4; "e" "n" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" "t" 4; "e" "n" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" "t" 4; "e" "n" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" "t" 4; "e" "n" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" "t" 4; "e" "n" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" "t" 4; "e" "n" "q" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" "t" 4; "e" "n" "q" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" "t" 4; "e" "d" "n" "q" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" "n" "q" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" "n" "q" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" "n" "q" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" "n" "q" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" "n" "q" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" "n" "q" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" "n" "q" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" "n" "q" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" "n" "q" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" "n" "q" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" "n" "q" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" "n" "q" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" "n" "q" 5;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 6;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 6;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 6;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 6;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 6;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 6;
"a" "e" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 6;
"a" "e" "u" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 6;
"a" "e" "u" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 6;
"a" "e" "u" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 6;
"a" "e" "u" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 6;
"a" "e" "n" "u" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 6;
"a" "e" "n" "u" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 6;
"a" "e" "n" "u" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 6;
"a" "e" "n" "u" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 6;
"a" "e" "n" "u" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 6;
"a" "e" "n" "u" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 6;
"a" "e" "n" "u" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 6;
"a" "e" "n" "u" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" "q" 6;
"a" "e" "n" "u" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" "q" 6;
"a" "e" "n" "u" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 7;
"a" "e" "n" "u" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 7;
"a" "e" "n" "u" 5; "b" "w" 6; "c" "g" 6; "d" "o" 5; "e" "d" 7;
"a" "e" "n" "u" 5; "b" "w" 7; "c" "g" 6; "d" "o" 5; "e" "d" 7;
"a" "e" "n" "u" 5; "b" "w" 7; "c" "g" 6; "d" "o" 6; "e" "d" 7;
"a" "e" "n" "u" 5; "b" "w" 7; "c" "g" 6; "d" "o" 6; "e" "d" 7;
"a" "e" "n" "u" 5; "b" "w" 7; "c" "g" 6; "d" "o" 6; "e" "d" 7;
"a" "e" "n" "u" 5; "b" "w" 7; "c" "g" 6; "d" "o" 6; "e" "d" 7;
"a" "e" "n" "u" 5; "b" "w" 7; "c" "g" 6; "d" "o" 6; "e" "d" 7;
"a" "e" "n" "u" 5; "b" "w" 7; "c" "g" 6; "d" "o" 6; "e" "d" 7;
"a" "e" "n" "u" 5; "b" "w" 7; "c" "g" 6; "d" "o" 6; "e" "d" 7;
"a" "e" "n" "u" 5; "b" "w" 7; "c" "g" 6; "d" "o" 6; "e" "d" 7;
"a" "e" "n" "u" 5; "b" "w" 7; "c" "g" 6; "d" "o" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 7; "c" "g" 6; "d" "o" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 7; "c" "g" 6; "d" "o" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 7; "c" "g" 6; "d" "o" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 7; "c" "g" 6; "d" "o" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 7; "c" "g" 6; "d" "o" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 7; "c" "g" 6; "d" "o" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 7; "c" "g" 6; "d" "o" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 7; "c" "g" 6; "d" "o" "y" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 8; "c" "g" 6; "d" "o" "y" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 8; "c" "g" 6; "d" "o" "y" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 8; "c" "g" 6; "d" "o" "y" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 8; "c" "g" 6; "d" "o" "y" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 8; "c" "g" 6; "d" "o" "y" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 8; "c" "g" 6; "d" "o" "y" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 8; "c" "g" 6; "d" "o" "y" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 8; "c" "g" 6; "d" "o" "y" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 8; "c" "g" 6; "d" "o" "y" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 8; "c" "g" 6; "d" "o" "y" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 8; "c" "g" 6; "d" "o" "y" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 8; "c" "g" 6; "d" "o" "y" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 8; "c" "g" 6; "d" "o" "y" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 8; "c" "g" 6; "d" "o" "y" 6; "e" "d" 7;
"a" "u" 6; "b" "w" 8; "c" "g" 6; "d" "o" "y" 6; "e" "d" 7;
