none
none
none
none
none
none
none
none
none
none
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" "z" 1;
"b" "t" "z" 1;
"b" "t" "z" 1;
"b" "t" "z" 1;
"b" "t" "z" 1;
"b" "t" "z" 1; "c" "g" "l" 1;
"b" "t" "z" 1; "c" "g" "l" 1;
"b" "t" "z" 1; "c" "g" "l" 1;
"b" "t" "z" 1; "c" "g" "l" 1;
"b" "t" "z" 1; "c" "g" "l" 1;
"b" "t" "z" 1; "c" "g" "l" 1;
"b" "t" "z" 1; "c" "g" "l" 1; "e" "m" 1;
"b" "t" "z" 1; "c" "g" "l" 1; "e" "m" 1;
"a" "o" 1; "b" "t" "z" 1; "c" "g" "l" 1; "e" "m" 1;
"a" "o" 1; "b" "t" "z" 1; "c" "g" "l" 1; "e" "m" 1;
"a" "o" 1; "b" "t" "z" 1; "c" "g" "l" 1; "e" "m" 1;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 5; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 5; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "n" 3; "e" "r" "v" 4;
"a" "p" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "e" "n" 3; "e" "r" "s" "v" 4;
"a" "p" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "e" "n" 3; "e" "r" "s" "v" 4;
"a" "p" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "e" "n" 3; "e" "r" "s" "v" 4;
"a" "p" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "e" "n" 3; "e" "r" "s" "v" 4;
"a" "p" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "e" "n" 3; "e" "r" "s" "v" 4;
"a" "p" "r" "v" 6; "b" "j" 4; "c" "h" 6; "d" "e" "n" 3; "e" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" 3; "e" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "r" "s" "v" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "o" "r" "s" "v" "w" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "o" "r" "s" "v" "w" 4;
"a" "v" 7; "b" "j" 4; "c" "h" 6; "d" "e" "n" "x" 3; "e" "c" "h" "m" "o" "r" "s" "v" "w" 4;
"a" "v" 7; "b" "i" "j" 4; "c" "h" 6; "d" "e" "i" "n" "x" 3; "e" "c" "h" "m" "o" "r" "s" "v" "w" 4;
"a" "v" 7; "b" "i" "j" 4; "c" "h" 6; "d" "e" "i" "n" "x" 3; "e" "c" "h" "m" "o" "r" "s" "v" "w" 4;
"a" "v" 7; "b" "i" "j" 4; "c" "h" 6; "d" "e" "i" "n" "x" 3; "e" "c" 5;
"a" "v" 7; "b" "i" "j" 4; "c" "h" 6; "d" "i" 4; "e" "c" 5;
"a" "v" 7; "b" "i" "j" 4; "c" "h" 6; "d" "i" 4; "e" "c" 5;
"a" "v" 7; "b" "i" "j" 4; "c" "h" 6; "d" "i" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "j" 4; "c" "h" 6; "d" "i" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "j" 4; "c" "h" 6; "d" "i" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "j" 4; "c" "h" 6; "d" "i" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "j" 4; "c" "h" 6; "d" "i" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "j" 4; "c" "h" 6; "d" "i" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "j" "n" 4; "c" "h" 6; "d" "i" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "j" "n" 4; "c" "h" 6; "d" "i" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "j" "n" 4; "c" "h" 6; "d" "i" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "j" "n" 4; "c" "h" 6; "d" "i" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "j" "n" 4; "c" "h" 6; "d" "i" "s" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "j" "n" 4; "c" "h" 6; "d" "i" "s" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "j" "n" "z" 4; "c" "h" 6; "d" "i" "s" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" 5; "c" "h" 6; "d" "i" "s" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" 5; "c" "h" 6; "d" "i" "s" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "m" 5; "c" "h" 6; "d" "i" "s" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "m" 5; "c" "h" 6; "d" "i" "s" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "m" 5; "c" "h" 6; "d" "i" "s" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "m" 5; "c" "h" 6; "d" "i" "s" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "m" 5; "c" "h" 6; "d" "i" "s" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "m" 5; "c" "h" 6; "d" "i" "s" 4; "e" "c" 5;
"a" "p" "r" "v" 6; "b" "i" "m" 5; "c" "h" 6; "d" "i" "n" "s" 4; "e" "c" 5;
