none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "n" 1;
"d" "n" 1;
"d" "n" 1;
"d" "n" 1;
"a" "l" 1; "d" "n" 1;
"a" "l" 1; "d" "n" 1;
"a" "l" 1; "d" "n" 1;
"a" "l" 1; "d" "n" 1;
"a" "f" "l" 1; "b" "k" 1; "d" "n" 1;
"a" "f" "l" "z" 1; "b" "k" 1; "d" "n" 1;
"a" "f" "l" "z" 1; "b" "k" 1; "d" "n" 1;
"a" "f" "l" "z" 1; "b" "k" 1; "d" "n" 1;
"a" "f" "l" "z" 1; "b" "k" 1; "d" "n" 1;
"a" "f" "l" "z" 1; "b" "i" "k" 1; "c" "e" 1; "d" "n" 1;
"a" "f" "l" "z" 1; "b" "i" "k" 1; "c" "e" 1; "d" "n" 1;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" "v" 5;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 6; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "n" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "n" "o" 6;
"a" "z" 7; "b" "w" 6; "c" "d" "r" 5; "d" "q" 7; "e" "n" "o" 6;
"a" "z" 7; "b" "w" 7; "c" "d" "r" 5; "d" "q" 7; "e" "n" "o" 6;
"a" "z" 7; "b" "w" 7; "c" "d" "r" 5; "d" "q" 7; "e" "n" "o" 6;
"a" "z" 7; "b" "w" 7; "c" "d" "r" 5; "d" "q" 7; "e" "n" "o" 6;
"a" "z" 7; "b" "w" 7; "c" "d" "r" 5; "d" "q" 7; "e" "n" "o" 6;
"a" "z" 7; "b" "w" 7; "c" "d" "r" 5; "d" "q" 7; "e" "n" "o" 6;
