none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "a" 1;
"c" "a" 1;
"b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "b" "r" 1; "c" "a" 1; "e" "h" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "n" "q" 1; "e" "h" "j" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "n" "q" 1; "e" "h" "j" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "n" "q" 1; "e" "h" "j" "k" "m" "q" 1;
"a" "g" "z" 3; "b" "l" 6; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "n" "q" 3; "e" "n" 7;
"a" "a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "n" "q" 3; "e" "n" 7;
"a" "a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "f" "n" "q" 3; "e" "n" 7;
"a" "a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "f" "n" "q" 3; "e" "n" 7;
"a" "a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "f" "n" "q" 3; "e" "n" 7;
"a" "a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "f" "n" "q" 3; "e" "n" 7;
"a" "a" "g" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "a" "g" "y" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "a" "g" "y" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "a" "g" "y" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "a" "g" "y" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "a" "g" "y" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "a" "g" "y" "z" 3; "b" "l" 6; "c" "z" 6; "d" "q" 4; "e" "n" 7;
"a" "a" "g" "y" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "a" "g" "y" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "a" "g" "y" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "a" "g" "y" "z" 3; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "c" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "z" 6; "d" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 7;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" "z" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" "z" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" "z" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" "z" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" "z" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" "z" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" "z" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "z" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "z" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "z" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "z" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "z" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "z" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "z" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "z" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "i" "q" "z" 4; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 5; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 5; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 5; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 5; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 5; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 5; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 5; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 5; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 5; "e" "n" 8;
"a" "y" 4; "b" "l" 6; "c" "k" "z" 6; "d" "q" 5; "e" "n" 8;
