none
none
none
none
none
none
none
none
none
none
none
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"a" "o" 1; "b" "h" 1; "d" "a" "g" "o" 1; "e" "c" "v" 1;
"a" "o" 1; "b" "h" 1; "d" "a" "g" "o" 1; "e" "c" "v" 1;
"a" "o" 1; "b" "h" 1; "d" "a" "g" "o" 1; "e" "c" "e" "v" 1;
"a" "o" 1; "b" "h" 1; "d" "a" "g" "o" 1; "e" "c" "e" "v" 1;
"a" "o" 1; "b" "h" 1; "d" "a" "g" "o" 1; "e" "b" "c" "e" "v" 1;
"a" "o" 1; "b" "h" 1; "d" "a" "g" "o" 1; "e" "b" "c" "e" "v" 1;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" "w" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" "w" 4;
"a" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" "p" "w" 4;
"a" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" "p" "w" 4;
"a" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" "p" "w" 4;
"a" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" "p" "w" 4;
"a" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" "p" "w" 4;
"a" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "p" 5;
"a" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "p" 5;
"a" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "p" 5;
"a" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "p" 5;
"a" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "p" 5;
"a" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "p" 5;
"a" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "p" 5;
"a" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "p" 5;
"a" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "p" 5;
"a" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" "z" 4; "e" "p" 5;
"a" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" "z" 4; "e" "p" 5;
"a" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" "z" 4; "e" "p" 5;
"a" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" "z" 4; "e" "p" 5;
"a" "k" "r" 4; "b" "j" "w" 4; "c" "r" 5; "d" "h" "y" "z" 4; "e" "p" 5;
"a" "k" "r" 4; "b" "j" "w" 4; "c" "r" 5; "d" "h" "y" "z" 4; "e" "p" 5;
"a" "k" "r" 4; "b" "j" "w" 4; "c" "r" 5; "d" "h" "y" "z" 4; "e" "p" 5;
"a" "k" "r" 4; "b" "j" "w" 4; "c" "r" 5; "d" "h" "y" "z" 4; "e" "b" "p" 5;
"a" "k" "r" 4; "b" "j" "w" 4; "c" "r" 5; "d" "h" "y" "z" 4; "e" "b" "p" 5;
"a" "k" "r" 4; "b" "j" "w" 4; "c" "r" 6; "d" "h" "y" "z" 4; "e" "b" "p" 5;
"a" "k" "r" 4; "b" "j" "w" 4; "c" "r" 6; "d" "h" "y" "z" 4; "e" "b" "p" 5;
"a" "k" "r" 4; "b" "j" "w" 4; "c" "r" 6; "d" "h" "y" "z" 4; "e" "b" "p" 5;
"a" "k" "r" 4; "b" "j" "w" 4; "c" "r" 6; "d" "h" "y" "z" 4; "e" "b" "p" 5;
"a" "k" "r" 4; "b" "j" "w" 4; "c" "r" 6; "d" "h" "y" "z" 4; "e" "b" "p" 5;
"a" "k" "r" 4; "b" "j" "w" 4; "c" "r" 6; "d" "h" "y" "z" 4; "e" "b" "p" 5;
"a" "k" "r" 4; "b" "j" "w" 4; "c" "r" 6; "d" "h" "y" "z" 4; "e" "b" "p" 5;
"a" "k" "r" 4; "b" "j" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" "k" "r" 4; "b" "j" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" "k" "r" 4; "b" "j" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" "k" "r" 4; "b" "j" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" "k" "r" 4; "b" "j" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" "k" "r" 4; "b" "j" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" 4; "c" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" 4; "c" "k" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" 4; "c" "k" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" "z" 4; "c" "k" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" "z" 4; "c" "k" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" "z" 4; "c" "k" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" "z" 4; "c" "k" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" "z" 4; "c" "k" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "s" "w" "z" 4; "c" "k" "r" 6; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "n" "s" "w" "z" 4; "c" "k" 7; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "n" "s" "w" "z" 4; "c" "k" 7; "d" "y" 5; "e" "b" "p" 5;
"a" "h" 5; "b" "j" "n" "s" "w" "z" 4; "c" "k" 7; "d" "y" 5; "e" "b" "p" 5;
"a" "h" "k" 5; "b" "j" "n" "s" "w" "z" 4; "c" "k" 7; "d" "y" 5; "e" "b" "c" "p" 5;
"a" "h" "k" 5; "b" "j" "n" "s" "w" "z" 4; "c" "k" 7; "d" "y" 5; "e" "b" "c" "p" 5;
"a" "h" "k" 5; "b" "j" "n" "s" "w" "z" 4; "c" "k" 7; "d" "y" 5; "e" "b" "c" "p" 5;
"a" "h" "k" 5; "b" "j" "n" "s" "w" "z" 4; "c" "k" 7; "d" "y" 5; "e" "b" "c" "p" 5;
"a" "h" "k" 5; "b" "j" "n" "s" "w" "z" 4; "c" "k" 7; "d" "y" 5; "e" "b" "c" "p" 5;
"a" "h" "k" 5; "b" "j" "n" "s" "w" "z" 4; "c" "k" 7; "d" "y" 5; "e" "b" "c" "p" 5;
"a" "h" "k" 5; "b" "n" 5; "c" "k" 7; "d" "y" 5; "e" "b" "c" "p" 5;
"a" "h" "k" 5; "b" "n" 5; "c" "k" 7; "d" "y" 5; "e" "b" "c" "p" 5;
"a" "h" "k" 5; "b" "n" "w" 5; "c" "k" 7; "d" "y" 5; "e" "b" "c" "p" "u" 5;
"a" "h" "k" 5; "b" "n" "w" 5; "c" "k" 7; "d" "y" 5; "e" "b" "c" "p" "u" 5;
"a" "h" "k" 5; "b" "n" "w" 5; "c" "k" 7; "d" "y" 5; "e" "b" "c" "p" "u" 5;
"a" "h" "k" 5; "b" "n" "w" 5; "c" "k" 7; "d" "y" 5; "e" "b" "c" "p" "u" 5;
"a" "h" "k" 5; "b" "w" 6; "c" "k" 7; "d" "y" 5; "e" "b" "c" "p" "u" 5;
"a" "h" "k" 5; "b" "w" 6; "c" "k" 7; "d" "y" 5; "e" "b" "c" "p" "u" 5;
"a" "h" "k" 5; "b" "w" 6; "c" "k" 7; "d" "y" 5; "e" "p" 6;
"a" "h" "k" 5; "b" "w" 6; "c" "k" 7; "d" "y" 5; "e" "p" 6;
"a" "h" "k" 5; "b" "w" 6; "c" "k" 7; "d" "y" 5; "e" "c" "p" 6;
"a" "h" "k" 5; "b" "w" 6; "c" "k" 7; "d" "y" 5; "e" "c" "p" 6;
"a" "h" "k" 5; "b" "w" 6; "c" "k" 7; "d" "y" 5; "e" "c" "p" 6;
"a" "h" "k" 5; "b" "w" 6; "c" "k" 7; "d" "y" 5; "e" "c" "p" 6;
"a" "h" "k" 5; "b" "w" 6; "c" "k" 7; "d" "y" 5; "e" "c" "p" 6;
"a" "h" "k" 5; "b" "w" 6; "c" "k" 7; "d" "y" 5; "e" "c" "p" 6;
"a" "h" "k" 5; "b" "w" 6; "c" "k" 7; "d" "y" 5; "e" "c" "p" 6;
"a" "h" "k" 5; "b" "w" 6; "c" "k" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" "k" 5; "b" "w" 6; "c" "k" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" "k" 5; "b" "w" 6; "c" "k" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" "k" 5; "b" "w" 6; "c" "k" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" "k" 5; "b" "w" 6; "c" "k" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" "k" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
"a" "h" 5; "b" "w" 6; "c" "k" "r" 7; "d" "y" 6; "e" "c" "p" 6;
