none
none
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"a" "m" 1; "b" "m" 1;
"a" "m" 1; "b" "m" 1;
"a" "m" 1; "b" "m" 1;
"a" "m" 1; "b" "m" 1;
"a" "m" 1; "b" "m" 1;
"a" "m" 1; "b" "m" 1;
"a" "m" 1; "b" "m" 1;
"a" "m" 1; "b" "m" 1;
"a" "m" 1; "b" "m" 1;
"a" "m" 1; "b" "m" 1; "c" "q" 1;
"a" "m" 1; "b" "m" 1; "c" "q" 1;
"a" "m" 1; "b" "m" 1; "c" "q" 1;
"a" "m" 1; "b" "m" 1; "c" "q" 1;
"a" "m" 1; "b" "m" 1; "c" "q" 1;
"a" "m" "v" 1; "b" "m" "o" 1; "c" "q" 1; "d" "u" 1;
"a" "m" "v" 1; "b" "m" "o" 1; "c" "q" 1; "d" "u" 1;
"a" "m" "v" 1; "b" "m" "o" 1; "c" "q" 1; "d" "u" 1;
"a" "m" 2; "b" "m" "o" 1; "c" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "l" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "l" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "l" "m" "o" "u" 1; "c" "p" "q" 1; "d" "a" "u" "v" 1;
"a" "m" 2; "b" "a" "l" "m" "o" "u" 1; "c" "p" "q" 1; "d" "a" "u" "v" 1;
"a" "m" 2; "b" "a" "l" "m" "o" "u" 1; "c" "p" "q" 1; "d" "a" "u" "v" 1;
"a" "m" 2; "b" "a" "l" "m" "o" "u" 1; "c" "p" "q" 1; "d" "a" "u" "v" 1;
"a" "m" 2; "b" "a" "l" "m" "o" "u" 1; "c" "p" "q" 1; "d" "a" "u" "v" 1;
"a" "m" 2; "b" "a" "l" "m" "o" "u" 1; "c" "p" "q" 1; "d" "a" "u" "v" 1;
"a" "v" "w" "y" 3; "b" "a" "b" "c" "e" "j" 3; "c" "i" 5; "d" "x" 5; "e" "l" 4;
"a" "v" "w" "y" 3; "b" "a" "b" "c" "e" "j" 3; "c" "i" 5; "d" "x" 5; "e" "l" 4;
"a" "v" "w" "y" 3; "b" "a" "b" "c" "e" "j" 3; "c" "i" 5; "d" "x" 5; "e" "l" 4;
"a" "v" "w" "y" 3; "b" "b" 4; "c" "i" 5; "d" "x" 5; "e" "l" 4;
"a" "v" "w" "y" 3; "b" "b" 4; "c" "i" 5; "d" "x" 5; "e" "l" 5;
"a" "v" "w" "y" 3; "b" "b" 4; "c" "i" 5; "d" "x" 5; "e" "l" 5;
"a" "v" "w" "y" 3; "b" "b" 4; "c" "i" 5; "d" "x" 5; "e" "l" 5;
"a" "v" 4; "b" "b" 4; "c" "i" 5; "d" "x" 5; "e" "l" 5;
"a" "v" 4; "b" "b" 4; "c" "i" 5; "d" "x" 5; "e" "l" 5;
"a" "v" "w" 4; "b" "b" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 5;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 5;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "w" 5; "b" "b" "e" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "v" "w" 5; "b" "b" "e" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "v" "w" 5; "b" "b" "e" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "v" "w" 5; "b" "b" "e" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "v" "w" 5; "b" "b" "e" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "v" "w" 5; "b" "b" "e" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "v" "w" 5; "b" "b" "e" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "v" "w" 5; "b" "b" "e" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "v" "w" 5; "b" "b" "e" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "v" "w" 5; "b" "b" "e" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "v" "w" 5; "b" "b" "e" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "v" "w" 5; "b" "b" "e" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "v" "w" 5; "b" "b" "e" "j" "v" 4; "c" "i" 5; "d" "x" 5; "e" "l" 6;
"a" "v" "w" 5; "b" "b" "e" "j" "v" 4; "c" "i" 5; "d" "x" 6; "e" "l" 6;
"a" "v" "w" 5; "b" "b" "e" "j" "v" 4; "c" "i" 5; "d" "x" 6; "e" "l" 6;
"a" "v" "w" 5; "b" "b" "e" "j" "v" 4; "c" "i" 5; "d" "x" 6; "e" "l" 6;
"a" "v" "w" 5; "b" "b" "e" "j" "v" 4; "c" "i" 5; "d" "x" 6; "e" "l" 6;
"a" "v" "w" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 5; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 6; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 6; "e" "l" 6;
"a" "v" 6; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 7; "e" "l" 6;
"a" "v" 6; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 7; "e" "l" 6;
"a" "v" 6; "b" "b" "e" "j" "v" 4; "c" "i" "v" 5; "d" "x" 7; "e" "l" 6;
"a" "v" 6; "b" "b" "e" "j" "v" 4; "c" "i" 6; "d" "x" 7; "e" "l" 6;
"a" "v" 6; "b" "b" "e" "j" "v" 4; "c" "i" 6; "d" "x" 7; "e" "l" 6;
"a" "v" 6; "b" "b" "e" "j" "v" 4; "c" "i" 6; "d" "x" 7; "e" "l" 6;
"a" "v" 6; "b" "b" "e" "j" "v" 4; "c" "i" 6; "d" "x" 7; "e" "l" 6;
"a" "v" 6; "b" "b" "e" "j" "v" 4; "c" "i" 6; "d" "x" 7; "e" "l" 6;
"a" "v" 6; "b" "b" "e" "j" "v" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "p" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "p" "v" "y" 4; "c" "i" 6; "d" "x" 7; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "p" "v" "y" 4; "c" "i" 7; "d" "x" 6; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "p" "v" "y" 4; "c" "i" 7; "d" "x" 6; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "p" "v" "y" 4; "c" "i" 7; "d" "x" 6; "e" "l" 7;
"a" "v" 6; "b" "b" "e" "j" "o" "p" "v" "y" 4; "c" "i" 7; "d" "x" 6; "e" "l" 7;
