none
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1; "b" "a" 1; "e" "r" 1;
"a" "h" 1; "b" "a" 1; "e" "r" 1;
"a" "h" 1; "b" "a" 1; "e" "r" 1;
"a" "h" 1; "b" "a" 1; "e" "r" 1;
"a" "h" 1; "b" "a" 1; "e" "r" 1;
"a" "h" 1; "b" "a" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" 1; "d" "u" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" "g" 1; "d" "u" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" "g" 1; "d" "u" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" "g" 1; "d" "u" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" "g" 1; "d" "u" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" "g" 1; "d" "u" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" "f" "g" 1; "d" "u" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" "f" "g" 1; "d" "u" 1; "e" "r" "z" 1;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "e" "p" 5;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" "i" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" "h" "k" "l" 4; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 5; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 5; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" "w" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" "w" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" "w" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" "w" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" "w" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" "w" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" "w" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "c" "w" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "a" "c" "p" "w" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "a" "c" "p" "w" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "a" "c" "p" "w" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "a" "c" "p" "w" 4; "d" "p" 5; "e" "p" 6;
"a" "g" 6; "b" "f" 6; "c" "p" 5; "d" "p" 5; "e" "p" 6;
