none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "b" 1;
"c" "b" 1; "d" "b" 1;
"c" "b" 1; "d" "b" 1;
"c" "b" "k" 1; "d" "b" 1;
"c" "b" "k" 1; "d" "b" 1;
"c" "b" "k" 1; "d" "b" 1;
"a" "q" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "b" "c" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "b" "c" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "b" "c" "k" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "b" "c" "k" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "b" "c" "k" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "b" "e" 3; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "b" "e" 3; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "b" "e" 3; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "b" "e" 3; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "b" "e" 3; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "b" "e" 3; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "b" "e" 3; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "b" "e" 3; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "b" "e" 3; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "b" "e" 3; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "b" "e" 3; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "b" "e" "t" 3; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "b" "e" "t" 3; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "b" "e" "t" 3; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "b" "e" "t" 3; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "t" 4; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "t" 4; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "x" 4; "c" "h" "k" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "y" "z" 5; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "m" "r" "x" 4; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "m" "r" "x" 4; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "m" "r" "x" 4; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "m" "r" "x" 4; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "m" "r" "x" 4; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "m" "r" "x" 4; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "m" "r" "x" 4; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 4;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" "f" 4;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 6; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "a" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "b" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "b" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "b" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "b" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "b" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "b" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "b" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "b" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "b" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "b" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "b" "h" "k" "p" 4; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "p" 5; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "p" 5; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "p" 5; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "p" 5; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "p" 5; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "p" 5; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "p" 5; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "p" 5; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "p" 5; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "x" 5; "c" "p" 5; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "m" "x" 5; "c" "p" 5; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "m" "x" 5; "c" "p" 6; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "m" "x" 5; "c" "p" 6; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "m" "x" 5; "c" "p" 6; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "m" "x" 5; "c" "p" 6; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "m" "x" 5; "c" "p" 6; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "m" "x" 5; "c" "p" 6; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "m" "x" 5; "c" "p" 6; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "m" "x" 5; "c" "p" 6; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "m" "x" 5; "c" "p" 6; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "e" "m" "x" 5; "c" "p" 6; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "e" "m" "x" 5; "c" "p" 6; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "e" "m" "x" 5; "c" "p" 6; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "e" "m" "x" 5; "c" "p" 6; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "e" "m" "x" 5; "c" "p" 6; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "e" "m" 5; "c" "p" 6; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "e" "m" 5; "c" "p" 6; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "e" "m" 5; "c" "p" 6; "d" "t" 4; "e" "a" 5;
"a" "z" 7; "b" "e" "m" 5; "c" "p" 6; "d" "e" "t" 4; "e" "a" "s" 5;
"a" "z" 7; "b" "e" "m" 5; "c" "p" 6; "d" "e" "t" 4; "e" "a" "s" 5;
"a" "z" 7; "b" "e" "m" 5; "c" "p" 6; "d" "e" "t" 4; "e" "a" "s" 5;
"a" "z" 7; "b" "e" "m" 5; "c" "p" 6; "d" "e" "t" 4; "e" "a" "s" 5;
"a" "z" 7; "b" "e" "m" 5; "c" "p" 6; "d" "e" "t" 4; "e" "a" "s" 5;
"a" "z" 7; "b" "e" "m" 5; "c" "p" 6; "d" "e" "t" 4; "e" "a" "s" 5;
"a" "z" 7; "b" "e" "m" 5; "c" "p" 6; "d" "e" "t" 4; "e" "a" "s" 5;
"a" "z" 7; "b" "e" "m" 5; "c" "p" 6; "d" "e" "t" 4; "e" "a" "s" 5;
"a" "z" 7; "b" "e" "m" 5; "c" "p" 6; "d" "e" "t" 4; "e" "a" "s" 5;
"a" "z" 7; "b" "e" "m" 5; "c" "p" 6; "d" "e" "t" 4; "e" "a" "s" 5;
"a" "z" 7; "b" "e" "m" 5; "c" "p" 6; "d" "e" "t" 4; "e" "a" "s" 5;
"a" "z" 7; "b" "e" "m" 5; "c" "p" 6; "d" "e" "t" 4; "e" "a" "s" 5;
"a" "z" 7; "b" "e" "m" 5; "c" "p" 6; "d" "e" "t" 4; "e" "a" "s" 5;
"a" "z" 7; "b" "e" "m" 5; "c" "p" 6; "d" "e" "t" 4; "e" "a" "s" 5;
