none
none
none
none
none
none
none
none
none
none
none
none
"a" "f" 1;
"a" "f" 1;
"a" "f" 1;
"a" "f" 1;
"a" "f" 1; "e" "f" 1;
"a" "f" 1; "e" "f" 1;
"a" "f" 1; "e" "f" 1;
"a" "f" 1; "e" "f" 1;
"a" "f" 1; "e" "f" 1;
"a" "f" 1; "b" "k" 1; "e" "f" 1;
"a" "f" 1; "b" "k" 1; "e" "f" 1;
"a" "f" 1; "b" "k" 1; "e" "f" 1;
"a" "f" 1; "b" "b" "k" 1; "e" "f" 1;
"a" "f" 1; "b" "b" "k" 1; "e" "f" 1;
"a" "f" 1; "b" "b" "k" 1; "e" "f" 1;
"a" "f" 1; "b" "b" "k" "x" 1; "e" "f" 1;
"a" "f" 1; "b" "b" "k" "x" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "x" 1; "d" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "x" 1; "d" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "x" 1; "d" "b" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "x" 1; "d" "b" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "b" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "b" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "b" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "m" 2; "e" "f" "t" "v" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "m" 2; "e" "f" "t" "v" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "m" 2; "e" "f" "t" "v" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "m" 2; "e" "f" "t" "v" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "m" 2; "e" "f" "t" "v" 1;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "q" 5; "d" "h" 7; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "q" 5; "d" "h" 7; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" 4; "b" "b" "n" "u" "x" 4; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "b" "n" "u" "x" 4; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "b" "n" "u" "x" 4; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "b" "n" "u" "x" 4; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "b" "n" "u" "x" 4; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "b" "n" "u" "x" 4; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "f" "i" 4; "b" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "i" 5; "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "i" 5; "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "i" 5; "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "i" 5; "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "i" 5; "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "b" "f" "u" 4;
"a" "i" 5; "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "b" "n" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "l" "n" "q" 5; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" "v" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" "v" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" "v" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" "v" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" "v" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" "v" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" "v" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" "v" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" "v" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "u" "v" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" 6; "d" "h" 7; "e" "f" "u" "v" 5;
"a" "i" 5; "b" "p" "u" 5; "c" "n" "q" 6; "d" "h" 7; "e" "f" "u" "v" 5;
