none
none
none
none
none
none
none
none
none
none
none
"c" "t" "u" 1;
"c" "t" "u" 1;
"c" "t" "u" 1;
"c" "t" "u" 1;
"c" "t" "u" 1;
"c" "d" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "t" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "t" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "t" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "t" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "q" "t" "z" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "q" "t" "z" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "q" "t" "z" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" 1;
"a" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" 1;
"a" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" "v" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" "v" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" "v" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" "v" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" "v" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" "v" 1;
"a" "a" 5; "b" "a" "d" "i" "u" "y" 4; "c" "c" "d" 4; "d" "m" "x" "z" 4; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "u" "y" 4; "c" "c" "d" 4; "d" "m" "x" "z" 4; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "u" "y" 4; "c" "c" "d" 4; "d" "m" "x" "z" 4; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "u" "y" 4; "c" "c" "d" 4; "d" "m" "w" "x" "z" 4; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "u" "y" 4; "c" "c" "d" 4; "d" "m" "w" "x" "z" 4; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "u" "y" 4; "c" "c" "d" 4; "d" "m" "w" "x" "z" 4; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "u" "y" 4; "c" "c" "d" 4; "d" "x" 5; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "u" "y" 4; "c" "c" "d" 4; "d" "x" 5; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "g" "i" "u" "y" 4; "c" "c" "d" 4; "d" "x" 5; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" "z" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" "z" 4; "d" "x" 5; "e" "c" 6;
"a" "a" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" "z" 4; "d" "x" 5; "e" "c" 6;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" "z" 4; "d" "x" 6; "e" "c" 6;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" "z" 4; "d" "x" 6; "e" "c" 6;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" "z" 4; "d" "x" 6; "e" "c" 6;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" "z" 4; "d" "x" 6; "e" "c" 6;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" "z" 4; "d" "x" 6; "e" "c" 6;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" "z" 4; "d" "x" 6; "e" "c" 6;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" "z" 4; "d" "x" 6; "e" "c" 6;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" "z" 4; "d" "x" 6; "e" "c" 6;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" "z" 4; "d" "x" 6; "e" "c" 6;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" "z" 4; "d" "x" 6; "e" "c" 6;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" "z" 4; "d" "x" 6; "e" "c" 6;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" "z" 4; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" "d" "u" "z" 4; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "u" "y" 4; "c" "c" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "t" "u" "y" 4; "c" "c" 5; "d" "x" 6; "e" "c" 7;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "t" "u" "y" 4; "c" "c" 5; "d" "x" 6; "e" "c" 7;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "t" "u" "y" 4; "c" "c" 5; "d" "x" 6; "e" "c" 7;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "t" "u" "y" 4; "c" "c" 5; "d" "x" 6; "e" "c" 7;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "t" "u" "y" 4; "c" "c" 5; "d" "x" 6; "e" "c" 7;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "t" "u" "y" 4; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" 7;
"a" "a" "m" 5; "b" "a" "d" "g" "i" "j" "q" "t" "u" "y" 4; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "a" "c" "d" "g" "i" "j" "q" "t" "u" "y" 4; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 5; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 5; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 5; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
"a" "a" "m" 5; "b" "t" 6; "c" "c" "d" "u" 5; "d" "x" "z" 6; "e" "c" "u" 6;
