none
none
none
none
none
none
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" "e" 1; "d" "q" 1;
"a" "c" "e" 1; "d" "q" 1;
"a" "c" "e" 1; "d" "l" "q" "u" 1;
"a" "c" "e" 1; "d" "l" "q" "u" 1;
"a" "c" "e" 1; "d" "l" "q" "u" 1;
"a" "c" "e" 1; "d" "l" "q" "u" 1;
"a" "c" "e" "p" 1; "d" "l" "q" "u" 1;
"a" "c" "e" "p" 1; "d" "l" "q" "u" 1;
"a" "c" "e" "p" "x" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "c" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "a" "c" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "a" "c" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "a" "c" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "a" "c" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "a" "c" "l" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "a" "c" "l" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "a" "c" "l" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "a" "c" "l" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "a" "c" "l" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "a" "c" "l" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "a" "c" "l" 4; "b" "w" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "a" "c" "l" 4; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "b" "g" "i" 5;
"a" "a" "c" "l" 4; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "b" "g" "i" 5;
"a" "a" "c" "l" 4; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "b" "g" "i" 5;
"a" "a" "c" "l" 4; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "b" "g" "i" 5;
"a" "a" "c" "l" 4; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "b" "g" "i" 5;
"a" "a" 6; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "b" "g" "i" 5;
"a" "a" 6; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "b" "g" "i" "n" 5;
"a" "a" 6; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "b" "g" "i" "n" 5;
"a" "a" 6; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "b" "g" "i" "n" 5;
"a" "a" 6; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "b" "g" "i" "n" 5;
"a" "a" 6; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 6; "b" "n" "w" "x" 5; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 6; "b" "x" 6; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 7; "b" "x" 6; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 7; "b" "x" 6; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 7; "b" "x" 6; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 7; "b" "x" 6; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 7; "b" "x" 6; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 7; "b" "x" 6; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 7; "b" "x" 6; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 7; "b" "x" 6; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 7; "b" "x" 6; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 7; "b" "x" 6; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 7; "b" "w" "x" 6; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 7; "b" "w" "x" 6; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 7; "b" "w" "x" 6; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 7; "b" "w" "x" 6; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 7; "b" "w" "x" 6; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 7; "b" "w" "x" 6; "c" "e" "f" "g" "i" 5; "d" "l" 6; "e" "g" "i" 6;
"a" "a" 7; "b" "w" "x" 6; "c" "e" "f" "g" "i" 5; "d" "l" 7; "e" "g" "i" 6;
