none
none
none
none
none
none
none
none
none
"c" "k" 1;
"c" "k" 1;
"c" "k" 1;
"c" "k" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "f" "k" "l" 1;
"a" "k" 1; "c" "f" "k" "l" 1;
"a" "k" 1; "c" "f" "k" "l" 1;
"a" "k" 1; "c" "f" "k" "l" 1;
"a" "k" 1; "c" "f" "k" "l" 1; "d" "q" 1;
"a" "k" 1; "c" "f" "k" "l" 1; "d" "q" 1; "e" "e" 1;
"a" "k" 1; "c" "f" "k" "l" 1; "d" "q" 1; "e" "e" 1;
"a" "k" 1; "c" "f" "k" "l" 1; "d" "q" 1; "e" "e" 1;
"a" "g" 4; "b" "b" 6; "c" "l" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 6; "c" "l" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 6; "c" "l" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 6; "c" "l" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 6; "c" "l" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 6; "c" "l" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 6; "c" "l" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 6; "c" "l" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 6; "c" "l" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 6; "c" "l" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 6; "c" "l" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 6; "c" "l" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 6; "c" "l" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 6; "c" "l" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 6; "c" "l" "y" 4; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" "l" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" "l" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" "l" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" "l" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" "l" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" "l" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" "l" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" "l" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" "l" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" "l" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" "l" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" "l" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" "l" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" "l" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" "l" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" "l" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" "l" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "g" "l" 4; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "l" 5; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "l" 5; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "l" 5; "b" "b" 6; "c" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "l" 5; "b" "b" 6; "c" "k" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "l" 5; "b" "b" 6; "c" "k" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "l" 5; "b" "b" "v" 6; "c" "k" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "l" 5; "b" "b" "v" 6; "c" "k" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "l" 5; "b" "b" "v" 6; "c" "k" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "l" 5; "b" "b" "v" 6; "c" "k" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "l" 5; "b" "b" "v" 6; "c" "k" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "l" 5; "b" "b" "v" 6; "c" "k" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "l" 5; "b" "b" "v" 6; "c" "k" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "l" 5; "b" "b" "v" 6; "c" "k" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "l" 5; "b" "b" "v" 6; "c" "k" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "l" 5; "b" "b" "v" 6; "c" "k" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "l" 5; "b" "b" "v" 6; "c" "k" "l" 5; "d" "m" 6; "e" "f" "u" 4;
"a" "l" 5; "b" "b" "v" 6; "c" "k" "l" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" "v" 6; "c" "k" "l" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "l" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "l" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
"a" "l" 5; "b" "b" 7; "c" "k" "s" "y" 5; "d" "m" 6; "e" "b" "f" "n" "q" "u" 4;
