none
none
none
none
none
none
"c" "s" 1;
"c" "s" 1; "e" "f" 1;
"c" "s" 1; "e" "f" 1;
"c" "s" 1; "e" "f" 1;
"c" "s" 1; "e" "f" 1;
"c" "s" 1; "d" "b" 1; "e" "e" "f" "j" "t" 1;
"c" "s" 1; "d" "b" 1; "e" "e" "f" "j" "t" 1;
"c" "s" 1; "d" "b" 1; "e" "e" "f" "j" "t" "w" 1;
"c" "s" 1; "d" "b" 1; "e" "e" "f" "j" "t" "w" 1;
"c" "s" 1; "d" "b" 1; "e" "e" "f" "j" "t" "w" 1;
"c" "s" 1; "d" "b" 1; "e" "f" "j" "t" "w" 1;
"c" "s" 1; "d" "b" 1; "e" "f" "j" "t" "w" 1;
"a" "t" 1; "c" "s" 2; "d" "b" 1; "e" "f" "j" "t" "w" 1;
"a" "t" 1; "c" "s" 2; "d" "b" 1; "e" "f" "j" "t" "w" 1;
"a" "t" 1; "c" "s" 2; "d" "b" 1; "e" "f" "j" "t" "w" 1;
"a" "t" 1; "c" "s" 2; "d" "b" 1; "e" "f" "j" "t" "w" 1;
"a" "t" 1; "c" "s" 2; "d" "b" 1; "e" "f" "j" "t" "w" 1;
"a" "t" 1; "c" "s" 2; "d" "b" 1; "e" "f" "j" "t" "w" 1;
"a" "t" 1; "c" "s" 2; "d" "b" 1; "e" "f" "j" "t" "w" 1;
"a" "f" "t" 1; "c" "s" 2; "d" "b" "r" 1; "e" "f" "j" "t" "w" 1;
"a" "f" "t" 1; "c" "s" 2; "d" "b" "r" 1; "e" "f" "g" "j" "t" "w" "z" 1;
"a" "f" "t" 1; "c" "s" 2; "d" "b" "r" 1; "e" "f" "g" "j" "t" "w" "z" 1;
"a" "f" "t" 1; "c" "s" 2; "d" "b" "r" 1; "e" "f" "g" "j" "t" "w" "z" 1;
"a" "f" "t" 1; "c" "s" 2; "d" "b" "r" 1; "e" "f" "g" "j" "t" "w" "z" 1;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 6; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 5; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 8; "c" "h" 6; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" "d" "j" 4; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" "o" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" "o" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" "o" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" "o" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" "o" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" "o" 5; "e" "o" "z" 6;
"a" "e" 7; "b" "h" 7; "c" "h" 7; "d" "c" "o" 5; "e" "o" "z" 6;
"a" "e" 8; "b" "h" 7; "c" "h" 7; "d" "c" "o" 5; "e" "o" "z" 6;
"a" "e" 8; "b" "h" 7; "c" "h" 7; "d" "c" "o" 5; "e" "o" "z" 6;
"a" "e" 8; "b" "h" 7; "c" "h" 7; "d" "c" "j" "o" 5; "e" "o" "z" 6;
"a" "e" 8; "b" "h" 7; "c" "h" 7; "d" "c" "j" "o" 5; "e" "o" "z" 6;
"a" "e" 8; "b" "h" 7; "c" "h" 7; "d" "c" "j" "o" 5; "e" "o" "z" 6;
"a" "e" 8; "b" "h" 7; "c" "h" 7; "d" "c" "j" "o" 5; "e" "o" "z" 6;
"a" "e" 8; "b" "h" 7; "c" "h" 7; "d" "c" "j" "o" 5; "e" "o" "z" 6;
