none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "d" 1;
"a" "d" 1;
"a" "d" 1;
"a" "d" 1; "e" "w" 1;
"a" "d" 1; "e" "w" 1;
"a" "d" 1; "e" "w" 1;
"a" "d" 1; "e" "w" 1;
"a" "d" 1; "b" "c" 1; "e" "w" 1;
"a" "d" 1; "b" "c" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 1; "e" "w" 1;
"a" "d" 1; "b" "o" "q" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "j" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "j" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "j" "w" 1;
"a" "d" 1; "b" "o" "q" 2; "c" "c" 1; "e" "j" "w" 1;
"a" "d" 1; "b" "o" "q" 2; "c" "c" 1; "e" "j" "w" 1;
"a" "d" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "w" 1;
"a" "d" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "q" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "q" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "k" "q" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "k" "q" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "k" "q" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "k" "q" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "k" "q" "r" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "r" 5; "b" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 5; "b" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 5; "b" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 5; "b" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 5; "b" "k" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 5; "b" "k" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 5; "b" "k" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 5; "b" "k" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 5; "b" "k" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 5; "b" "k" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "k" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "k" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "k" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "k" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "k" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "k" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "k" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "k" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "k" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "k" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "k" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "k" "w" 4; "c" "h" 6; "d" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "k" "s" 3; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "s" 4; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "s" 4; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "s" 4; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "s" 4; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "s" 4; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "s" 5; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "s" 5; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "s" 5; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "s" 5; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "w" 4; "c" "h" 6; "d" "s" 5; "e" "p" 4;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 5; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 5; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 5; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 5; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 5; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 5; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 5; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 5; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 5; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 5; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 5; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 5; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 5; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 6; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" 6; "b" "e" "k" "q" "u" "w" 4; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
"a" "r" "v" 6; "b" "e" 5; "c" "h" 6; "d" "s" 7; "e" "p" 5;
