none
none
none
none
none
none
"e" "u" 1;
"e" "u" 1;
"e" "u" 1;
"e" "u" 1;
"e" "u" 1;
"a" "b" 1; "e" "u" 1;
"a" "b" 1; "e" "u" 1;
"a" "b" 1; "e" "u" 1;
"a" "b" 1; "e" "u" 1;
"a" "b" 1; "e" "q" "u" 1;
"a" "b" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "b" "f" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "b" "f" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "b" "f" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "b" "f" 1; "d" "f" "i" "k" 1; "e" "q" "u" 1;
"a" "d" "n" 4; "b" "n" "w" 5; "c" "u" 5; "d" "a" "c" "e" "k" "o" "y" 3; "e" "m" 5;
"a" "d" "n" 4; "b" "n" "w" 5; "c" "u" 5; "d" "a" "c" "e" "k" "o" "y" 3; "e" "m" 5;
"a" "d" "n" 4; "b" "n" "w" 5; "c" "u" 5; "d" "a" "c" "e" "k" "o" "y" 3; "e" "m" 5;
"a" "d" "n" 4; "b" "n" "w" 5; "c" "u" 5; "d" "a" "c" "e" "k" "o" "y" 3; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "a" "c" "e" "k" "o" "y" 3; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "a" "c" "e" "k" "o" "y" 3; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "a" "c" "e" "k" "o" "y" 3; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "b" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "b" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "b" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "b" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "b" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "b" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "b" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "b" "u" 5; "d" "c" "o" 4; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "b" "u" 5; "d" "o" 5; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "b" "u" 5; "d" "o" 5; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "b" "u" 5; "d" "o" 5; "e" "m" 5;
"a" "d" "n" 4; "b" "w" 6; "c" "b" "u" 5; "d" "o" 5; "e" "m" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "a" "b" "u" 5; "d" "o" 5; "e" "g" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "a" "b" "u" 5; "d" "o" 5; "e" "g" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "a" "b" "u" 5; "d" "o" 5; "e" "g" "k" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "a" "b" "u" 5; "d" "o" 5; "e" "g" "k" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "a" "b" "u" 5; "d" "o" 5; "e" "g" "k" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "a" "b" "u" 5; "d" "o" 5; "e" "g" "k" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "a" "b" "u" 5; "d" "o" 5; "e" "g" "k" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "a" "b" "u" 5; "d" "o" 5; "e" "g" "k" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "a" "b" "u" 5; "d" "o" 5; "e" "g" "k" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "a" "b" "u" 5; "d" "o" 5; "e" "g" "k" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "a" "b" "u" 5; "d" "o" 5; "e" "g" "k" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "a" "b" "u" 5; "d" "o" 5; "e" "g" "k" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "a" "b" "u" 5; "d" "o" 5; "e" "g" "k" "o" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "a" "b" "u" 5; "d" "o" 5; "e" "g" "k" "o" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "a" "b" "u" 5; "d" "o" 5; "e" "g" "k" "o" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "a" "b" "u" 5; "d" "o" 5; "e" "g" "k" "o" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "a" "b" "u" 5; "d" "o" 5; "e" "g" "k" "o" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "b" 6; "d" "o" 5; "e" "g" "k" "o" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "b" 6; "d" "o" 5; "e" "g" "k" "o" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "b" 6; "d" "o" 5; "e" "g" "k" "o" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "b" 6; "d" "o" 5; "e" "g" "k" "o" "t" 5;
"a" "d" "n" "v" 4; "b" "w" 6; "c" "b" 6; "d" "o" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "w" 6; "c" "b" 7; "d" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "w" 6; "c" "b" 7; "d" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "w" 6; "c" "b" 7; "d" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "w" 6; "c" "b" 7; "d" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "w" 6; "c" "b" 7; "d" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "w" 6; "c" "b" 7; "d" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "w" 6; "c" "b" 7; "d" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "w" 6; "c" "b" 7; "d" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" "w" 6; "c" "b" 7; "d" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" "w" 6; "c" "b" 7; "d" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" "w" 6; "c" "b" 7; "d" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" "w" 6; "c" "b" 7; "d" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" "w" 6; "c" "b" 7; "d" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" "w" 6; "c" "b" 7; "d" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" "w" 6; "c" "b" 7; "d" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" "w" 6; "c" "b" 7; "d" "c" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" "w" 6; "c" "b" 7; "d" "c" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" "w" 6; "c" "b" 7; "d" "c" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" "w" 6; "c" "b" 7; "d" "c" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" "w" 6; "c" "b" 7; "d" "c" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" "w" 6; "c" "b" 7; "d" "c" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" "w" 6; "c" "b" 7; "d" "c" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" "w" 6; "c" "b" 7; "d" "c" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" "w" 6; "c" "b" 7; "d" "c" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" "w" 6; "c" "b" 7; "d" "c" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "s" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "s" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "s" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "s" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "s" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "s" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "s" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "s" "t" 6;
"a" "b" "d" "n" "v" 4; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "s" 6;
"a" "b" "d" "n" "v" 4; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "s" 6;
"a" "b" "d" "n" "v" 4; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "s" 6;
"a" "b" "d" "n" "v" 4; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "s" 6;
"a" "b" 5; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "s" 6;
"a" "b" 5; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "k" "s" 6;
"a" "b" 5; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "k" "s" 6;
"a" "b" 5; "b" "n" 7; "c" "b" 7; "d" "c" "o" "v" 5; "e" "k" "s" 6;
"a" "b" 5; "b" "n" 7; "c" "b" 7; "d" "o" 6; "e" "k" "s" 6;
"a" "b" 5; "b" "n" 7; "c" "b" 7; "d" "o" 6; "e" "k" "s" 6;
