none
none
none
none
none
none
none
none
"a" "i" 1;
"a" "i" 1;
"a" "i" 1; "c" "h" 1;
"a" "i" 1; "c" "h" 1;
"a" "i" 1; "c" "h" 1;
"a" "i" 1; "c" "h" 1; "d" "k" 1;
"a" "i" 1; "c" "h" 1; "d" "k" 1;
"a" "i" 1; "c" "h" 1; "d" "k" 1;
"a" "i" 1; "c" "f" "h" 1; "d" "k" 1;
"a" "i" 1; "c" "f" "h" 1; "d" "k" 1;
"a" "i" 1; "c" "f" "h" 1; "d" "k" 1;
"a" "i" 1; "c" "f" "h" 1; "d" "k" "n" 1;
"a" "i" 1; "b" "f" 1; "c" "f" "h" 1; "d" "k" "n" 1;
"a" "i" 1; "b" "f" 1; "c" "f" "h" 1; "d" "k" "n" 1;
"a" "i" 1; "b" "f" 1; "c" "f" "h" 1; "d" "k" "n" 1;
"a" "h" 5; "b" "f" "j" 4; "c" "x" 4; "d" "m" 5; "e" "b" "e" 4;
"a" "h" 5; "b" "f" "j" 4; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" 5; "b" "f" "j" 4; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" 5; "b" "f" "j" 4; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" 5; "b" "f" "j" 4; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" 5; "b" "f" "j" 4; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" 5; "b" "f" "j" 4; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" 5; "b" "f" 5; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" 5; "b" "f" 5; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" 5; "b" "f" 5; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" 5; "b" "f" 5; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" 5; "b" "f" 5; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" 5; "b" "f" 5; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" 5; "b" "f" 5; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" 5; "b" "f" 5; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" 5; "b" "f" 5; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" "q" 5; "b" "f" 5; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" "q" 5; "b" "f" 5; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" "q" 5; "b" "f" 5; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" "q" 5; "b" "f" 5; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" "q" 5; "b" "f" 5; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" "q" 5; "b" "f" 5; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 5; "d" "m" 5; "e" "b" "e" 4;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 6; "d" "m" 5; "e" "b" "e" 4;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 6; "d" "m" 5; "e" "b" "e" 4;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 6; "d" "m" 5; "e" "b" "e" 4;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 6; "d" "m" 5; "e" "b" "e" 4;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 6; "d" "m" 5; "e" "b" "e" 4;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 6; "d" "m" 5; "e" "b" "e" 4;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 6; "d" "m" 5; "e" "b" "e" 4;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 6; "d" "m" 5; "e" "b" "e" 4;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 6; "d" "m" 5; "e" "b" "e" "o" 4;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 6; "d" "m" 5; "e" "b" "e" "o" 4;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 6; "d" "m" 5; "e" "b" "e" "o" 4;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 6; "d" "m" 5; "e" "b" "e" "o" 4;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 7; "d" "m" 5; "e" "b" "e" "o" 4;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 5; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 6; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 6; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 6; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 6; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 6; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 6; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 6; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 6; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 6; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 6; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 6; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 6; "e" "e" 5;
"a" "h" "q" 5; "b" "f" "g" "j" 5; "c" "x" 7; "d" "m" 6; "e" "e" "h" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" "o" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" "o" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" "o" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" "o" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" "o" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" "o" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" "o" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" "o" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" "o" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" "o" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" "o" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" "o" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" "o" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" "o" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" "o" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "e" "h" "o" 5;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "g" 6; "c" "x" 7; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 7; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 7; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 7; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 7; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 7; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 7; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 7; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 7; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 6;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 7;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 7;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 7;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 7;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 7;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 7;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 7;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 7;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 7;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 7;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 7;
"a" "h" "q" 5; "b" "f" "g" 6; "c" "x" 8; "d" "m" 6; "e" "h" 7;
