none
none
none
none
none
none
none
none
none
none
none
none
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "c" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "c" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "c" "j" 1; "c" "b" 1; "d" "l" 1;
"a" "p" 1; "b" "c" "j" 1; "c" "b" 1; "d" "l" 1;
"a" "p" 1; "b" "c" "j" "l" 1; "c" "b" 1; "d" "l" 1;
"a" "p" 1; "b" "c" "j" "l" 1; "c" "b" 1; "d" "l" 1;
"a" "p" 1; "b" "c" "j" "l" 1; "c" "b" 1; "d" "l" 1;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "a" "l" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "a" "l" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "a" "l" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" "p" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" "p" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 4;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 4;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 4;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 4;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 5;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 5;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 5;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 5;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 5;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 5;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "l" 4; "e" "o" 5;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "b" "o" 4; "d" "l" 5; "e" "o" 6;
"a" "d" "m" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "e" "g" "l" "r" 3; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" 4; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" 4; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "c" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "c" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "c" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "c" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "c" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "c" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "c" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "c" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "c" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "c" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "c" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "c" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "c" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "g" "l" 4; "c" "b" "c" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" 4; "c" "b" "c" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" 4; "c" "b" "c" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" 4; "c" "b" "c" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" 4; "c" "b" "c" "k" "o" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" 4; "c" "b" "c" "k" "o" "q" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" 4; "c" "b" "c" "k" "o" "q" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" 4; "c" "b" "c" "k" "o" "q" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" 4; "c" "b" "c" "k" "o" "q" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" 4; "c" "b" "c" "k" "o" "q" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" 4; "c" "b" "c" "k" "o" "q" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" 4; "c" "b" "c" "k" "o" "q" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" 4; "c" "b" "c" "k" "o" "q" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" 4; "c" "b" "c" "k" "o" "q" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" 4; "c" "b" "c" "k" "o" "q" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" "r" 4; "c" "b" "c" "k" "o" "q" 4; "d" "l" 5; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" "r" 4; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" "r" "t" 4; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" "r" "t" 4; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "l" "r" "t" 4; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "r" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "r" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "r" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "r" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "r" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "r" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "r" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "r" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "r" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "d" "m" "p" "q" 4; "b" "r" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" "t" 5; "c" "b" "c" "k" "o" "q" 4; "d" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" "t" 5; "c" "b" "c" "k" "o" "q" 4; "d" "h" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" "t" 5; "c" "b" "c" "k" "o" "q" 4; "d" "h" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" "t" 5; "c" "b" "c" "k" "o" "q" 4; "d" "h" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" "t" 5; "c" "b" "c" "k" "o" "q" 4; "d" "h" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" "t" 5; "c" "b" "c" "k" "o" "q" 4; "d" "h" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" "t" 5; "c" "b" "c" "k" "o" "q" 4; "d" "h" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" "t" 5; "c" "b" "c" "d" "k" "o" "q" 4; "d" "h" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" "t" 5; "c" "b" "c" "d" "k" "o" "q" 4; "d" "h" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" "t" 5; "c" "b" "c" "d" "k" "o" "q" 4; "d" "h" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" "t" 5; "c" "b" "c" "d" "k" "o" "q" 4; "d" "h" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" "t" 5; "c" "b" "c" "d" "k" "o" "q" 4; "d" "h" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" "t" 5; "c" "b" "c" "d" "k" "o" "q" 4; "d" "h" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" "t" 5; "c" "b" "c" "d" "k" "o" "q" 4; "d" "h" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" "t" 5; "c" "b" "c" "d" "k" "o" "q" 4; "d" "h" "l" 6; "e" "o" 5;
"a" "m" 5; "b" "r" "t" 5; "c" "b" "c" "d" "k" "o" "q" 4; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "b" "c" "d" "k" "o" "q" 4; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" "o" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" "o" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" "o" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" "o" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" "o" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" "o" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" "o" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" "o" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" "o" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" "o" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" "o" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" "o" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" "o" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" "o" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" "o" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" "o" 5; "d" "h" "l" 6; "e" "o" 5;
"a" "m" "q" 5; "b" "l" "r" "t" 5; "c" "d" "o" 5; "d" "h" "l" 6; "e" "o" 5;
