none
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "d" "g" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" "i" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" "i" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" "i" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" "i" 1; "d" "b" 2; "e" "q" "t" 1;
"a" "f" "i" 1; "d" "b" 2; "e" "q" "t" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" "w" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" "w" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" "w" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" "w" 1;
"a" "f" "i" "w" 1; "c" "h" 1; "d" "b" 2; "e" "q" "t" "w" 1;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 5; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 5; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 5; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 5; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 5; "e" "n" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 5; "e" "n" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 5; "e" "n" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 5; "e" "n" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "u" "y" 4; "d" "r" 5; "e" "n" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" 4;
"a" "s" 5; "b" "i" 5; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" 4;
"a" "s" 5; "b" "i" 5; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" 4;
"a" "s" 5; "b" "i" 5; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" "s" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" "s" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" "s" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" "s" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" "s" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" "s" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" "s" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" "s" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" "s" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" "s" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" "s" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" "s" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" "s" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" "s" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "n" "o" "q" "s" 4;
"a" "s" 6; "b" "i" 6; "c" "c" "e" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "o" 5;
"a" "s" 6; "b" "i" 6; "c" "c" "e" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" "h" "o" "t" "u" "y" 4; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" 5; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" 5; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" 5; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" 5; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" 5; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" 5; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" 5; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" 5; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" 5; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" 5; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" 5; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" 5; "d" "r" 5; "e" "o" 6;
"a" "s" 6; "b" "i" 6; "c" "c" "e" 5; "d" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 6; "c" "c" "e" 5; "d" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 6; "c" "c" "e" 5; "d" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 6; "c" "c" "e" 5; "d" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 6; "c" "c" "e" 5; "d" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 6; "c" "c" "e" 5; "d" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" 6; "d" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" 6; "d" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" 6; "d" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "b" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "b" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "b" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "b" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "b" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "b" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "b" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "b" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "b" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "b" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "b" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "b" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "b" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "b" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "b" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 7; "c" "c" "e" 6; "d" "b" "g" "r" 5; "e" "o" 7;
"a" "s" 6; "b" "i" 8; "c" "c" "e" 6; "d" "b" 6; "e" "o" 7;
"a" "s" 6; "b" "i" 8; "c" "c" "e" 6; "d" "b" 6; "e" "o" 7;
