none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" "w" 1; "e" "b" "r" 1;
"c" "a" "c" "w" 1; "e" "b" "r" 1;
"c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "i" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "i" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "i" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "i" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "i" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "f" "h" "u" 1; "b" "o" 2; "c" "a" 2; "e" "b" "r" 1;
"a" "r" 5; "b" "p" 6; "c" "s" "y" 4; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 6; "c" "s" "y" 4; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 4; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 4; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 4; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 4; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 4; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 4; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 4; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 4; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 4; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 4; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 4; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 4; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 4; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" 5; "d" "f" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "b" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "b" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "b" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "b" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "b" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "b" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "b" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "b" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "b" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "b" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "b" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "b" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "b" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "b" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "b" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "b" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "b" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "b" "f" "y" 4; "e" "r" 6;
"a" "r" 5; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "s" "y" 5; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "y" 6; "d" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "y" 6; "d" "c" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "y" 6; "d" "c" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "y" 6; "d" "c" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "y" 6; "d" "c" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "y" 6; "d" "c" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "y" 6; "d" "c" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "y" 6; "d" "c" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "y" 6; "d" "c" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "y" 6; "d" "c" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "y" 6; "d" "c" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "y" 6; "d" "c" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "y" 6; "d" "c" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "y" 6; "d" "c" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "y" 6; "d" "c" "y" 5; "e" "r" 6;
"a" "r" 6; "b" "p" 7; "c" "y" 6; "d" "c" "y" 5; "e" "r" 6;
