none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1; "e" "a" 1;
"b" "w" 1; "e" "a" 1;
"b" "w" 1; "e" "a" 1;
"b" "w" 1; "e" "a" 1;
"b" "w" 1; "e" "a" 1;
"b" "w" 1; "e" "a" 1;
"b" "w" 1; "e" "a" 1;
"b" "q" "w" 1; "d" "u" 1; "e" "a" 1;
"a" "s" 1; "b" "q" "w" 1; "d" "u" 1; "e" "a" "u" 1;
"a" "s" 1; "b" "q" "w" 1; "d" "u" 1; "e" "a" "u" 1;
"a" "h" "i" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" "i" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" "i" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" "i" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" "i" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" "i" "r" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" "i" "r" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" "i" "r" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" "i" "r" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" "i" "r" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" "w" 4;
"a" "h" "i" "r" 5; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 6; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" "w" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" "w" "y" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" "w" "y" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" "w" "y" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" "w" "y" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" "w" "y" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" "w" "y" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" "w" "y" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" "w" "y" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" "w" "y" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" "w" "y" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" "w" "y" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "f" "r" "v" 5; "e" "p" "w" "y" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" "y" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" "y" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" "y" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" "w" "y" 4;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" "v" 5; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" "v" "z" 5; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" "v" "z" 5; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" "v" "z" 5; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" 6; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" 6; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" 6; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" 6; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" 6; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" 6; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" 6; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" 6; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" 6; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" 6; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" 6; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" 6; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" 6; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" 6; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" 6; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" 6; "e" "p" 5;
"a" "h" 7; "b" "j" 5; "c" "r" 6; "d" "r" 6; "e" "p" 5;
