none
none
none
none
none
none
none
none
none
"e" "l" 1;
"a" "n" 1; "e" "l" "n" 1;
"a" "n" 1; "e" "l" "n" 1;
"a" "n" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "n" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "n" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "n" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "n" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "n" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "n" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "n" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "n" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "i" "n" "q" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "i" "n" "q" 1; "b" "u" 1; "c" "t" 1; "e" "l" "n" 1;
"a" "i" "n" "q" 1; "b" "u" 1; "c" "t" 1; "e" "l" "n" 1;
"a" "i" "n" "q" 1; "b" "u" 1; "c" "t" 1; "e" "l" "n" 1;
"a" "i" "n" "q" 1; "b" "u" 1; "c" "n" "t" 1; "e" "l" "n" 1;
"a" "i" "n" "q" 1; "b" "u" 1; "c" "n" "t" 1; "e" "l" "n" 1;
"a" "e" "k" 4; "b" "p" "s" 4; "c" "f" 4; "d" "b" "o" 3; "e" "b" "e" 3;
"a" "e" "k" 4; "b" "p" "s" 4; "c" "f" 4; "d" "b" "o" 3; "e" "b" "e" 3;
"a" "e" "k" 4; "b" "p" "s" 4; "c" "f" 4; "d" "b" "o" 3; "e" "b" "e" 3;
"a" "e" "k" 4; "b" "p" "s" 4; "c" "f" 4; "d" "b" "o" 3; "e" "b" "e" 3;
"a" "e" "k" 4; "b" "p" "s" 4; "c" "f" 4; "d" "b" "o" 3; "e" "b" "e" 3;
"a" "e" "k" 4; "b" "p" "s" 4; "c" "f" 4; "d" "b" "o" 3; "e" "b" "e" 3;
"a" "e" "k" 4; "b" "p" "s" 4; "c" "f" 4; "d" "b" "o" 3; "e" "b" "e" 3;
"a" "e" "k" 4; "b" "p" "s" 4; "c" "f" 4; "d" "b" "o" 3; "e" "b" "e" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" 4; "d" "b" "o" 3; "e" "b" "e" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" 4; "d" "b" "o" 3; "e" "b" "e" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" 4; "d" "b" "o" 3; "e" "b" "e" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" 4; "d" "b" "o" 3; "e" "b" "e" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" 4; "d" "b" "o" 3; "e" "b" "e" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" 4; "d" "b" "o" 3; "e" "b" "e" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" 4; "d" "b" "o" 3; "e" "b" "e" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" 4; "d" "b" "o" 3; "e" "b" "e" "i" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" 4; "d" "b" "o" 3; "e" "b" "e" "i" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" 4; "d" "b" "o" 3; "e" "b" "e" "i" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "b" "o" 3; "e" "b" "e" "i" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "b" "o" 3; "e" "b" "e" "i" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "b" "o" 3; "e" "b" "e" "i" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "b" "o" 3; "e" "b" "e" "i" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "b" "o" 3; "e" "b" "e" "i" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "b" "o" 3; "e" "b" "e" "i" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "b" "o" 3; "e" "b" "e" "i" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "b" "o" 3; "e" "b" "e" "i" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "b" "o" 3; "e" "b" "e" "i" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "b" "o" 3; "e" "b" "e" "i" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "b" "o" 3; "e" "b" "e" "i" 3;
"a" "e" "k" 4; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "b" "o" 3; "e" "b" "e" "i" 3;
"a" "e" "k" "u" 4; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "b" "o" 3; "e" "b" "e" "i" 3;
"a" "e" "k" "u" 4; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "b" "o" 3; "e" "b" "e" "i" 3;
"a" "e" "k" "u" 4; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "b" "o" 3; "e" "b" "e" "i" 3;
"a" "k" 5; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" 3;
"a" "k" 5; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" 3;
"a" "k" 5; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" 3;
"a" "k" 5; "b" "b" "p" "s" 4; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" "r" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" "r" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" "r" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" "r" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" "r" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" "r" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" "r" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" "r" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" "r" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" "r" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" "r" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" "r" 3;
"a" "k" 5; "b" "s" 5; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" "r" 3;
"a" "k" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" "r" 3;
"a" "k" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" "i" "r" 3;
"a" "k" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" 4;
"a" "k" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" 4;
"a" "k" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" 4;
"a" "k" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" 4;
"a" "k" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" 4;
"a" "k" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" 4;
"a" "k" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" 4;
"a" "k" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" 4;
"a" "k" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" 4;
"a" "k" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" 4;
"a" "k" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" 4;
"a" "k" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" 4;
"a" "k" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" 4;
"a" "e" "g" "k" "u" 4; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" 4;
"a" "e" "g" "k" "u" 4; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" 4;
"a" "e" "g" "k" "u" 4; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" 4;
"a" "e" "g" "k" "u" 4; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" 4;
"a" "e" "g" "k" "u" 4; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" 4;
"a" "e" "g" "k" "u" 4; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "t" 4; "d" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" 4; "d" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" 4; "d" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" 4; "d" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" 4; "d" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" 4; "d" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" 4; "d" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" 4; "d" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" "w" 4; "d" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" "w" 4; "d" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" "w" 4; "d" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" "w" 4; "d" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" "w" 4; "d" "b" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" "w" 4; "d" "b" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" "w" 4; "d" "b" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" "w" 4; "d" "b" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" "w" 4; "d" "b" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" "w" 4; "d" "b" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" "w" 4; "d" "b" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" "w" 4; "d" "b" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" "w" 4; "d" "b" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" "w" 4; "d" "b" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "f" "k" "t" "w" 4; "d" "b" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "w" 5; "d" "b" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "w" 5; "d" "b" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "w" 5; "d" "b" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "w" 5; "d" "b" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "w" 5; "d" "b" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "w" 5; "d" "b" "o" "p" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "w" 5; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "w" 5; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "w" 5; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "w" 5; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "w" 5; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "w" 5; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "t" "w" 5; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "u" 5; "b" "s" 6; "c" "t" "w" 5; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "e" "u" 5; "b" "s" 6; "c" "t" "w" 5; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "e" "u" 5; "b" "s" 6; "c" "t" "w" 5; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "e" "u" 5; "b" "s" 6; "c" "t" "w" 5; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "e" "u" 5; "b" "s" 6; "c" "t" "w" 5; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "e" "u" 5; "b" "s" 6; "c" "t" "w" 5; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "e" "u" 5; "b" "s" 6; "c" "t" "w" 5; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "e" "u" 5; "b" "s" 6; "c" "t" "w" 5; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "b" "e" 4;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
"a" "e" "u" 5; "b" "s" 6; "c" "t" 6; "d" "b" "o" "p" "z" 4; "e" "e" 5;
