none
none
none
none
none
"c" "g" 1;
"c" "g" 1;
"c" "g" 1;
"c" "g" 1;
"c" "g" 1;
"c" "g" 1;
"c" "g" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "j" "k" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "j" "k" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "j" "k" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "j" "k" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "j" "k" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "j" "k" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "j" "k" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "j" "k" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "j" "k" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "a" "j" "k" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "a" "j" "k" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "a" "j" "k" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "a" "j" "k" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "a" "j" "k" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "a" "j" "k" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "s" 4;
"a" "g" "n" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "n" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "n" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "n" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "n" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "n" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "n" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "n" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "n" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "n" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "n" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "n" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" "n" "w" 4; "b" "n" 5; "c" "i" "k" "n" "v" "y" 4; "d" "k" 5; "e" "a" "s" 4;
"a" "g" 5; "b" "n" 4; "c" "i" "k" "n" "v" "y" 4; "d" "k" 5; "e" "a" "e" "s" 4;
"a" "g" 5; "b" "n" 4; "c" "i" "k" "n" "v" "y" 4; "d" "k" 5; "e" "a" "e" "s" 4;
"a" "g" 5; "b" "n" 4; "c" "i" "k" "n" "v" "y" 4; "d" "k" 5; "e" "a" "e" "s" 4;
"a" "g" 5; "b" "n" 4; "c" "i" "k" "n" "v" "y" 4; "d" "k" 5; "e" "a" "e" "s" 4;
"a" "g" 5; "b" "n" 4; "c" "i" "k" "n" "v" "y" 4; "d" "g" "k" 5; "e" "a" "e" "s" 4;
"a" "g" 5; "b" "n" 4; "c" "i" "k" "n" "v" "y" 4; "d" "g" "k" 5; "e" "a" "e" "s" 4;
"a" "g" 5; "b" "n" 4; "c" "y" 5; "d" "g" "k" "v" 5; "e" "a" "e" "s" 4;
"a" "g" 5; "b" "n" 4; "c" "y" 5; "d" "g" "k" "v" 5; "e" "a" "e" "s" 4;
"a" "g" 5; "b" "n" 4; "c" "y" 5; "d" "g" "k" "v" 5; "e" "a" "e" "s" 4;
"a" "g" 5; "b" "n" 4; "c" "y" 5; "d" "g" "k" "v" 5; "e" "a" "e" "s" 4;
"a" "g" 5; "b" "n" 4; "c" "y" 5; "d" "g" "k" "v" 5; "e" "a" "e" "s" 4;
"a" "g" 5; "b" "n" 4; "c" "y" 5; "d" "g" "k" "v" 5; "e" "a" "e" "s" 4;
"a" "g" 5; "b" "g" "n" 4; "c" "y" 5; "d" "g" "k" "v" 5; "e" "a" "e" "k" "s" 4;
"a" "g" 5; "b" "g" "n" 4; "c" "y" 5; "d" "g" "k" "v" 5; "e" "a" "e" "k" "s" 4;
"a" "g" 5; "b" "g" "n" 4; "c" "y" 5; "d" "g" "k" "v" 5; "e" "a" "e" "k" "s" 4;
"a" "g" 5; "b" "g" "n" 4; "c" "y" 5; "d" "g" "k" "v" 5; "e" "a" "e" "k" "s" 4;
"a" "g" 5; "b" "g" "n" 4; "c" "y" 5; "d" "g" "v" 5; "e" "a" "e" "k" "s" 4;
"a" "g" 5; "b" "g" "k" "n" 4; "c" "y" 5; "d" "g" "v" 5; "e" "a" "e" "k" "s" 4;
"a" "g" 5; "b" "g" "k" "n" 4; "c" "i" "y" 5; "d" "g" "v" 5; "e" "a" "e" "k" "s" 4;
"a" "g" 5; "b" "g" "k" "n" 4; "c" "i" "y" 5; "d" "g" "v" 5; "e" "a" "e" "k" "s" 4;
"a" "g" 5; "b" "g" "k" "n" 4; "c" "i" "y" 5; "d" "g" "v" 5; "e" "a" "e" "k" "s" 4;
"a" "g" 5; "b" "g" "k" "n" 4; "c" "i" "y" 5; "d" "g" "v" 5; "e" "a" "e" "k" "s" 4;
"a" "g" 5; "b" "g" "k" "n" 4; "c" "i" "y" 5; "d" "g" "v" 5; "e" "a" "e" "k" "s" 4;
"a" "g" 5; "b" "g" "k" "n" 4; "c" "i" "y" 5; "d" "g" "v" 5; "e" "a" "e" "k" "s" 4;
"a" "g" 5; "b" "g" "k" "n" 4; "c" "i" "y" 5; "d" "g" "v" 5; "e" "a" "e" "k" "s" 4;
"a" "g" 5; "b" "g" "k" "n" 4; "c" "i" "y" 5; "d" "g" "v" 5; "e" "a" "e" "k" "s" 4;
"a" "g" 5; "b" "g" "k" "n" 4; "c" "i" "y" 5; "d" "g" "v" 5; "e" "k" 5;
"a" "g" 5; "b" "g" "k" "n" 4; "c" "i" "y" 5; "d" "g" "v" 5; "e" "k" 5;
"a" "g" 5; "b" "g" "k" "n" 4; "c" "i" "y" 5; "d" "g" "v" 5; "e" "k" 5;
"a" "g" 5; "b" "g" "k" "n" 4; "c" "i" "y" 5; "d" "g" "v" 5; "e" "k" 5;
"a" "g" "w" 5; "b" "g" "k" "n" 4; "c" "i" "y" 5; "d" "g" "k" "v" 5; "e" "k" 5;
"a" "g" "w" 5; "b" "g" "k" "n" 4; "c" "i" "y" 5; "d" "g" "k" "v" 5; "e" "k" 5;
"a" "g" "w" 5; "b" "g" "k" "n" 4; "c" "i" "y" 5; "d" "g" "k" "v" 5; "e" "k" 5;
"a" "g" "w" 5; "b" "g" "k" "m" "n" 4; "c" "i" "y" 5; "d" "g" "k" "v" 5; "e" "k" 5;
"a" "g" "w" 5; "b" "g" "k" "m" "n" 4; "c" "i" "y" 5; "d" "g" "k" "v" 5; "e" "k" 5;
"a" "g" "w" 5; "b" "g" "k" "m" "n" 4; "c" "i" "y" 5; "d" "g" "k" "v" 5; "e" "k" 5;
"a" "g" "w" 5; "b" "g" "h" "k" "m" "n" 4; "c" "i" "y" 5; "d" "g" "k" "v" 5; "e" "k" 5;
"a" "g" "w" 5; "b" "g" "h" "k" "m" "n" 4; "c" "i" "k" "y" 5; "d" "g" "k" "v" 5; "e" "k" 5;
"a" "g" "w" 5; "b" "g" "h" "k" "m" "n" 4; "c" "i" "k" "y" 5; "d" "g" "k" "v" 5; "e" "k" 5;
"a" "g" "w" 5; "b" "g" "h" "k" "m" "n" 4; "c" "i" "k" "y" 5; "d" "g" "k" "v" 5; "e" "k" 5;
"a" "g" "w" 5; "b" "g" "h" "k" "m" "n" 4; "c" "i" "k" "y" 5; "d" "g" "k" "v" 5; "e" "k" 5;
