none
none
none
none
none
none
"c" "y" 1;
"c" "y" 1; "d" "f" 1;
"c" "y" 1; "d" "f" 1;
"a" "q" 1; "c" "y" 1; "d" "f" "r" 1;
"a" "q" 1; "c" "y" 1; "d" "f" "r" 1;
"a" "q" 1; "c" "y" 1; "d" "f" "r" 1;
"a" "q" 1; "c" "v" "y" 1; "d" "f" "r" 1;
"a" "o" "q" 1; "b" "m" 1; "c" "v" "y" 1; "d" "f" "r" 1;
"a" "o" "q" 1; "b" "m" 1; "c" "v" "y" 1; "d" "f" "r" 1;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 7; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 7; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 7; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 7; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 7; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 7; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" "s" 3;
"a" "m" 6; "b" "j" 4; "c" "g" 5; "d" "o" "r" 4; "e" "d" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 5; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 5; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 5; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 5; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 5; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 5; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 5; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 5; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 5; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 5; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 5; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 5; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 5; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 5; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 5; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "j" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 4; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" "v" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" "v" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" "v" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" "v" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" "v" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" "v" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" "v" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" "v" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" "v" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" 6; "b" "n" 5; "c" "g" "v" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" "t" 6; "b" "n" 5; "c" "g" "v" 5; "d" "r" 6; "e" "d" "k" "p" "s" "w" 3;
"a" "m" "t" 6; "b" "n" 5; "c" "g" "v" 5; "d" "r" 6; "e" "a" "d" "k" "p" "s" "w" 3;
"a" "m" "t" 6; "b" "n" 5; "c" "g" "v" 5; "d" "r" 6; "e" "a" "d" "k" "p" "s" "w" 3;
"a" "m" "t" 6; "b" "n" 5; "c" "g" "v" 5; "d" "r" 6; "e" "a" "d" "k" "p" "s" "w" 3;
"a" "m" "t" 6; "b" "n" 5; "c" "g" "v" 5; "d" "r" 6; "e" "a" "d" "k" "o" "p" "s" "w" 3;
"a" "m" "t" 6; "b" "n" "q" 4; "c" "g" "v" 5; "d" "r" 6; "e" "a" "d" "k" "o" "p" "s" "w" 3;
"a" "m" "t" 6; "b" "n" "q" 4; "c" "g" "v" 5; "d" "r" 6; "e" "a" "d" "k" "o" "p" "s" "w" 3;
"a" "m" "t" 6; "b" "n" "q" 4; "c" "g" "v" 5; "d" "r" 6; "e" "a" "d" "f" "j" "k" "o" "p" "s" "w" 3;
"a" "m" "t" 6; "b" "n" "q" 4; "c" "g" "v" 5; "d" "r" 6; "e" "a" "d" "f" "j" "k" "o" "p" "s" "w" 3;
"a" "m" "t" 6; "b" "n" "q" 4; "c" "g" "v" 5; "d" "r" 7; "e" "a" "d" "f" "j" "k" "o" "p" "s" "w" 3;
"a" "m" "t" 6; "b" "n" "q" 4; "c" "g" "v" 5; "d" "r" 7; "e" "a" "d" "f" "j" "k" "o" "p" "s" "w" 3;
