none
none
none
none
none
none
none
"c" "j" 1;
"c" "j" 1;
"c" "j" 1;
"c" "j" 1;
"c" "j" 1;
"c" "j" 1; "d" "g" 1;
"c" "j" 1; "d" "g" 1;
"c" "j" 1; "d" "g" 1;
"c" "j" 1; "d" "g" 1;
"b" "r" 1; "c" "j" 1; "d" "g" 1;
"b" "r" 1; "c" "j" 1; "d" "g" 1;
"b" "r" 1; "c" "j" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" "r" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" "r" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" "r" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" "r" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" "x" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" "x" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" "x" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "p" "r" 1; "c" "j" "r" "s" "v" "x" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "p" "r" 1; "c" "j" "r" "s" "v" "x" 1; "d" "g" "r" 1; "e" "e" "x" 1;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "n" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "m" "v" 3; "b" "n" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "m" "v" 3; "b" "n" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "m" "v" 3; "b" "n" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "m" "v" 3; "b" "n" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "m" "v" 3; "b" "n" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "m" "v" 3; "b" "n" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "m" "v" 3; "b" "m" "n" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "m" "v" 3; "b" "m" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "m" "v" 3; "b" "b" "m" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "m" "v" 3; "b" "b" "m" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "m" "v" 3; "b" "b" "m" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "m" "v" 3; "b" "b" "m" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "m" "v" 3; "b" "b" "m" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "m" "v" 3; "b" "b" "m" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "m" "v" 3; "b" "b" "m" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "m" "v" 3; "b" "b" "m" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "m" "v" 3; "b" "b" "m" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" 4; "b" "b" "m" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" 4; "b" "b" "m" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" 4; "b" "b" "m" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" 4; "b" "b" "m" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "m" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "e" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "e" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "e" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "e" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "e" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "e" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "e" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "e" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "e" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "e" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "t" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "n" "p" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "a" "e" "g" "v" 4; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" 5; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" 5; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" "l" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" "l" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" "l" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" "l" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" "l" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" "l" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" "l" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" "l" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" "l" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" "l" "v" 4; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" 5; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" 5; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" 5; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" 5; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" 5; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "x" 5;
"a" "h" 5; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" 5; "b" "b" "l" "n" "p" "x" 4; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" 5; "b" "n" 5; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" 5; "b" "n" 5; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" 5; "b" "n" 5; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" 5; "b" "n" 5; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" 5; "b" "n" 5; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" 5; "b" "n" 5; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" "m" 5; "b" "n" 5; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" "m" 5; "b" "n" 5; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" "m" 5; "b" "n" 5; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" "m" 5; "b" "n" 5; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" "m" 5; "b" "n" 5; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" "m" 5; "b" "n" 5; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" "m" 5; "b" "n" 5; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" "m" 5; "b" "n" 5; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" "m" 5; "b" "n" 5; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" "m" 5; "b" "n" 5; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" "m" 5; "b" "n" 5; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
"a" "h" "m" 5; "b" "n" 5; "c" "x" 5; "d" "e" "g" 5; "e" "k" "x" 5;
