none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "m" 1; "d" "r" "y" 1;
"b" "m" 1; "d" "r" "y" 1;
"b" "m" 1; "d" "r" "y" 1;
"b" "m" 1; "d" "r" "y" 1;
"b" "m" 1; "d" "r" "y" 1;
"b" "m" 1; "d" "r" "y" 1; "e" "m" 1;
"b" "m" 1; "d" "r" "y" 1; "e" "m" 1;
"b" "m" "s" 1; "d" "r" "u" "y" 1; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" "u" "y" 1; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" "u" "y" 1; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" "u" "y" 1; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" "u" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" "u" "w" 4;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" "u" "w" 4;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "w" 5;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "w" 5;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "w" 5;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "w" 5;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "w" 5;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "w" 5;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "w" 5;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "w" 5;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "w" 5;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "w" 5;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 5;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 5;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 5;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 5;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 5;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 5;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 5;
"a" "o" 5; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 5;
"a" "o" 5; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" 5;
"a" "o" 5; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" 5;
"a" "o" 5; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" 5;
"a" "o" 5; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" 5;
"a" "o" 5; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" 5;
"a" "o" 5; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" 5;
"a" "o" 5; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" 5;
"a" "o" 5; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "o" 5; "b" "x" 4; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "o" 5; "b" "x" 5; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "o" 5; "b" "x" 5; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "o" 5; "b" "x" 5; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "o" 5; "b" "x" 5; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "o" 5; "b" "x" 5; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "o" 5; "b" "x" 5; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "o" 5; "b" "x" 5; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "o" 5; "b" "x" 5; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "o" 5; "b" "x" 5; "c" "a" "j" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "o" 5; "b" "x" 5; "c" "a" "j" "m" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "o" 5; "b" "x" 5; "c" "a" "j" "m" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "o" 5; "b" "x" 5; "c" "a" "j" "m" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "o" 5; "b" "x" 5; "c" "a" "j" "m" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "o" 5; "b" "x" 5; "c" "a" "j" "m" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "o" 5; "b" "x" 5; "c" "a" "j" "m" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "e" "o" 5; "b" "x" 5; "c" "a" "j" "m" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "e" "o" 5; "b" "x" 5; "c" "a" "j" "m" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "e" "o" 5; "b" "x" 5; "c" "a" "j" "m" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "e" "o" 5; "b" "x" 5; "c" "a" "j" "m" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "e" "o" 5; "b" "x" 5; "c" "a" "j" "m" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "e" "o" 5; "b" "x" 5; "c" "a" "j" "m" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "e" "o" 5; "b" "x" 5; "c" "a" "j" "m" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "e" "o" 5; "b" "x" 5; "c" "a" "j" "m" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "e" "o" 5; "b" "x" 5; "c" "a" "j" "m" "p" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "e" "o" 5; "b" "x" 5; "c" "a" "j" "m" "p" "r" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "e" "o" 5; "b" "x" 5; "c" "a" "j" "m" "p" "r" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "e" "o" 5; "b" "x" 5; "c" "a" "j" "m" "p" "r" 3; "d" "r" "u" 4; "e" "m" 6;
"a" "e" "o" 5; "b" "x" 5; "c" "a" "j" "m" "o" "p" "r" 3; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 5; "b" "x" 5; "c" "a" "j" "m" "n" "o" "p" "r" 3; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 5; "b" "x" 5; "c" "a" "j" "m" "n" "o" "p" "r" 3; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "o" 6; "b" "x" 5; "c" "a" "j" "m" "n" "o" "p" "r" 3; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "o" 6; "b" "x" 5; "c" "a" "j" "m" "n" "o" "p" "r" 3; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "o" 6; "b" "x" 5; "c" "a" "j" "m" "n" "o" "p" "r" 3; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "o" 6; "b" "x" 5; "c" "a" "j" "m" "n" "o" "p" "r" 3; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "o" 6; "b" "x" 5; "c" "a" "j" "m" "n" "o" "p" "r" 3; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "o" 6; "b" "x" 5; "c" "a" "j" "m" "n" "o" "p" "r" 3; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "o" 6; "b" "x" 5; "c" "a" "j" "m" "n" "o" "p" "r" 3; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "o" 6; "b" "x" 5; "c" "a" "j" "m" "n" "o" "p" "r" 3; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "o" 6; "b" "x" 5; "c" "a" "j" "m" "n" "o" "p" "r" 3; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "o" 6; "b" "x" 5; "c" "a" "j" "m" "n" "o" "p" "r" 3; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "o" 6; "b" "x" 5; "c" "a" "j" "m" "n" "o" "p" "r" 3; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "o" 6; "b" "x" 5; "c" "o" 4; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "o" 6; "b" "x" 5; "c" "j" "o" 4; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "o" 6; "b" "x" 5; "c" "j" "o" 4; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "o" 6; "b" "x" 5; "c" "j" "o" 4; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "n" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "n" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "n" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "n" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "n" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "n" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "n" "r" "s" "u" 4; "e" "m" 6;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 6; "b" "x" 6; "c" "a" "j" "o" 4; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" 7; "b" "x" 6; "c" "a" "j" "o" 4; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" 7; "b" "x" 6; "c" "a" "j" "o" 4; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" 7; "b" "x" 6; "c" "a" "j" "o" 4; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
"a" "e" "o" 7; "b" "x" 6; "c" "j" 5; "d" "n" "r" "s" "u" 4; "e" "m" 7;
