none
none
none
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" "w" 1;
"c" "v" 1; "e" "m" "w" 1;
"c" "v" 1; "e" "m" "w" 1;
"c" "v" 1; "e" "m" "w" 1;
"c" "v" 1; "e" "m" "w" 1;
"c" "v" 1; "e" "m" "w" 1;
"c" "v" 1; "e" "m" "w" 1;
"a" "v" 1; "b" "r" 1; "c" "v" 1; "e" "m" "w" 1;
"a" "v" 1; "b" "r" 1; "c" "v" 1; "e" "m" "w" 1;
"a" "v" 1; "b" "r" 1; "c" "v" 1; "e" "m" "w" 1;
"a" "v" 1; "b" "r" 1; "c" "v" 1; "e" "b" "m" "w" 1;
"a" "v" 1; "b" "r" 1; "c" "v" 1; "e" "b" "m" "w" 1;
"a" "v" 1; "b" "g" "r" 1; "c" "v" 1; "e" "b" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "h" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "h" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "h" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "h" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "h" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "h" "m" "w" 1;
"a" "f" "p" "v" 3; "b" "c" 4; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "p" "v" 3; "b" "c" 4; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "p" "v" 3; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "p" "v" 3; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "p" "v" 3; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "p" "v" 3; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "p" "v" 3; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "v" 4; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "v" 5; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "v" 5; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "v" 5; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "v" 5; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "v" 5; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "v" 5; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "g" "v" 4; "d" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "g" "v" 4; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "g" "v" 4; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "g" "v" 4; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "g" "v" 4; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "g" "v" 4; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "g" "q" "v" 4; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "i" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "i" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "i" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "i" "k" "s" 4; "e" "k" 5;
"a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 5;
"a" "a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 5;
"a" "a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 5;
"a" "a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 5;
"a" "a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 6;
"a" "a" "v" 5; "b" "c" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 6;
"a" "v" 6; "b" "c" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 6;
"a" "v" 6; "b" "c" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 6;
"a" "v" 6; "b" "c" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 6;
"a" "v" 6; "b" "c" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 6;
"a" "v" 6; "b" "c" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 6;
"a" "v" 6; "b" "c" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 6;
"a" "v" 6; "b" "c" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 6;
"a" "v" 6; "b" "c" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 6;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 6;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 6;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 6;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 6;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 6;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 6;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 6;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 6;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" "x" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" "x" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" "x" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" "x" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" "x" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" "x" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" "x" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" "x" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" "x" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" "x" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" "x" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" "x" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" "x" 5; "d" "i" "k" "m" "s" 4; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" "x" 5; "d" "i" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" "x" 5; "d" "i" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" "x" 5; "d" "i" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "t" 5; "c" "v" "x" 5; "d" "i" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "k" "t" 5; "c" "v" "x" 5; "d" "i" "s" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "k" "t" 5; "c" "v" "x" 5; "d" "i" "s" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "k" "t" 5; "c" "v" "x" 5; "d" "i" "s" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "k" "t" 5; "c" "v" "x" 5; "d" "i" "s" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "k" "t" 5; "c" "v" "x" 5; "d" "i" "s" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "k" "t" 5; "c" "v" "x" 5; "d" "i" "s" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "k" "t" 5; "c" "v" "x" 5; "d" "i" "s" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "k" "t" 5; "c" "v" "x" 5; "d" "i" "s" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "k" "t" 5; "c" "v" "x" 5; "d" "i" "s" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "k" "t" 5; "c" "v" "x" 5; "d" "i" "s" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "k" "t" 5; "c" "v" "x" 5; "d" "i" "s" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "k" "t" 5; "c" "v" "x" 5; "d" "i" "s" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "k" "t" 5; "c" "v" "x" 5; "d" "i" "s" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "k" "t" 5; "c" "v" "x" 5; "d" "i" "s" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "k" "t" 5; "c" "v" "x" 5; "d" "i" "s" 5; "e" "k" 7;
"a" "v" 6; "b" "c" "k" "t" 5; "c" "v" "x" 5; "d" "i" "s" 5; "e" "k" 7;
"a" "v" 6; "b" "t" 6; "c" "v" "x" 5; "d" "s" 6; "e" "k" 7;
"a" "v" 6; "b" "t" 6; "c" "v" "x" 5; "d" "s" 6; "e" "k" 7;
