none
none
none
none
none
none
none
none
none
none
none
none
"a" "g" 1;
"a" "g" 1;
"a" "g" 1;
"a" "g" 1;
"a" "g" 1;
"a" "g" 1; "e" "f" 1;
"a" "g" 1; "e" "f" 1;
"a" "g" 1; "e" "f" 1;
"a" "g" 1; "e" "f" 1;
"a" "g" "x" 1; "e" "f" "h" 1;
"a" "g" "x" 1; "e" "b" "f" "h" 1;
"a" "g" "x" 1; "e" "b" "f" "h" 1;
"a" "g" "x" 1; "b" "i" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" 1; "d" "l" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" 1; "d" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" 1; "d" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" 1; "d" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" 1; "d" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" 1; "d" "f" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" "t" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" "t" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" "t" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" "t" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" "t" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "b" "d" "g" "q" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "t" "x" 3;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "t" "x" "y" 3;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "t" "x" "y" 3;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "t" "x" "y" 3;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "t" "x" "y" 3;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "t" "w" "x" "y" 3;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" 4;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" 4;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" 4;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" 4;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" "v" 4; "e" "f" 4;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" "v" 4; "e" "f" 4;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" "v" 4; "e" "f" 4;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" "v" 4; "e" "f" 4;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" "v" 4; "e" "f" 4;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" "v" 4; "e" "f" 4;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" "v" 4; "e" "f" 4;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" "v" 4; "e" "f" 4;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" "v" 4; "e" "f" 4;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" "v" 4; "e" "f" "g" 4;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" "v" 4; "e" "f" "g" 4;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" "v" 4; "e" "f" "g" 4;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" "v" 4; "e" "f" "g" 4;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" "v" 4; "e" "f" 5;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" "v" 4; "e" "f" 5;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "e" "f" "v" 4; "e" "f" 5;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 5;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 5;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 5;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 5;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 5;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 5;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 5;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 5;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 5;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 5;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 5;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 5;
"a" "q" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 5;
"a" "b" "d" "g" "l" "o" "q" "s" 3; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 5;
"a" "b" "d" "g" "l" "o" "q" "s" 3; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "b" "d" "g" "l" "o" "q" "s" 3; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "b" "d" "g" "l" "o" "q" "s" 3; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "b" "d" "g" "l" "o" "q" "s" 3; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "b" "d" "g" "l" "o" "q" "s" 3; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "b" "d" "g" "l" "o" "q" "s" 3; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "b" "d" "g" "l" "o" "q" "s" 3; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "b" "d" "g" "l" "o" "q" "s" 3; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "b" "d" "g" "l" "o" "q" "s" 3; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "b" "d" "g" "l" "o" "q" 3; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "b" "d" "g" "l" "o" "q" 3; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "b" "d" "g" "l" "o" "q" 3; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "b" "d" "g" "l" "o" "q" 3; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "b" "d" "g" "l" "o" "q" 3; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "b" "d" "g" "l" "o" "q" 3; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "b" "d" "g" "l" "o" "q" 3; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "b" "d" "g" "l" "o" "q" 3; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "d" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "d" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "d" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "d" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "d" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "d" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "d" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "d" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "d" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "d" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "d" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "d" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "d" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 6;
"a" "d" 4; "b" "j" 6; "c" "n" 5; "d" "f" 5; "e" "f" 7;
"a" "d" "o" 4; "b" "j" 6; "c" "k" "n" 5; "d" "f" 5; "e" "f" 7;
"a" "b" "d" "o" 4; "b" "j" 6; "c" "k" "n" "z" 5; "d" "f" 5; "e" "f" 7;
"a" "b" "d" "o" 4; "b" "j" 6; "c" "k" "n" "z" 5; "d" "f" 5; "e" "f" 7;
"a" "b" "d" "o" 4; "b" "j" 6; "c" "k" "n" "z" 5; "d" "f" 5; "e" "f" 7;
"a" "b" "d" "o" 4; "b" "j" 6; "c" "k" "n" "z" 5; "d" "f" 5; "e" "f" 7;
"a" "b" 5; "b" "j" 6; "c" "k" "n" "z" 5; "d" "f" 5; "e" "f" 7;
"a" "b" 5; "b" "j" 6; "c" "k" "n" "z" 5; "d" "f" 5; "e" "f" 7;
"a" "b" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "j" 6; "c" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" "j" 6; "c" "t" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" "z" 6; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "b" "f" 7;
"a" "b" "o" 5; "b" "c" 7; "c" "t" 7; "d" "f" 5; "e" "b" "f" 7;
