none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "i" 1;
"c" "i" 1;
"b" "x" 1; "c" "i" 1;
"b" "x" 1; "c" "i" 1; "d" "w" 1;
"b" "x" 1; "c" "i" 1; "d" "w" 1;
"b" "x" 1; "c" "i" 1; "d" "w" 1;
"b" "x" 1; "c" "i" 1; "d" "w" 1;
"b" "x" 1; "c" "i" 1; "d" "w" 1;
"b" "x" 1; "c" "i" "m" 1; "d" "h" "w" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1; "e" "i" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1; "e" "i" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1; "e" "i" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1; "e" "c" "i" "x" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1; "e" "c" "i" "x" 1;
"b" "q" "x" 1; "c" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" 2;
"b" "q" "x" 1; "c" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "q" "x" 1; "c" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "q" "x" 1; "c" "h" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "g" "q" "x" 1; "c" "h" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "g" "q" "x" 1; "c" "h" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "g" "q" "x" 1; "c" "h" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "g" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "g" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "d" "h" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "d" "h" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "d" "h" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "d" "h" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "d" "h" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "d" "h" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "d" "h" "l" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "d" "h" "l" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "d" "h" "l" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "d" "h" "l" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "d" "h" "l" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "d" "h" "l" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "d" "h" "l" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "l" 4; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "l" 4; "e" "g" "k" "m" "p" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "l" 4; "e" "g" "k" "m" "p" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "l" 4; "e" "g" "k" "m" "p" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" "x" 3; "d" "l" 4; "e" "g" "k" "m" "p" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" "x" 3; "d" "l" 4; "e" "g" "k" "m" "p" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "x" 4; "d" "l" 4; "e" "g" "k" "m" "p" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "x" 4; "d" "l" 4; "e" "g" "k" "m" "p" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "x" 4; "d" "l" 4; "e" "g" "k" "m" "p" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "x" 4; "d" "l" 4; "e" "g" "k" "m" "p" "w" "x" "z" 3;
"a" "t" 5; "b" "b" "g" "h" "k" "l" "n" "o" "r" 3; "c" "x" 4; "d" "l" 4; "e" "f" "g" "k" "m" "p" "w" "x" "z" 3;
"a" "t" 5; "b" "b" "g" "h" "k" "l" "n" "o" "r" 3; "c" "x" 4; "d" "l" 4; "e" "f" "g" "k" "m" "p" "w" "x" "z" 3;
"a" "t" 5; "b" "b" "g" "h" "k" "l" "n" "o" "r" 3; "c" "x" 4; "d" "l" 4; "e" "f" "g" "k" "m" "p" "w" "x" "z" 3;
"a" "t" 5; "b" "b" "g" "h" "k" "l" "n" "o" "r" 3; "c" "x" 4; "d" "l" 4; "e" "f" "g" "k" "m" "p" "w" "x" "z" 3;
"a" "t" 5; "b" "b" "g" "h" "k" "l" "n" "o" "r" 3; "c" "x" 4; "d" "l" 4; "e" "f" "g" "k" "m" "p" "w" "x" "z" 3;
"a" "t" 5; "b" "b" "g" "h" "k" "l" "n" "o" "r" 3; "c" "x" 4; "d" "l" 4; "e" "f" 4;
"a" "t" 5; "b" "b" "g" "h" "k" "l" "n" "o" "r" 3; "c" "x" 4; "d" "l" 4; "e" "f" 4;
"a" "t" 5; "b" "b" "g" "h" "k" "l" "n" "o" "r" 3; "c" "x" 4; "d" "l" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "b" "g" "h" "k" "l" "n" "o" "r" 3; "c" "x" 4; "d" "l" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "b" "g" "h" "k" "l" "n" "o" "r" 3; "c" "x" 4; "d" "l" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "b" "g" "h" "k" "l" "n" "o" "r" 3; "c" "x" 4; "d" "l" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "b" "g" "h" "k" "l" "n" "o" "r" 3; "c" "x" 4; "d" "l" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "b" "g" "h" "k" "l" "n" "o" "r" 3; "c" "x" 4; "d" "l" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "b" "g" "h" "k" "l" "n" "o" "r" 3; "c" "x" 4; "d" "l" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" 4; "c" "x" 4; "d" "l" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" 4; "c" "x" 4; "d" "l" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" 4; "c" "x" 4; "d" "l" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" 4; "c" "x" 4; "d" "l" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" 4; "c" "x" 4; "d" "l" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" 4; "c" "x" 4; "d" "l" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" 4; "c" "x" 4; "d" "l" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" 4; "c" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" 4; "c" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" 4; "c" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" 4; "c" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" 4; "c" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" 4; "c" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" 4; "c" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" 4; "c" "i" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" 4; "c" "i" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" 4; "c" "i" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 5; "b" "g" "k" 4; "c" "i" "x" 4; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 6; "b" "g" "k" 4; "c" "i" "x" 4; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 6; "b" "g" "k" 4; "c" "i" "x" 4; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 6; "b" "g" "k" 4; "c" "i" "x" 4; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 6; "b" "g" "k" 4; "c" "i" "x" 4; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 6; "b" "g" "k" 4; "c" "i" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 6; "b" "g" "k" 4; "c" "i" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 6; "b" "g" "k" 4; "c" "i" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 6; "b" "g" "k" 4; "c" "i" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 6; "b" "g" "k" 4; "c" "i" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 6; "b" "g" "k" 4; "c" "i" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 6; "b" "g" "k" 4; "c" "i" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" 4;
"a" "t" 6; "b" "g" "k" 4; "c" "i" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" "i" 4;
"a" "t" 6; "b" "g" "k" 4; "c" "i" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" "i" 4;
"a" "t" 6; "b" "g" "k" 4; "c" "i" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" "i" 4;
"a" "t" 6; "b" "g" "k" 4; "c" "i" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" "i" 4;
"a" "t" 6; "b" "g" "k" 4; "c" "i" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" "i" 4;
"a" "t" 6; "b" "g" "k" 4; "c" "i" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" "i" 4;
"a" "t" 6; "b" "g" "k" 4; "c" "i" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" "i" 4;
"a" "t" 6; "b" "g" "k" "o" 4; "c" "i" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" "i" 4;
"a" "t" 6; "b" "g" "k" "o" 4; "c" "i" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" "i" "x" 4;
"a" "t" 6; "b" "g" "k" "o" 4; "c" "i" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" "i" "x" 4;
"a" "t" 6; "b" "o" 5; "c" "i" "x" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" "i" "x" 4;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" "i" "x" 4;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" "i" "x" 4;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" "i" "x" 4;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" "i" "x" 4;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "k" "l" "r" "w" 4; "e" "f" "g" "i" "x" 4;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 6; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "i" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "i" "x" 5;
"a" "t" 6; "b" "o" 7; "c" "i" "m" "x" 5; "d" "r" 5; "e" "g" "i" "x" 5;
