none
none
none
none
none
none
none
none
"d" "o" 1;
"d" "o" 1;
"c" "r" 1; "d" "o" 1;
"c" "r" 1; "d" "o" 1;
"c" "r" 1; "d" "o" 1;
"c" "r" 1; "d" "o" 1;
"c" "r" 1; "d" "o" 1;
"c" "r" 1; "d" "o" 1;
"c" "r" 1; "d" "o" 1;
"c" "r" 1; "d" "o" 1;
"c" "r" 1; "d" "o" 1;
"c" "c" "r" 1; "d" "o" 1;
"c" "c" "r" 1; "d" "o" 1;
"c" "c" "r" 1; "d" "o" 1;
"c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "q" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "q" "s" 1;
"a" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "q" "s" 1;
"a" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "i" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "i" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "i" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "i" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "i" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "i" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "i" "l" "q" "s" "w" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "i" "l" "q" "s" "w" 1;
"a" "z" 4; "b" "a" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "a" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "a" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "a" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "a" "q" 4; "c" "y" 4; "d" "k" "w" 4; "e" "u" 4;
"a" "z" 4; "b" "a" "q" "v" 4; "c" "y" 4; "d" "k" "w" 4; "e" "u" 4;
"a" "z" 4; "b" "a" "q" "v" 4; "c" "y" 4; "d" "i" "k" "w" 4; "e" "u" 4;
"a" "z" 4; "b" "a" "q" "v" 4; "c" "y" 4; "d" "i" "k" "w" 4; "e" "u" 4;
"a" "z" 4; "b" "a" "q" "v" 4; "c" "y" 4; "d" "i" "k" "w" 4; "e" "u" 4;
"a" "z" 4; "b" "a" "q" "v" 4; "c" "y" 4; "d" "i" "k" "w" 4; "e" "u" 4;
"a" "z" 4; "b" "a" "q" "v" 4; "c" "y" 4; "d" "i" "k" "w" 4; "e" "u" 4;
"a" "z" 4; "b" "a" "q" "v" 4; "c" "y" 4; "d" "i" "k" "w" 4; "e" "u" 4;
"a" "z" 4; "b" "a" "q" "v" 4; "c" "y" 4; "d" "i" "k" "w" 4; "e" "u" 4;
"a" "z" 4; "b" "a" "q" "v" 4; "c" "y" 4; "d" "i" "k" "w" 4; "e" "u" 4;
"a" "z" 4; "b" "a" "q" "v" 4; "c" "y" 4; "d" "i" "k" "w" 4; "e" "u" 4;
"a" "z" 4; "b" "q" 5; "c" "y" 4; "d" "i" "k" "w" 4; "e" "u" 4;
"a" "z" 4; "b" "q" 5; "c" "y" 4; "d" "i" "k" "w" 4; "e" "u" 4;
"a" "z" 4; "b" "q" 5; "c" "y" 4; "d" "i" "k" "w" 4; "e" "u" 4;
"a" "z" 4; "b" "q" 5; "c" "y" 4; "d" "i" "k" "w" 4; "e" "u" 4;
"a" "z" 4; "b" "q" 5; "c" "y" 4; "d" "i" "k" "w" 4; "e" "u" 4;
"a" "z" 4; "b" "q" 5; "c" "y" 4; "d" "i" "k" "w" 4; "e" "u" 4;
"a" "z" 4; "b" "q" 5; "c" "y" 4; "d" "i" "k" "w" 4; "e" "u" 4;
"a" "g" "z" 4; "b" "q" 5; "c" "y" 4; "d" "i" "k" "q" "w" 4; "e" "u" 4;
"a" "g" "z" 4; "b" "q" 5; "c" "y" 4; "d" "i" "k" "q" "w" 4; "e" "u" 4;
"a" "g" "z" 4; "b" "q" 5; "c" "y" 4; "d" "i" "k" "q" "w" 4; "e" "u" 4;
"a" "g" "z" 4; "b" "q" 5; "c" "y" 4; "d" "i" "k" "q" "w" 4; "e" "u" 4;
"a" "g" "z" 4; "b" "q" 5; "c" "y" 4; "d" "i" "k" "q" "w" 4; "e" "u" 4;
"a" "g" "z" 4; "b" "q" 5; "c" "y" 4; "d" "i" "k" "q" "w" 4; "e" "u" 4;
"a" "g" "z" 4; "b" "q" 5; "c" "y" 4; "d" "k" 5; "e" "u" 4;
"a" "g" "z" 4; "b" "q" 5; "c" "y" 4; "d" "k" 5; "e" "u" 4;
"a" "g" "z" 4; "b" "q" 5; "c" "y" 4; "d" "k" 5; "e" "u" 4;
"a" "g" "z" 4; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 4;
"a" "g" "z" 4; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 4;
"a" "g" "z" 4; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 4;
"a" "g" "z" 4; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 4;
"a" "g" "z" 4; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 4;
"a" "c" "g" "z" 4; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" "w" 4;
"a" "c" "g" "z" 4; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" "w" 4;
"a" "c" "g" "z" 4; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "j" "u" "w" 4;
"a" "c" "g" "z" 4; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "j" "u" "w" 4;
"a" "c" "g" "z" 4; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "j" "u" "w" 4;
"a" "c" "g" "z" 4; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "j" "u" "w" 4;
"a" "c" "g" "z" 4; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "j" "u" "w" 4;
"a" "c" "g" "z" 4; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "j" "u" "w" 4;
"a" "c" "g" "z" 4; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "j" "u" "w" 4;
"a" "c" "g" "z" 4; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "j" "u" "w" 4;
"a" "c" "f" "g" "z" 4; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "j" "u" "w" 4;
"a" "c" "f" "g" "z" 4; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "j" "u" "w" 4;
"a" "c" "f" "g" "o" "z" 4; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "j" "u" "w" 4;
"a" "f" "z" 5; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "f" "z" 5; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "f" "z" 5; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "f" "z" 5; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "f" "z" 5; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "f" "z" 5; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "f" "z" 5; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "f" "z" 5; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "f" "z" 5; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "f" "z" 5; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "f" "z" 5; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "f" "z" 5; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "f" "z" 5; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "f" "z" 5; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "f" "z" 5; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" "v" "y" 4; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" "w" 5;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" 5; "e" "u" 6;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" "w" 5; "e" "u" 6;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" "w" 5; "e" "u" "w" 6;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" "w" 5; "e" "u" "w" 6;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" "w" 5; "e" "u" "w" 6;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" "w" 5; "e" "u" "w" 6;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" "w" 5; "e" "u" "w" 6;
"a" "z" 6; "b" "q" 5; "c" "l" 5; "d" "k" "w" 5; "e" "u" "w" 6;
