none
none
none
none
none
none
none
none
none
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"b" "m" "q" 1; "c" "n" 1; "e" "u" "y" 1;
"b" "m" "q" 1; "c" "n" 1; "e" "u" "y" 1;
"b" "m" "q" 1; "c" "n" 1; "e" "u" "y" 1;
"b" "m" "q" 1; "c" "n" 1; "e" "u" "y" 1;
"a" "a" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "k" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "k" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "k" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "g" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "g" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "g" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "g" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "g" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "t" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "h" "p" "u" 4;
"a" "t" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" "p" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" "p" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" "p" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" "p" 3; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 4; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 4; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 4; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 4; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 4; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 4; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 4; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 4; "e" "p" 5;
"a" "t" "v" 4; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 4; "e" "p" 5;
"a" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "k" 4; "e" "p" 5;
"a" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "k" 4; "e" "p" 5;
"a" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "k" 4; "e" "p" 5;
"a" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "k" 4; "e" "p" 5;
"a" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "k" 4; "e" "p" 5;
"a" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "k" 4; "e" "p" 5;
"a" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "k" 4; "e" "p" 5;
"a" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "k" 4; "e" "p" 5;
"a" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" "k" 4; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" "k" "p" 4; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" "k" "p" 4; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" "k" "p" 4; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" "k" "p" 4; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" "k" "p" 4; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" "k" "p" 4; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" "k" "p" 4; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" "k" "p" 4; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" "k" "p" 4; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" "k" "p" 4; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" "p" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" "p" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" "p" 5; "e" "p" 5;
"a" "k" "n" "t" "v" 4; "b" "a" 5; "c" "a" "p" 4; "d" "i" "p" 5; "e" "p" 5;
"a" "v" 5; "b" "a" 5; "c" "a" "p" 4; "d" "i" "p" 5; "e" "p" 5;
"a" "v" 5; "b" "a" 5; "c" "a" "p" 4; "d" "i" "p" 5; "e" "p" 5;
"a" "v" 5; "b" "a" 5; "c" "a" "p" 4; "d" "i" "p" 5; "e" "p" 5;
"a" "v" 5; "b" "a" 5; "c" "a" "p" 4; "d" "i" "p" 5; "e" "p" 5;
"a" "v" 5; "b" "a" 5; "c" "a" "p" 4; "d" "i" "p" 5; "e" "h" "p" 5;
"a" "v" 5; "b" "a" 5; "c" "a" "p" 4; "d" "i" "p" 5; "e" "h" "p" 5;
"a" "v" 5; "b" "a" 5; "c" "a" "p" 4; "d" "i" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 5; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 5; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 5; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 5; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 5; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 5; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 5; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 5; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 5; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 5; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "d" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" "p" 5;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" 6;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" 6;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "p" 5; "e" "h" 6;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "k" "p" 5; "e" "h" 6;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "k" "p" 5; "e" "h" 6;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "k" "p" 5; "e" "h" 6;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "k" "p" 5; "e" "h" 6;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "k" "p" 5; "e" "h" 6;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "k" "p" 5; "e" "h" 6;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "k" "p" 5; "e" "h" 6;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "k" "p" 5; "e" "h" 6;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "k" "p" 5; "e" "h" 6;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "k" "p" 5; "e" "h" 6;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "k" "p" 5; "e" "h" 6;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "k" "p" 5; "e" "h" 6;
"a" "d" "n" "v" 6; "b" "a" 6; "c" "a" "p" 4; "d" "k" "p" 5; "e" "h" 6;
