none
none
none
none
none
none
none
none
none
none
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"a" "u" 1; "c" "y" 1; "d" "v" 1;
"a" "u" 1; "c" "y" 1; "d" "v" 1;
"a" "u" 1; "c" "y" 1; "d" "v" 1;
"a" "u" 1; "c" "y" 1; "d" "v" 1;
"a" "u" 1; "c" "y" 1; "d" "v" 1;
"a" "u" 1; "c" "y" 1; "d" "v" 2;
"a" "u" 1; "c" "y" 1; "d" "v" 2;
"a" "u" 1; "c" "y" 1; "d" "v" 2;
"a" "u" 1; "c" "y" 1; "d" "v" 2;
"a" "u" 1; "c" "a" "n" "y" 1; "d" "v" 2;
"a" "u" 1; "c" "a" "n" "y" 1; "d" "v" 2;
"a" "u" 1; "b" "z" 1; "c" "a" "n" "y" 1; "d" "v" 2;
"a" "u" 1; "b" "r" "z" 1; "c" "a" "n" "y" 1; "d" "v" 2;
"a" "u" 1; "b" "r" "z" 1; "c" "a" "n" "y" 1; "d" "v" 2;
"a" "u" 1; "b" "r" "z" 1; "c" "a" "k" "n" "y" 1; "d" "v" 2;
"a" "u" 1; "b" "r" "t" "z" 1; "c" "a" "k" "n" "v" "y" 1; "d" "v" 2;
"a" "k" 5; "b" "f" 4; "c" "a" "k" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "a" "k" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "a" "k" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "a" "k" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "a" "k" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "n" "o" "s" "u" 4;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 4; "c" "m" "q" 4; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 4; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 4; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 4; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 4; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 4; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 4; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 4; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 4; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 4; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 4; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 4; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 5; "c" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 5; "c" "a" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 5; "c" "a" "m" "q" 4; "d" "p" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" "q" 5; "c" "a" "m" "q" 4; "d" "p" "v" 5; "e" "s" "u" 5;
"a" "k" 5; "b" "f" "q" 5; "c" "a" "m" "q" 4; "d" "p" "v" 5; "e" "s" "u" 5;
"a" "k" 5; "b" "f" "q" 5; "c" "a" "m" "q" 4; "d" "p" "v" 5; "e" "s" 6;
"a" "k" 5; "b" "f" "q" 5; "c" "a" "m" "q" 4; "d" "p" "v" 5; "e" "s" 6;
"a" "k" 5; "b" "f" "q" 5; "c" "a" "m" "q" 4; "d" "p" "v" 5; "e" "s" 6;
"a" "k" 5; "b" "f" "q" 5; "c" "a" "m" "q" 4; "d" "p" "v" 5; "e" "s" 6;
"a" "k" 5; "b" "f" "q" 5; "c" "a" "m" "q" 4; "d" "p" "v" 5; "e" "s" 6;
"a" "k" 5; "b" "f" "q" 5; "c" "a" "m" "q" 4; "d" "p" "v" 5; "e" "s" 6;
"a" "k" 5; "b" "f" "q" 5; "c" "a" "m" "q" 4; "d" "p" "v" 5; "e" "s" 6;
"a" "k" 5; "b" "f" "q" 5; "c" "a" "m" "q" 4; "d" "p" "v" 5; "e" "s" 6;
"a" "k" 5; "b" "f" "q" 5; "c" "a" "m" "q" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" "r" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" "r" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" "r" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" "r" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" "r" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" "r" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" "r" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" "r" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" "r" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" "r" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" "r" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" "r" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" "r" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" "r" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "q" "r" 4; "d" "p" "v" 5; "e" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "r" 4; "d" "p" "v" 5; "e" "n" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "r" 4; "d" "p" "v" 5; "e" "n" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "r" 4; "d" "p" "v" 5; "e" "n" "s" "u" 6;
"a" "k" "y" 5; "b" "f" "q" 5; "c" "a" "j" "m" "r" 4; "d" "p" "v" 5; "e" "n" "s" "u" 6;
