none
none
none
none
none
none
none
none
none
none
none
none
"a" "x" 1; "d" "p" 1;
"a" "x" 1; "d" "p" 1;
"a" "x" 1; "d" "p" 1;
"a" "x" 1; "d" "p" 1;
"a" "x" 1; "d" "p" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" "x" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "r" "x" 1; "c" "g" "x" 1; "d" "p" 2; "e" "r" "u" 1;
"a" "r" "x" 1; "c" "g" "x" 1; "d" "p" 2; "e" "r" "u" 1;
"a" "r" "x" 1; "c" "g" "x" 1; "d" "p" 2; "e" "r" "u" 1;
"a" "r" "x" 1; "c" "g" "x" 1; "d" "p" 2; "e" "r" "u" 1;
"a" "b" "c" "f" "h" "i" "m" "o" "r" "x" "y" 2; "b" "b" "d" "k" "q" "w" 3; "c" "g" "p" "s" "u" 3; "d" "a" "k" "p" "z" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "i" "m" "o" "r" "x" "y" 2; "b" "b" "d" "k" "q" "w" 3; "c" "g" "p" "s" "u" 3; "d" "a" "k" "p" "z" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "i" "m" "o" "r" "x" "y" 2; "b" "b" "d" "k" "q" "w" 3; "c" "g" "p" "s" "u" 3; "d" "a" "k" "p" "z" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "i" "m" "o" "r" "x" "y" 2; "b" "b" "d" "k" "q" "w" 3; "c" "g" "p" "s" "u" 3; "d" "a" "k" "p" "z" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "i" "m" "o" "r" "x" "y" 2; "b" "b" "d" "k" "q" "w" 3; "c" "g" "p" "s" "u" 3; "d" "a" "k" "p" "z" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "i" "m" "o" "r" "x" "y" 2; "b" "b" "d" "k" "l" "q" "w" 3; "c" "g" "p" "s" "u" 3; "d" "a" "k" "p" "z" 4; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "q" "w" 3; "c" "g" "p" "s" "u" 3; "d" "a" "k" "p" "z" 4; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "q" "w" 3; "c" "g" "p" "s" "u" 3; "d" "a" "k" "p" "z" 4; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "q" "w" 3; "c" "g" "p" "s" "u" 3; "d" "a" "k" "p" "z" 4; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "g" "p" "s" "u" 3; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "g" "p" "s" "u" 3; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "b" "d" "k" "l" "m" "q" "w" 3; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "w" 4; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "w" 4; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "w" 4; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "w" 4; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "w" 4; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "w" 4; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "w" 4; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "d" "w" 4; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "d" "w" 4; "c" "p" 4; "d" "p" 5; "e" "u" 4;
"a" "y" 3; "b" "d" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "p" "z" 5; "e" "e" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" "p" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" "q" "w" 4; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" "p" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" "p" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" "p" "u" 4;
"a" "f" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" "p" "u" 4;
"a" "b" "f" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" "p" "u" 4;
"a" "b" "f" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" "p" "u" 4;
"a" "b" "f" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" "p" "u" 4;
"a" "b" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" "p" "u" 4;
"a" "b" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" "p" "u" 4;
"a" "b" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" "p" "u" 4;
"a" "b" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" "p" "u" 4;
"a" "b" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" "p" "u" 4;
"a" "b" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" "p" "u" 4;
"a" "b" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" 5;
"a" "b" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" 5;
"a" "b" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" 5;
"a" "b" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" 5;
"a" "b" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" 5;
"a" "b" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" 5;
"a" "b" "p" "x" "y" 3; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" 5;
"a" "p" "y" 4; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" 5;
"a" "p" "y" 4; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" 5;
"a" "p" "y" 4; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" 5;
"a" "p" "y" 4; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" 5;
"a" "p" "y" 4; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" 5;
"a" "p" "y" 4; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" 5;
"a" "p" "y" 4; "b" "d" 5; "c" "p" 4; "d" "d" "p" "z" 5; "e" "e" 5;
"a" "p" "y" 4; "b" "d" 5; "c" "p" 4; "d" "d" "k" "p" "z" 5; "e" "e" 5;
"a" "p" "y" 4; "b" "d" 5; "c" "p" 4; "d" "d" "k" "p" "z" 5; "e" "e" 5;
"a" "p" "y" 4; "b" "d" 5; "c" "p" 4; "d" "d" "k" "p" "z" 5; "e" "e" 5;
"a" "p" "y" 4; "b" "d" 5; "c" "p" 4; "d" "d" "k" "p" "z" 5; "e" "e" 5;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 4; "d" "d" "k" "p" "z" 5; "e" "e" 5;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 4; "d" "d" "k" "p" "z" 5; "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 4; "d" "d" "k" "p" "z" 5; "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 4; "d" "d" "k" "p" "z" 5; "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 4; "d" "d" "k" "p" "z" 5; "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 4; "d" "d" "k" "p" "z" 5; "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 4; "d" "d" "k" "p" "z" 5; "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 4; "d" "d" "k" "p" "z" 5; "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 5; "d" "d" "k" "p" "z" 5; "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 5; "d" "d" "k" "p" "z" 5; "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 5; "d" "d" "k" "p" "z" 5; "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 5; "d" "d" "k" "p" "z" 5; "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 5; "d" "d" "k" "p" "z" 5; "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 5; "d" "d" "k" "p" "z" 5; "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 5; "d" "d" "k" "p" "z" 5; "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 5; "d" "d" "k" "p" "z" 5; "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 5; "d" "d" "k" "p" "z" 5; "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 5; "d" "d" "k" "p" "z" 5; "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 5; "d" "d" "k" "p" "z" 5; "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 5; "d" "d" "k" "p" "z" 5; "e" "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 5; "d" "d" "k" "p" "z" 5; "e" "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 5; "d" "d" "k" "p" "z" 5; "e" "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 5; "d" "a" "d" "k" "p" "z" 5; "e" "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 5; "d" "a" 6; "e" "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 6; "d" "a" 6; "e" "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 6; "d" "a" 6; "e" "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 6; "d" "a" 6; "e" "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 6; "d" "a" 6; "e" "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 6; "d" "a" 6; "e" "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 6; "d" "a" 6; "e" "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 6; "d" "a" 6; "e" "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 6; "d" "a" 6; "e" "e" "u" 6;
"a" "p" "y" 4; "b" "d" "w" 5; "c" "p" 6; "d" "a" 6; "e" "e" "u" 6;
"a" "p" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" 6; "e" "e" "u" 6;
"a" "p" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" 6; "e" "e" 6;
"a" "p" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" 6; "e" "e" 6;
"a" "p" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" 6; "e" "e" 6;
"a" "p" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 6;
"a" "p" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 6;
"a" "p" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 6;
"a" "p" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 6;
"a" "p" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 6;
"a" "p" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 6;
"a" "p" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 6;
"a" "p" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 6;
"a" "p" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 6;
"a" "p" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 6;
"a" "p" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 6;
"a" "p" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 6;
"a" "p" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 6;
"a" "p" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 6;
"a" "p" "x" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 6;
"a" "p" "x" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 6;
"a" "p" "x" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 6;
"a" "p" "x" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 6;
"a" "p" "x" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 7;
"a" "p" "x" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 7;
"a" "p" "x" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 7;
"a" "p" "x" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 7;
"a" "p" "x" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 7;
"a" "p" "x" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 7;
"a" "p" "x" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 7;
"a" "p" "x" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 7;
"a" "p" "x" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 7;
"a" "p" "x" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 7;
"a" "p" "x" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 7;
"a" "p" "x" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 7;
"a" "p" "x" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 7;
"a" "p" "x" "y" 4; "b" "w" 7; "c" "p" 6; "d" "a" "k" 6; "e" "e" 7;
